method,network_width,depth,context_size,scenario,regime,risk_mean,solver_risk_mean,n_geometry_batches,n_unique_geometries,n_trained_seeds,tasks_per_geometry,simultaneous_configurations,delta,hoeffding_slack,risk_ucb,solver_risk_ucb
angular-Jacobi-PCG,0,32,8,All scenarios,All,0.65224364416427,1.0147613722032519e-05,768,768,3,4,90,0.05,0.06985635346707064,0.7220999976313407,0.06986650108079268
angular-Jacobi-PCG,0,32,8,ID four obstacles,ID,0.42290958382750926,4.143898803167274e-06,192,192,3,4,90,0.05,0.13971270693414128,0.5626222907616505,0.13971685083294444
angular-Jacobi-PCG,0,32,8,OOD half aperture,OOD aperture,0.5091045482443189,1.894639041204475e-05,192,192,3,4,90,0.05,0.13971270693414128,0.6488172551784602,0.13973165332455334
angular-Jacobi-PCG,0,32,8,OOD six obstacles,OOD count,0.8260336115392871,9.988741052790663e-06,192,192,3,4,90,0.05,0.13971270693414128,0.9657463184734284,0.13972269567519408
angular-Jacobi-PCG,0,32,8,OOD wavenumber 12,OOD frequency,0.8509268330459648,7.511424620127389e-06,192,192,3,4,90,0.05,0.13971270693414128,0.9906395399801061,0.13972021835876142
angular-Jacobi-PCG,0,32,24,All scenarios,All,0.281832570969877,0.08855108883203654,768,768,3,4,90,0.05,0.06985635346707064,0.35168892443694766,0.1584074422991072
angular-Jacobi-PCG,0,32,24,ID four obstacles,ID,0.21522017219438014,0.04062228447905609,192,192,3,4,90,0.05,0.13971270693414128,0.35493287912852145,0.18033499141319737
angular-Jacobi-PCG,0,32,24,OOD half aperture,OOD aperture,0.4747900227265074,0.16281002020551466,192,192,3,4,90,0.05,0.13971270693414128,0.6145027296606487,0.30252272713965594
angular-Jacobi-PCG,0,32,24,OOD six obstacles,OOD count,0.2733106596819569,0.016671406712715633,192,192,3,4,90,0.05,0.13971270693414128,0.4130233666160982,0.15638411364685692
angular-Jacobi-PCG,0,32,24,OOD wavenumber 12,OOD frequency,0.16400942927666365,0.13410064393085977,192,192,3,4,90,0.05,0.13971270693414128,0.3037221362108049,0.273813350865001
angular-Jacobi-PCG,0,32,48,All scenarios,All,0.2536254431454439,0.33809386316289575,768,768,3,4,90,0.05,0.06985635346707064,0.3234817966125145,0.4079502166299664
angular-Jacobi-PCG,0,32,48,ID four obstacles,ID,0.18085952608572844,0.2911009540992016,192,192,3,4,90,0.05,0.13971270693414128,0.3205722330198697,0.4308136610333429
angular-Jacobi-PCG,0,32,48,OOD half aperture,OOD aperture,0.4715325398131434,0.45861482573607537,192,192,3,4,90,0.05,0.13971270693414128,0.6112452467472846,0.5983275326702167
angular-Jacobi-PCG,0,32,48,OOD six obstacles,OOD count,0.21838271910037343,0.18324215257814558,192,192,3,4,90,0.05,0.13971270693414128,0.3580954260345147,0.32295485951228686
angular-Jacobi-PCG,0,32,48,OOD wavenumber 12,OOD frequency,0.14372698758253025,0.4194175202381602,192,192,3,4,90,0.05,0.13971270693414128,0.2834396945166715,0.5591302271723015
context-PCG,128,32,8,All scenarios,All,0.6522420632929176,1.0018992439648863e-05,768,768,3,4,90,0.05,0.06985635346707064,0.7220984167599882,0.06986637245951029
context-PCG,128,32,8,ID four obstacles,ID,0.4229095453509353,4.145319829377244e-06,192,192,3,4,90,0.05,0.13971270693414128,0.5626222522850766,0.13971685225397065
context-PCG,128,32,8,OOD half aperture,OOD aperture,0.509098991989867,1.8770226103020734e-05,192,192,3,4,90,0.05,0.13971270693414128,0.6488116989240083,0.1397314771602443
context-PCG,128,32,8,OOD six obstacles,OOD count,0.8260334824999699,9.772851805944094e-06,192,192,3,4,90,0.05,0.13971270693414128,0.9657461894341112,0.13972247978594723
context-PCG,128,32,8,OOD wavenumber 12,OOD frequency,0.8509262333308981,7.3875720202533805e-06,192,192,3,4,90,0.05,0.13971270693414128,0.9906389402650394,0.13972009450616155
context-PCG,128,32,24,All scenarios,All,0.28171171961307767,0.0804730680815885,768,768,3,4,90,0.05,0.06985635346707064,0.3515680730801483,0.15032942154865914
