method,network_width,parameter_count,dataset_size,context_size,context_measurements,regime_class,n_tasks,n_seeds,training_seconds,average_precision_mean,average_precision_std,auc_mean,auc_std,iou_top7_mean,iou_top7_std,centroid_error_mean,centroid_error_std,area_matched_iou_mean,area_matched_iou_std,exact_score_correlation_mean,exact_score_correlation_std,relative_score_error_mean,relative_score_error_std,transformed_mean_relative_residual_mean,transformed_mean_relative_residual_std,transformed_covariance_relative_residual_mean,transformed_covariance_relative_residual_std,posterior_std_mean_mean,posterior_std_mean_std,uq_error_correlation_mean,uq_error_correlation_std,numerical_coverage_95_mean,numerical_coverage_95_std,average_precision_ci95,auc_ci95,iou_top7_ci95,centroid_error_ci95,area_matched_iou_ci95,exact_score_correlation_ci95,relative_score_error_ci95,transformed_mean_relative_residual_ci95,transformed_covariance_relative_residual_ci95,posterior_std_mean_ci95,uq_error_correlation_ci95,numerical_coverage_95_ci95,localization_risk_mean,localization_risk_ci95
context-PCG,32,34564,128,8,64,All,168,3,1.1397954319836572,0.5113389526233603,0.27535233996677155,0.8909552856850611,0.11502456301479852,0.2261727704438986,0.11440068884951345,0.09796559803154581,0.05999456718204823,0.36227140193720125,0.25409647871931157,0.999999999850971,4.104491774221533e-10,2.2018217526480267e-06,2.010074131388759e-06,1.8731578600512304e-05,2.7637576946652074e-05,8.110730395030498e-07,7.614885903109423e-07,0.03583171732524139,0.01600398960676459,-0.14162631267377676,0.17795766817150505,1.0,0.0,0.04163803270723818,0.017393701893086966,0.017299361336901842,0.009072215441801505,0.038423779122361945,6.20670094041148e-11,3.03957948702519e-07,4.179279293549428e-06,1.1515023563403157e-07,0.0024200798249006325,0.026910275063299457,0.0,0.48866104737663973,0.04163803270723818
context-PCG,32,34564,128,8,64,ID,48,3,1.1397954319836572,0.7639285889874764,0.23405296095598863,0.9575812735485068,0.05311503012832029,0.23456860731047044,0.10201810203751731,0.06537817499095881,0.0581236343678258,0.6153816595574867,0.2851284445985861,0.9999999995296939,6.687889206667292e-10,3.1916248540338663e-06,2.59289402190657e-06,4.3389461986005936e-05,4.1614672043090114e-05,1.4181541783860514e-06,1.1195264309588726e-06,0.02071207678333541,0.013241898280117044,-0.10011616775540692,0.11532700669095582,1.0,0.0,0.06621396460615882,0.015026328701874394,0.02886108755005191,0.01644327101478637,0.08066330227888037,1.8920147705520792e-10,7.335339501486855e-07,1.1772858632094876e-05,3.16715854276713e-07,0.003746154632937537,0.032626198395349984,0.0,0.2360714110125236,0.06621396460615882
context-PCG,32,34564,128,8,64,OOD,120,3,1.1397954319836572,0.4103030980777138,0.2207625945911814,0.8643048905396828,0.12225540040198243,0.22281443569726986,0.11923132413182556,0.11100056724778061,0.05583182888125301,0.26102729888908704,0.1494018012569974,0.9999999999794819,3.844000322080728e-11,1.8059005120936906e-06,1.568932281600609e-06,8.868425246314851e-06,6.679013879209893e-06,5.68240583949849e-07,3.325997419197847e-07,0.041879573542003785,0.012692158632645403,-0.1582303706411247,0.19549129723333775,1.0,0.0,0.03949943995091296,0.02187426658848403,0.02133319069081557,0.00998958168764336,0.02673137398225131,6.8777892457050794e-12,2.807176032646957e-07,1.1950272107542255e-06,5.9509644548155136e-08,0.002270915318267712,0.03497783114161114,0.0,0.5896969019222862,0.03949943995091296
context-PCG,32,34564,128,12,144,All,168,3,1.1397954319836572,0.7382558585249986,0.16518958351846866,0.9794433701744542,0.017345731221092384,0.36156231621534574,0.12603995548182362,0.04543919286723909,0.03277280366514865,0.5254295514331294,0.19231260552198126,0.9999999994679967,1.303471643313335e-09,4.230438619349083e-06,3.1005683820865938e-06,4.4193642942158255e-05,5.1586308153613985e-05,1.4682187755947023e-06,1.6418144373935206e-06,0.031433827382334946,0.012075106157089208,-0.16771959374698953,0.1524549047666232,1.0,0.0,0.02497951999342763,0.00262297434625747,0.01905941961271995,0.004955814325318713,0.029080989686540402,1.9710744032096373e-10,4.688595263796547e-07,7.800741357073825e-06,2.4827071835182847e-07,0.001825964744563012,0.02305381647316882,0.0,0.26174414147500136,0.02497951999342763
context-PCG,32,34564,128,12,144,ID,48,3,1.1397954319836572,0.8500356493655407,0.1541485703770452,0.9905065690009618,0.010553300478585884,0.2866285215079493,0.1614401962386419,0.027426186924761425,0.017597977145517,0.675705479985455,0.23364400592040102,0.9999999983489588,2.052630626535397e-09,6.694527773021264e-06,3.803654654682515e-06,9.762156575256371e-05,7.079525705832706e-05,2.732245934093195e-06,2.5903727956620506e-06,0.021774422590775996,0.013487756097851588,-0.1453435614118241,0.11543391257260965,1.0,0.0,0.04360888211516768,0.002985545927353778,0.045671694970638894,0.00497849645265699,0.06609827055921616,5.8069255394077e-10,1.0760601090048084e-06,2.0028093752787203e-05,7.328206911297145e-07,0.0038157082107907296,0.03265644224372988,0.0,0.14996435063445934,0.04360888211516768
context-PCG,32,34564,128,12,144,OOD,120,3,1.1397954319836572,0.6935439421887819,0.14782967468995167,0.9750180906438511,0.01758213157878707,0.3915358340983043,0.09396417924276322,0.05264439524423016,0.034666213094505974,0.46531918001219913,0.1326230438648046,0.999999999915612,1.1463232985737449e-10,3.2448029578802107e-06,2.085266180837054e-06,2.2822473817996068e-05,1.1960642541135713e-05,9.62607912195305e-07,4.799892652749091e-07,0.03529758929895853,0.008948833263856412,-0.1766700066810557,0.16453592913828155,1.0,0.0,0.026450084848803436,0.0031458424910770287,0.01681232485244857,0.006202572519079684,0.023729273371451868,2.0510326208203945e-11,3.7310145971138647e-07,2.140030482531741e-06,8.588097633079027e-08,0.0016011494283758008,0.029439213036975394,0.0,0.3064560578112181,0.026450084848803436
context-PCG,32,34564,128,16,256,All,168,3,1.1397954319836572,0.7476512978233288,0.17012796965982055,0.9810511100681523,0.01636872927301781,0.37380410034319417,0.137937032084489,0.04729798956153289,0.03614604515811984,0.5407387322987555,0.20752613361171082,0.9999996057347247,8.840658647423107e-07,0.00014060393788434502,0.0001647615630107406,0.018205245939660494,0.0189055863315843,0.0007077502620835998,0.0006394840515881521,0.029013026544513758,0.01194799594660347,0.10436621892792328,0.20281403101102127,1.0,0.0,0.025726289327944254,0.002475234766220221,0.020858463211775896,0.005465906738663364,0.031381538068548306,1.3368603802653474e-07,2.4914795895196613e-05,0.002858851397881774,9.670104077923541e-05,0.0018067434838965227,0.030668986716229852,0.0,0.25234870217667116,0.025726289327944254
context-PCG,32,34564,128,16,256,ID,48,3,1.1397954319836572,0.8612238393357191,0.1497102865510771,0.9915625325088481,0.009788600325647786,0.30435035020848006,0.18255550348285346,0.02903748302681677,0.019697290620738276,0.7106115451851873,0.24889526570509873,0.9999992026465215,1.3969227918460825e-06,0.00022102681365744574,0.00021668723495142696,0.03463604955080271,0.02081420093636401,0.0008764271397012209,0.0006464054520798153,0.020047911229388125,0.012454939111323745,0.08787305528056583,0.16288454578064726,1.0,0.0,0.042353284377952986,0.00276921100617118,0.051645249848157826,0.005572395660672871,0.07041287684088247,3.9519173745563504e-07,6.13011723802894e-05,0.005888371411652594,0.0001828691572643223,0.0035235225998449496,0.04608030381311044,0.0,0.1387761606642809,0.042353284377952986
context-PCG,32,34564,128,16,256,OOD,120,3,1.1397954319836572,0.7022222812183726,0.15646718817259034,0.9768465410918741,0.016606387837577615,0.4015856003970798,0.10399334799934946,0.054602192175419326,0.03862650481067361,0.4727896071441826,0.14027086143239584,0.999999766970006,4.841040631818577e-07,0.00010843478757510471,0.00012609179124106051,0.011632924495203608,0.013342738713283484,0.0006402795110365512,0.0006267329452931058,0.032599072670564014,0.009678892932832467,0.11096348438686626,0.2170087909465898,1.0,0.0,0.027995532100700864,0.002971259784324761,0.018606770826377957,0.006911158614113332,0.02509764155595351,8.661720709097249e-08,2.256068400379398e-05,0.0023873188642398544,0.00011213675207843719,0.0017317736770566278,0.0388277992596009,0.0,0.2977777187816274,0.027995532100700864
context-PCG,32,34564,128,24,576,All,168,3,1.1397954319836572,0.7775694718037803,0.15962458573339336,0.9827845734419695,0.015171998945961893,0.37626512765936393,0.13519858575761537,0.042665025407803155,0.03271226820924183,0.5622712446810126,0.20962268397662698,0.9999554401801515,5.447125201514117e-05,0.004261924800673626,0.0031145702165334306,0.20964600719023668,0.12616936708068352,0.007000186082829359,0.00440431882837238,0.027870045916642945,0.011646227742066431,0.005902132195763059,0.24132377701247373,0.9575892779089156,0.0837679828463537,0.024137996148674262,0.0022942684577235825,0.020444362798686475,0.004946660318153565,0.0316985727183257,8.23699472931432e-06,0.000470976845741201,0.01907898888308342,0.0006660091265285945,0.001761110915921854,0.03649232587415897,0.012667166765304239,0.22243052819621967,0.024137996148674262
