seed,method,depth,context_size,context_measurements,batch_size,block_size,inference_ms
17,optimized-CG,32,8,64,8,4,6.4563160500256345
17,optimized-CG,32,12,144,8,4,6.583611300447956
17,optimized-CG,32,16,256,8,4,6.610403349623084
17,optimized-CG,32,24,576,8,4,6.730217300355434
17,optimized-CG,32,32,1024,8,4,6.757587398169562
17,optimized-CG,32,48,2304,8,4,8.817518249270506
17,Jacobi-PCG,32,8,64,8,4,6.487189800827764
17,Jacobi-PCG,32,12,144,8,4,6.561365400557406
17,Jacobi-PCG,32,16,256,8,4,6.623293648590334
17,Jacobi-PCG,32,24,576,8,4,6.7557446513092145
17,Jacobi-PCG,32,32,1024,8,4,6.754397600889206
17,Jacobi-PCG,32,48,2304,8,4,8.825944349518977
17,block-Jacobi-PCG,32,8,64,8,4,6.785189200309105
17,block-Jacobi-PCG,32,12,144,8,4,7.031808650936
17,block-Jacobi-PCG,32,16,256,8,4,7.231505351956002
17,block-Jacobi-PCG,32,24,576,8,4,7.6603036490269005
17,block-Jacobi-PCG,32,32,1024,8,4,8.012823850731365
17,block-Jacobi-PCG,32,48,2304,8,4,10.69776555232238
17,angular-Jacobi-PCG,32,8,64,8,4,6.744441197952256
17,angular-Jacobi-PCG,32,12,144,8,4,6.879845549701713
17,angular-Jacobi-PCG,32,16,256,8,4,6.949680598336272
17,angular-Jacobi-PCG,32,24,576,8,4,7.099413950345479
17,angular-Jacobi-PCG,32,32,1024,8,4,7.328423499711789
17,angular-Jacobi-PCG,32,48,2304,8,4,9.856185750686564
17,optimized-CG,48,8,64,8,4,8.840535799390636
17,optimized-CG,48,12,144,8,4,8.911123499274254
17,optimized-CG,48,16,256,8,4,8.930182550102472
17,optimized-CG,48,24,576,8,4,9.067584949661978
17,optimized-CG,48,32,1024,8,4,9.084535849979147
17,optimized-CG,48,48,2304,8,4,11.123143849545158
17,Jacobi-PCG,48,8,64,8,4,8.836640400113538
17,Jacobi-PCG,48,12,144,8,4,8.923010801663622
17,Jacobi-PCG,48,16,256,8,4,9.009670649538748
17,Jacobi-PCG,48,24,576,8,4,9.117204751237296
17,Jacobi-PCG,48,32,1024,8,4,9.118950850097463
17,Jacobi-PCG,48,48,2304,8,4,11.198820150457323
17,block-Jacobi-PCG,48,8,64,8,4,9.103540299111046
17,block-Jacobi-PCG,48,12,144,8,4,9.346055099740624
17,block-Jacobi-PCG,48,16,256,8,4,9.589806199073792
17,block-Jacobi-PCG,48,24,576,8,4,10.044952100724913
17,block-Jacobi-PCG,48,32,1024,8,4,10.373276399332099
17,block-Jacobi-PCG,48,48,2304,8,4,13.07049950119108
17,angular-Jacobi-PCG,48,8,64,8,4,9.10772055212874
17,angular-Jacobi-PCG,48,12,144,8,4,9.247844948549755
17,angular-Jacobi-PCG,48,16,256,8,4,9.300318101304583
17,angular-Jacobi-PCG,48,24,576,8,4,9.488386299926788
17,angular-Jacobi-PCG,48,32,1024,8,4,9.698406347888522
17,angular-Jacobi-PCG,48,48,2304,8,4,12.197201751405373
17,optimized-CG,64,8,64,8,4,11.14400549849961
17,optimized-CG,64,12,144,8,4,11.231604247586802
17,optimized-CG,64,16,256,8,4,11.270894599147141
17,optimized-CG,64,24,576,8,4,11.42703004879877
17,optimized-CG,64,32,1024,8,4,11.427220850600861
17,optimized-CG,64,48,2304,8,4,13.490191250457428
17,Jacobi-PCG,64,8,64,8,4,11.18736254866235
17,Jacobi-PCG,64,12,144,8,4,11.266859550960362
17,Jacobi-PCG,64,16,256,8,4,11.325097849476151
17,Jacobi-PCG,64,24,576,8,4,11.47974100022111
17,Jacobi-PCG,64,32,1024,8,4,11.456946350517683
17,Jacobi-PCG,64,48,2304,8,4,13.534930799505673
17,block-Jacobi-PCG,64,8,64,8,4,11.460604349849746
17,block-Jacobi-PCG,64,12,144,8,4,11.713622402749024
