seed,method,network_width,parameter_count,context_size,context_measurements,depth,batch_size,inference_ms,peak_memory_mib,matvec_proxy
43,looped-Richardson,128,149251,8,64,32,8,19.34727570042014,539.90380859375,1622016
43,looped-Richardson,128,149251,12,144,32,8,17.20052989840042,541.87255859375,3667968
43,looped-Richardson,128,149251,16,256,32,8,17.242507750052027,543.8623046875,6553600
43,looped-Richardson,128,149251,24,576,32,8,17.5972034514416,548.75927734375,14893056
43,looped-Richardson,128,149251,32,1024,32,8,34.040606950293295,553.8525390625,26738688
43,looped-Richardson,128,149251,48,2304,32,8,69.02871615020558,560.8466796875,61341696
17,looped-HB,64,66435,8,64,32,8,4.993352750898339,538.64599609375,1622016
17,looped-HB,64,66435,12,144,32,8,5.138197200722061,540.61474609375,3667968
17,looped-HB,64,66435,16,256,32,8,5.179476048215292,542.6044921875,6553600
17,looped-HB,64,66435,24,576,32,8,5.495073148631491,547.50146484375,14893056
17,looped-HB,64,66435,32,1024,32,8,5.7725866994587705,552.5947265625,26738688
17,looped-HB,64,66435,48,2304,32,8,10.319086298113689,559.5888671875,61341696
29,looped-HB,64,66435,8,64,32,8,5.039302649674937,538.64599609375,1622016
29,looped-HB,64,66435,12,144,32,8,5.140565399779007,540.61474609375,3667968
29,looped-HB,64,66435,16,256,32,8,5.1976423477754,542.6044921875,6553600
29,looped-HB,64,66435,24,576,32,8,5.525846849195659,547.50146484375,14893056
29,looped-HB,64,66435,32,1024,32,8,5.852305798907764,552.5947265625,26738688
29,looped-HB,64,66435,48,2304,32,8,10.191801897599362,559.5888671875,61341696
43,looped-HB,64,66435,8,64,32,8,4.997077400912531,536.83935546875,1622016
43,looped-HB,64,66435,12,144,32,8,5.10204519960098,538.80810546875,3667968
43,looped-HB,64,66435,16,256,32,8,5.160114099271596,540.7978515625,6553600
43,looped-HB,64,66435,24,576,32,8,5.477074399823323,545.69482421875,14893056
43,looped-HB,64,66435,32,1024,32,8,5.811733100563288,550.7880859375,26738688
43,looped-HB,64,66435,48,2304,32,8,10.073431199998597,557.7822265625,61341696
17,looped-HB,256,364035,8,64,32,8,5.031319599947892,541.37451171875,1622016
17,looped-HB,256,364035,12,144,32,8,5.1101502001984045,543.34326171875,3667968
17,looped-HB,256,364035,16,256,32,8,5.453951650997624,545.3330078125,6553600
17,looped-HB,256,364035,24,576,32,8,5.521397650591098,550.22998046875,14893056
17,looped-HB,256,364035,32,1024,32,8,5.752879951614887,555.3232421875,26738688
17,looped-HB,256,364035,48,2304,32,8,10.28011855087243,562.3173828125,61341696
29,looped-HB,256,364035,8,64,32,8,4.989524898701347,550.783203125,1622016
29,looped-HB,256,364035,12,144,32,8,5.129285249859095,552.751953125,3667968
