method,network_width,parameter_count,dataset_size,depth,context_size,context_measurements,regime_class,n_tasks,average_precision_mean,average_precision_std,transformed_mean_relative_residual_mean,mean_relative_residual_mean,mean_relative_residual_std,covariance_relative_residual_mean,transformed_covariance_relative_residual_mean,relative_score_error_mean,numerical_coverage_95_mean,average_precision_ci95,mean_relative_residual_ci95
context-PCG,128,199684,32768,1,8,64,All,168,0.5014825587939173,0.24838265393797335,0.9268796266544432,2.2575046803270067,2.178701173462516,0.39821322244547663,0.4171690199346769,0.2513682697677896,0.1727329291849552,0.03755975006360218,0.3294572718389748
context-PCG,128,199684,32768,1,8,64,ID,48,0.7376902297238872,0.22575499544919572,0.9918331938485304,4.035683191070954,3.11826184718195,0.39556264504790306,0.4377436625460784,0.18552535376511511,0.1505102007310294,0.063866456622813,0.8821613652683769
context-PCG,128,199684,32768,1,8,64,OOD,120,0.4069994904219295,0.1869291289652183,0.9008981997768084,1.546233276029428,1.0175653063322476,0.39927345340450604,0.4089391628901164,0.27770543616885934,0.18162202056652552,0.03344586485908718,0.18206553419085664
context-PCG,128,199684,32768,1,12,144,All,168,0.6237507687982206,0.1828240046956759,1.056262279195445,3.5359057755697343,2.3057296210245593,0.45588090519110364,0.48210650717928294,0.19726393513736268,0.14603073078684417,0.027646149250467447,0.34866616853829585
context-PCG,128,199684,32768,1,12,144,ID,48,0.73446991782455,0.19231234618605703,1.0494787779947121,5.885488539934158,2.853108331260166,0.4690539203584194,0.503189147139589,0.15673414353902135,0.0889402616982503,0.05440547657111418,0.8071490029093082
context-PCG,128,199684,32768,1,12,144,OOD,120,0.5794631091876887,0.1593019047253455,1.058975679675738,2.5960726698239642,1.062208216778027,0.4506116991241773,0.4736734511951605,0.2134758517766992,0.16886691842228171,0.028502727246059446,0.19005316435824318
context-PCG,128,199684,32768,1,16,256,All,168,0.6354054540733982,0.17000758738909447,1.1374931179341816,4.096985440169062,1.770465165297472,0.479547215004762,0.5123898525323186,0.18217417384896956,0.13577350233598343,0.02570808544804816,0.26772493187665697
context-PCG,128,199684,32768,1,16,256,ID,48,0.7291425923684995,0.1663472132966239,1.0553744273881118,5.773251275221507,2.2999222367525944,0.5026688904811939,0.5328228877236446,0.16422154366349176,0.08003826358374978,0.04705989810411746,0.6506517540271152
context-PCG,128,199684,32768,1,16,256,OOD,120,0.5979105987553576,0.1570663908619381,1.1703405941526095,3.426479106148084,0.8502746576597038,0.47029854481418926,0.5042166384557883,0.18935522592316067,0.15806759783687688,0.02810274306499555,0.15213343929123282
context-PCG,128,199684,32768,1,24,576,All,168,0.650107394167397,0.17920579389404154,1.0731648284764517,4.576093372844515,1.87445299599981,0.5373473703151658,0.5684833689814522,0.18274175863535627,0.11214619509493262,0.02709901324385747,0.28344968909666535
