method,context_size,tolerance,reached,minimum_audited_depth,residual_at_selected_depth,inference_ms
Jacobi-PCG,8,0.1,True,16,2.7237726509299762e-05,4.372421593870968
Jacobi-PCG,8,0.01,True,16,2.7237726509299762e-05,4.372421593870968
Jacobi-PCG,8,0.001,True,16,2.7237726509299762e-05,4.372421593870968
Jacobi-PCG,12,0.1,True,32,4.8612649349937774e-05,6.637236548704095
Jacobi-PCG,12,0.01,True,32,4.8612649349937774e-05,6.637236548704095
Jacobi-PCG,12,0.001,True,32,4.8612649349937774e-05,6.637236548704095
Jacobi-PCG,16,0.1,True,32,0.019694812057342158,6.623293648590334
Jacobi-PCG,16,0.01,True,48,8.520114577202695e-05,8.996253050281666
Jacobi-PCG,16,0.001,True,48,8.520114577202695e-05,8.996253050281666
Jacobi-PCG,24,0.1,True,48,0.040037626214879746,9.117204751237296
Jacobi-PCG,24,0.01,True,64,0.005190515472663892,11.47974100022111
Jacobi-PCG,24,0.001,True,96,0.0001805778246891787,16.219659749185666
Jacobi-PCG,32,0.1,True,64,0.04219598765346394,11.47538649966009
Jacobi-PCG,32,0.01,True,96,0.002834542325910526,16.174692849745043
Jacobi-PCG,32,0.001,True,128,0.00034280009683802283,20.82969594921451
Jacobi-PCG,48,0.1,True,96,0.037973148152343,18.16800654924009
Jacobi-PCG,48,0.01,True,128,0.006608654609191813,22.89985014940612
Jacobi-PCG,48,0.001,False,-1,0.006608654609191813,-1.0
angular-Jacobi-PCG,8,0.1,True,16,2.6256271089844113e-05,4.667479998897761
angular-Jacobi-PCG,8,0.01,True,16,2.6256271089844113e-05,4.667479998897761
angular-Jacobi-PCG,8,0.001,True,16,2.6256271089844113e-05,4.667479998897761
angular-Jacobi-PCG,12,0.1,True,16,0.04628473066288948,4.732229001820087
angular-Jacobi-PCG,12,0.01,True,32,5.600677248939937e-05,6.945390699547716
angular-Jacobi-PCG,12,0.001,True,32,5.600677248939937e-05,6.945390699547716
angular-Jacobi-PCG,16,0.1,True,32,0.00029972308408061324,6.942911501391791
angular-Jacobi-PCG,16,0.01,True,32,0.00029972308408061324,6.942911501391791
angular-Jacobi-PCG,16,0.001,True,32,0.00029972308408061324,6.942911501391791
angular-Jacobi-PCG,24,0.1,True,48,0.0007942959694424613,9.481725850491785
angular-Jacobi-PCG,24,0.01,True,48,0.0007942959694424613,9.481725850491785
angular-Jacobi-PCG,24,0.001,True,48,0.0007942959694424613,9.481725850491785
angular-Jacobi-PCG,32,0.1,True,48,0.07782427091259095,9.720797499176117
angular-Jacobi-PCG,32,0.01,True,64,0.0011623129779373838,12.08630925102625
angular-Jacobi-PCG,32,0.001,True,96,0.0002865729683045167,16.731976700248197
angular-Jacobi-PCG,48,0.1,True,64,0.09597225191585793,14.566543200635351
angular-Jacobi-PCG,48,0.01,True,96,0.0012024308789260803,19.24043355102185
angular-Jacobi-PCG,48,0.001,True,128,0.0005668647465989668,23.86249025003053
block-Jacobi-PCG,8,0.1,True,8,0.003207741581986064,3.4976924071088438
block-Jacobi-PCG,8,0.01,True,8,0.003207741581986064,3.4976924071088438
block-Jacobi-PCG,8,0.001,True,16,2.4262454628918397e-05,4.668881988618523
block-Jacobi-PCG,12,0.1,True,16,0.09823866877930444,4.896418994758278
block-Jacobi-PCG,12,0.01,True,32,5.454887687099257e-05,7.031808650936
block-Jacobi-PCG,12,0.001,True,32,5.454887687099257e-05,7.031808650936
block-Jacobi-PCG,16,0.1,True,32,0.0252993194831593,7.211308649857528
block-Jacobi-PCG,16,0.01,True,48,9.582453792842206e-05,9.589806199073792
block-Jacobi-PCG,16,0.001,True,48,9.582453792842206e-05,9.589806199073792
block-Jacobi-PCG,24,0.1,True,64,0.036214064737751364,12.368961100582965
block-Jacobi-PCG,24,0.01,True,96,0.0002602002901290674,17.10198755026795
block-Jacobi-PCG,24,0.001,True,96,0.0002602002901290674,17.10198755026795
block-Jacobi-PCG,32,0.1,True,96,0.046616187553408496,17.4213639984373
block-Jacobi-PCG,32,0.01,True,128,0.009659547569017777,22.169250648585148
block-Jacobi-PCG,32,0.001,False,-1,0.009659547569017777,-1.0
block-Jacobi-PCG,48,0.1,False,-1,0.12650061830143902,-1.0
block-Jacobi-PCG,48,0.01,False,-1,0.12650061830143902,-1.0
block-Jacobi-PCG,48,0.001,False,-1,0.12650061830143902,-1.0
context-PCG,8,0.1,True,16,2.136233526005479e-05,5.378082799143158
