seed,method,network_width,parameter_count,dataset_size,context_size,context_measurements,depth,batch_size,inference_ms
17,looped-HB,128,149251,32768,8,64,1,8,17.223597806878388
17,looped-HB,128,149251,32768,12,144,1,8,15.608520002570003
17,looped-HB,128,149251,32768,16,256,1,8,13.225132797379048
17,looped-HB,128,149251,32768,24,576,1,8,12.902994395699352
17,looped-HB,128,149251,32768,32,1024,1,8,23.977503192145377
17,looped-HB,128,149251,32768,48,2304,1,8,71.02014999836683
17,looped-Chebyshev,128,149251,32768,8,64,1,8,18.83288900135085
17,looped-Chebyshev,128,149251,32768,12,144,1,8,16.98583560064435
17,looped-Chebyshev,128,149251,32768,16,256,1,8,16.587258398067206
17,looped-Chebyshev,128,149251,32768,24,576,1,8,16.592622397001833
17,looped-Chebyshev,128,149251,32768,32,1024,1,8,31.96349239442497
17,looped-Chebyshev,128,149251,32768,48,2304,1,8,80.13628059998155
17,looped-Richardson,128,149251,32768,8,64,1,8,18.765512201935053
17,looped-Richardson,128,149251,32768,12,144,1,8,16.55112620210275
17,looped-Richardson,128,149251,32768,16,256,1,8,16.460674593690783
17,looped-Richardson,128,149251,32768,24,576,1,8,17.278884595725685
17,looped-Richardson,128,149251,32768,32,1024,1,8,32.600744999945164
17,looped-Richardson,128,149251,32768,48,2304,1,8,75.3907282021828
17,looped-HB,128,149251,32768,8,64,2,8,16.097336204256862
17,looped-HB,128,149251,32768,12,144,2,8,12.51675939420238
17,looped-HB,128,149251,32768,16,256,2,8,12.565718800760806
17,looped-HB,128,149251,32768,24,576,2,8,16.89515939215198
17,looped-HB,128,149251,32768,32,1024,2,8,32.12044120300561
17,looped-HB,128,149251,32768,48,2304,2,8,79.75169160636142
17,looped-Chebyshev,128,149251,32768,8,64,2,8,18.765033001545817
17,looped-Chebyshev,128,149251,32768,12,144,2,8,16.6608426021412
17,looped-Chebyshev,128,149251,32768,16,256,2,8,16.15627860883251
17,looped-Chebyshev,128,149251,32768,24,576,2,8,17.351633601356298
17,looped-Chebyshev,128,149251,32768,32,1024,2,8,30.312864598818123
17,looped-Chebyshev,128,149251,32768,48,2304,2,8,80.18354020314291
17,looped-Richardson,128,149251,32768,8,64,2,8,19.08466579625383
17,looped-Richardson,128,149251,32768,12,144,2,8,15.508315595798194
17,looped-Richardson,128,149251,32768,16,256,2,8,15.403358393814417
17,looped-Richardson,128,149251,32768,24,576,2,8,16.182014800142497
17,looped-Richardson,128,149251,32768,32,1024,2,8,30.12760520214215
17,looped-Richardson,128,149251,32768,48,2304,2,8,74.52829940011725
17,looped-HB,128,149251,32768,8,64,4,8,18.959365994669497
17,looped-HB,128,149251,32768,12,144,4,8,16.581076802685857
17,looped-HB,128,149251,32768,16,256,4,8,16.738903196528554
17,looped-HB,128,149251,32768,24,576,4,8,16.386709606740624
17,looped-HB,128,149251,32768,32,1024,4,8,32.28426440618932
17,looped-HB,128,149251,32768,48,2304,4,8,80.8958385954611
17,looped-Chebyshev,128,149251,32768,8,64,4,8,19.11260960623622
17,looped-Chebyshev,128,149251,32768,12,144,4,8,16.772109002340585
17,looped-Chebyshev,128,149251,32768,16,256,4,8,16.7512116022408
17,looped-Chebyshev,128,149251,32768,24,576,4,8,17.550288792699575
17,looped-Chebyshev,128,149251,32768,32,1024,4,8,31.90873540006578
17,looped-Chebyshev,128,149251,32768,48,2304,4,8,75.42152659734711
17,looped-Richardson,128,149251,32768,8,64,4,8,18.369858607184145
17,looped-Richardson,128,149251,32768,12,144,4,8,16.013520397245884
17,looped-Richardson,128,149251,32768,16,256,4,8,15.31410439638421
17,looped-Richardson,128,149251,32768,24,576,4,8,16.09273919602856
17,looped-Richardson,128,149251,32768,32,1024,4,8,29.554379999171942
17,looped-Richardson,128,149251,32768,48,2304,4,8,60.195342206861824
17,looped-HB,128,149251,32768,8,64,8,8,19.477355806157
17,looped-HB,128,149251,32768,12,144,8,8,16.69680600753054
17,looped-HB,128,149251,32768,16,256,8,8,16.438400803599507
17,looped-HB,128,149251,32768,24,576,8,8,17.220282193738967
17,looped-HB,128,149251,32768,32,1024,8,8,30.2039347938262
17,looped-HB,128,149251,32768,48,2304,8,8,79.803118808195
17,looped-Chebyshev,128,149251,32768,8,64,8,8,19.08751380397007
17,looped-Chebyshev,128,149251,32768,12,144,8,8,16.66075219400227
17,looped-Chebyshev,128,149251,32768,16,256,8,8,16.940122400410473
17,looped-Chebyshev,128,149251,32768,24,576,8,8,17.139924003276974
17,looped-Chebyshev,128,149251,32768,32,1024,8,8,30.41948199970648
17,looped-Chebyshev,128,149251,32768,48,2304,8,8,74.83608080074191
17,looped-Richardson,128,149251,32768,8,64,8,8,17.866152001079172
17,looped-Richardson,128,149251,32768,12,144,8,8,15.587642195168884
17,looped-Richardson,128,149251,32768,16,256,8,8,14.25915559520945
17,looped-Richardson,128,149251,32768,24,576,8,8,13.164726190734656
