scenario,cg_average_precision,context_average_precision,cg_transformed_mean_residual,context_transformed_mean_residual,transformed_mean_residual_gain,transformed_covariance_residual_gain
ID four obstacles,0.809386922878159,0.8123747990897242,0.9625703419248263,0.12902393327870712,7.460401473310841,2.9389493078964244
ID one obstacle,0.9868735790733506,0.9875312117386716,2.069525891294082,0.1396484402939677,14.819541750252387,1.489157646764573
OOD 30 percent noise,0.7811848006163736,0.7819177493954453,0.4149222268412511,0.045465043047442984,9.126181325909618,4.776206488520857
OOD half aperture,0.5455351222250088,0.5445967021118389,0.9656375631069144,0.23404438801420227,4.125873605857696,1.2801405069546852
OOD six obstacles,0.7750541939447841,0.7760781448519108,0.8426800407469273,0.103011285905571,8.180463270009076,4.401808533712277
OOD stars,0.8124750726144239,0.8206794206527684,0.8589472662036618,0.11401663648818305,7.533525743786391,2.3657753059192843
OOD wavenumber 12,0.8555469849165643,0.860555185127601,1.310511989519,0.1935022138059139,6.772594296174133,2.3618078994145306
