scenario,comparison,reference,candidate,n_geometry_batches,geometric_mean_gain,gain_ci95_lower,gain_ci95_upper,median_gain,candidate_win_rate,win_rate_ci95_lower,win_rate_ci95_upper,average_precision_delta_mean,average_precision_delta_ci95_lower,average_precision_delta_ci95_upper,coverage_delta_mean,coverage_delta_ci95_lower,coverage_delta_ci95_upper
ID four obstacles,CG / context-PCG,identity-CG,context-PCG,192,2.7002157057060674,2.593319716724407,2.81151792057136,2.6733592077506314,1.0,0.9803841471883398,0.9999999999999999,0.0014930582508187295,0.00024879072128070534,0.0027373257803567537,0.7793865555528706,0.7739266075055382,0.784846503600203
ID four obstacles,CG / hybrid-PCG,identity-CG,hybrid-PCG,192,2.106230622464644,2.021463631158821,2.1945521881413756,2.0912054368381643,0.9947916666666666,0.971091779786119,0.9990800325356756,0.0008925302335444935,-0.00037138969879854005,0.002156450165887527,0.7541088635043707,0.7477809096868769,0.7604368173218644
ID four obstacles,CG / angular-Jacobi-PCG,identity-CG,angular-Jacobi-PCG,192,2.250472042613195,2.1633174522994265,2.341137871004707,2.2200287244359576,1.0,0.9803841471883398,0.9999999999999999,0.0014619757779852436,0.00024333918583837677,0.0026806123701321105,0.7635838449253546,0.757815434431024,0.7693522554196852
ID four obstacles,angular-Jacobi-PCG / context-PCG,angular-Jacobi-PCG,context-PCG,192,1.199844145840017,1.172902919847492,1.2274042036605628,1.196966379511013,0.875,0.8207442276347474,0.9145438827565076,3.108247283348589e-05,-0.00023730837407942665,0.00029947331974639844,0.015802710627516103,0.013881160719826924,0.01772426053520528
OOD half aperture,CG / context-PCG,identity-CG,context-PCG,192,1.294352412655791,1.2508136116988167,1.339406728930988,1.3054740672161125,0.8541666666666666,0.7973021290016528,0.8971366419234214,0.0007903936224540496,-5.47400893247111e-05,0.0016355273342328102,0.5166696470987517,0.504851573433479,0.5284877207640245
OOD half aperture,CG / hybrid-PCG,identity-CG,hybrid-PCG,192,1.1396464565803228,1.100874943715082,1.1797834562508014,1.1237339378906586,0.734375,0.6677487596039902,0.7918063093905441,0.0011644633145614256,8.78820300028707e-05,0.0022410445991199804,0.44101594895861734,0.42611637830898896,0.4559155196082457
OOD half aperture,CG / angular-Jacobi-PCG,identity-CG,angular-Jacobi-PCG,192,1.1370816170595293,1.104511981611546,1.17061165961117,1.1410156938225278,0.7395833333333334,0.6732387801500894,0.7965286237109901,0.002009430628580158,0.0009338882473956928,0.003084973009764623,0.44183473264759715,0.42802467508445985,0.45564479021073445
OOD half aperture,angular-Jacobi-PCG / context-PCG,angular-Jacobi-PCG,context-PCG,192,1.1383109121075765,1.1045223922589262,1.1731330588718638,1.1399611708641773,0.71875,0.6513422642131048,0.7775758001817938,-0.0012190370061261084,-0.001800959767723102,-0.0006371142445291147,0.07483491445115457,0.06789854447209641,0.08177128443021274
OOD six obstacles,CG / context-PCG,identity-CG,context-PCG,192,3.52412095570257,3.368345613537938,3.687100415262097,3.5614574105162267,1.0,0.9803841471883398,0.9999999999999999,0.002501152485766421,0.0012209895759351182,0.003781315395597724,0.8237969032687337,0.8169495057124768,0.8306443008249905
OOD six obstacles,CG / hybrid-PCG,identity-CG,hybrid-PCG,192,3.670817095525737,3.4864965052249914,3.8648821613932594,3.670773736955427,1.0,0.9803841471883398,0.9999999999999999,0.002313090538761508,0.0010086149992867876,0.0036175660782362283,0.8208522667996476,0.8139992286528016,0.8277053049464936
