seed,method,depth,context_size,context_measurements,scenario,regime,task,block_size,raw_condition,transformed_condition,condition_reduction,auc,average_precision,iou_top7,centroid_error,area_matched_iou,exact_score_correlation,relative_score_error,mean_relative_residual,covariance_relative_residual,posterior_std_mean,uq_error_correlation,numerical_coverage_95
17,Jacobi-PCG,32,8,64,ID one obstacle,ID,0,4,4332.39404296875,4232.22216796875,1.023668885231018,0.9998566308243727,0.9888888888888889,0.16363636363636364,0.004848103504627943,0.8,0.9999999999016819,1.545773898214975e-06,7.859028119128197e-05,1.4036032780495589e-06,0.01040764432400465,-0.0586648691453631,1.0
17,Jacobi-PCG,32,8,64,ID one obstacle,ID,1,4,3037.50830078125,3078.2978515625,0.9867492914199829,0.9998708010335917,0.9909090909090909,0.18181818181818182,0.02579677291214466,0.8181818181818182,0.9999999998935433,2.101280415445217e-06,5.938210233580321e-05,1.889956479317334e-06,0.011428873986005783,-0.148407196925005,1.0
17,Jacobi-PCG,32,8,64,ID one obstacle,ID,2,4,4312.74267578125,4346.9677734375,0.9921266436576843,0.9994865211810012,0.9428571428571428,0.09090909090909091,0.011900728568434715,0.6666666666666666,0.9999999996836886,2.4698047127458267e-06,8.228582009905949e-05,2.2123394955997355e-06,0.008803959004580975,-0.09018633460453365,1.0
17,Jacobi-PCG,32,8,64,ID one obstacle,ID,3,4,4701.568359375,4756.71044921875,0.9884074926376343,1.0,1.0,0.21818181818181817,0.08051664382219315,1.0,0.9999999991464233,5.551023605221417e-06,9.511684038443491e-05,1.4888382793287747e-06,0.011547665111720562,-0.0024234134769054423,1.0
17,Jacobi-PCG,32,8,64,ID one obstacle,ID,4,4,5063.90185546875,4842.58642578125,1.0457018613815308,0.9998566308243727,0.9888888888888889,0.16363636363636364,0.018561718985438347,0.8,0.9999999993994929,4.337000063969754e-06,9.553501149639487e-05,2.82383894045779e-06,0.01082165353000164,0.061739572382824674,1.0
17,Jacobi-PCG,32,8,64,ID one obstacle,ID,5,4,5559.2998046875,5514.69921875,1.0080876350402832,1.0,1.0,0.10909090909090909,0.038508348166942596,1.0,0.9999999996642512,2.6225970941595733e-06,9.61863188422285e-05,2.4476055386912776e-06,0.008616955950856209,0.003657223072353723,1.0
17,Jacobi-PCG,32,8,64,ID one obstacle,ID,6,4,4125.724609375,4174.62353515625,0.9882866144180298,0.9997857754927164,0.9761904761904762,0.10909090909090909,0.008223198354244232,0.7142857142857143,0.9999999997678629,2.4824139472912066e-06,8.925149450078607e-05,2.446848156978376e-06,0.00876319408416748,-0.0999258210040894,1.0
17,Jacobi-PCG,32,8,64,ID one obstacle,ID,7,4,3956.592529296875,3915.306396484375,1.010544776916504,0.9991431019708654,0.8972222222222223,0.10909090909090909,0.02341972477734089,0.7142857142857143,0.9999999998451824,3.023673116331338e-06,7.343859761022031e-05,2.251545083709061e-06,0.009230967611074448,-0.02136957424506572,1.0
17,Jacobi-PCG,32,8,64,ID four obstacles,ID,0,4,154.48944091796875,153.8024139404297,1.0044668912887573,0.9544963430851064,0.5495557221461498,0.3181818181818182,0.1265050321817398,0.3617021276595745,0.999999999999477,3.9350871361421014e-07,3.2074956379801733e-06,4.191956293198018e-07,0.02886294014751911,-0.23937446231411258,1.0
17,Jacobi-PCG,32,8,64,ID four obstacles,ID,1,4,681.8369140625,679.6078491210938,1.0032799243927002,0.9404577525382893,0.6873421990141118,0.38235294117647056,0.147025004029274,0.41818181818181815,0.9999999999929784,1.4280369668995263e-06,1.3189589481044095e-05,3.215819504021056e-07,0.06302790343761444,-0.028693506617385255,1.0
