method,network_width,parameter_count,dataset_size,context_size,context_measurements,regime_class,n_tasks,n_seeds,training_seconds,average_precision_mean,average_precision_std,auc_mean,auc_std,iou_top7_mean,iou_top7_std,centroid_error_mean,centroid_error_std,area_matched_iou_mean,area_matched_iou_std,exact_score_correlation_mean,exact_score_correlation_std,relative_score_error_mean,relative_score_error_std,transformed_mean_relative_residual_mean,transformed_mean_relative_residual_std,transformed_covariance_relative_residual_mean,transformed_covariance_relative_residual_std,posterior_std_mean_mean,posterior_std_mean_std,uq_error_correlation_mean,uq_error_correlation_std,numerical_coverage_95_mean,numerical_coverage_95_std,average_precision_ci95,auc_ci95,iou_top7_ci95,centroid_error_ci95,area_matched_iou_ci95,exact_score_correlation_ci95,relative_score_error_ci95,transformed_mean_relative_residual_ci95,transformed_covariance_relative_residual_ci95,posterior_std_mean_ci95,uq_error_correlation_ci95,numerical_coverage_95_ci95,localization_risk_mean,localization_risk_ci95,inference_ms
hybrid-PCG,128,182531,32768,24,576,All,672,3,115.1912461690372,0.7742046667483391,0.1576846114992748,0.9819917818492999,0.016499225976523497,0.38164841245716613,0.1328940136960912,0.04448927330828408,0.035370834956656265,0.5594268230390782,0.20662008972733406,0.9999288018865415,0.00031166113245321476,0.0010283276177685335,0.0016295628795522648,0.029570617297644056,0.042557567518219847,0.004164309302065463,0.005465602521681766,0.027916478135185045,0.011418158380948014,0.008520787230321828,0.20957545060618327,0.9701450871348026,0.10926280971444101,0.01192231925798646,0.00124748406157998,0.010047935836575346,0.002674340779136479,0.015622264287053872,2.3564274827350036e-05,0.0001232090355315058,0.0032177198648066234,0.0004132467815418093,0.0008633114434032269,0.01584571510819101,0.008261212606952334,0.2257953332516609,0.01192231925798646,8.371799098677002
context-PCG,128,199684,32768,24,576,All,672,3,327.6769744529738,0.7742301577156929,0.15761524982966474,0.9819954167760875,0.016498664568145794,0.38175108361903376,0.13294490457473004,0.04436834974110052,0.03541621593228423,0.5595768993217598,0.20626810999411832,0.9999165019892049,0.00039726575065699804,0.0010109301686618008,0.0015947547270465277,0.027621717920218107,0.03914869068801337,0.004085370888192471,0.004979140136853401,0.027915560278675606,0.011411903994725485,-0.00933476951994874,0.18002614486724386,0.9677269323728979,0.1194074505891751,0.011917074916376358,0.0012474416142552254,0.010051783626773026,0.0026777719730528117,0.015595651577596435,3.0036723714274156e-05,0.00012057723840806875,0.0029599793186972055,0.0003764660214931224,0.0008628385577576414,0.013611532244550527,0.009028235121807913,0.22576984228430708,0.011917074916376358,8.33818269893527
population-PCG,128,149251,32768,24,576,All,672,3,290.2170983469696,0.7743969522140363,0.15757137366528717,0.9820019274471485,0.01648683464021766,0.3816744464077602,0.13266406293929003,0.044707569777919565,0.03534346352917329,0.5597715273292505,0.20715382953593636,0.9998684318835332,0.0003266861470545372,0.0020515886319084297,0.0020484826036310908,0.06510699505148898,0.06227744004896072,0.007406432108100872,0.006233320561458679,0.028111542845311126,0.011547163845481557,0.06147981339567267,0.1991001470329351,0.9431771550194493,0.14528854733365315,0.011913757499194357,0.001246547169475756,0.010030549572245986,0.0026722712626890844,0.015662619628886848,2.4700295769594598e-05,0.00015488298675887926,0.004708712637042812,0.00047129289957012423,0.0008730653713202882,0.0150536916359122,0.010985069686707231,0.22560304778596374,0.011913757499194357,7.547898299526423
looped-HB,128,149251,32768,24,576,All,672,3,292.8193603059626,0.5047369112366689,0.260529718924253,0.9566934127010857,0.03204671741781829,0.24060876872107947,0.09942463291111486,0.066972226326108,0.0366818688951455,0.32148076425164646,0.2545330874747018,0.9527229434709843,0.05128214903672999,0.10441247564518731,0.036659319772445645,0.1265120326120051,0.04338663946142969,0.01984839749916097,0.007103211075887407,0.03773941839296765,0.013031133237644836,0.5361220451454808,0.1610648817072333,0.1669988274779392,0.16359963511743628,0.019698298113400275,0.002423008767900362,0.007517361424198775,0.0027734662741616925,0.019244900956034927,0.0038773736209151244,0.0027717613656277587,0.003280404868123085,0.0005370641396036584,0.0009852662810617698,0.012177896896250335,0.012369546158086192,0.49526308876333114,0.019698298113400275,20.62921439937781
looped-Chebyshev,128,149251,32768,24,576,All,672,3,274.5819147051079,0.6506478399287103,0.215490615181862,0.9721592615926592,0.021459365041971257,0.32646518822110543,0.1264638458962939,0.07407453779229568,0.04679305894718881,0.4546616467656204,0.2201593473899227,0.914357544386763,0.08394620425346172,0.12450032044545788,0.05080307079983316,0.09325555847248147,0.028979195955306142,0.028064843616448294,0.005476442387538561,0.03927499459712717,0.01204451451728003,0.4261922418852394,0.18092467358560982,0.2246017778369215,0.16428502872362521,0.01629295266589713,0.0016225134378774304,0.009561759584735069,0.003537959617757187,0.016645949165589174,0.006347058461126464,0.003841151166260038,0.0021910776374047046,0.00041406636907308236,0.000910669379954845,0.013679468780278222,0.012421367837530194,0.34935216007128966,0.01629295266589713,17.85038404923398
looped-Richardson,128,149251,32768,24,576,All,672,3,261.2009978039423,0.29962959204921363,0.26110175603607577,0.9113750416038126,0.05339115367510157,0.10690114805949073,0.09343997169759165,0.1007800221427931,0.05490121144935468,0.15670743766849535,0.25207308431232206,0.8841358441471292,0.09007017479949929,0.25559526859294796,0.04155914077640214,0.25900261851382395,0.09010451197100927,0.07377811009341492,0.02647555992728846,0.05593300111580725,0.0148236191281164,0.11946151190120281,0.4265461763782843,0.044633365791794034,0.03444510917171176,0.01974154906230216,0.004036832596500423,0.007064869320117709,0.004151006013370165,0.019058903458887385,0.006810083554584625,0.0031422301752390613,0.006812679741474811,0.0020017811185623364,0.0011207937041149473,0.03225057692505839,0.0026043479101524993,0.7003704079507864,0.01974154906230216,17.5972034514416
identity-CG,0,0,0,24,576,All,672,3,0.0,0.7736126912202861,0.15743110664051918,0.9819595526161009,0.016506676705185384,0.3814066113809576,0.13263839350096984,0.044358132304730194,0.0353853914367982,0.5585974396445351,0.20608252116573997,0.999954334903284,5.401719378356094e-05,0.004439108566614165,0.0032528513130958983,0.22178950574016193,0.13643043341599434,0.007293595807173609,0.004774202292293798,0.02798695928608395,0.011494455661690673,-0.006104938107706566,0.2228931712253469,0.9546491497506698,0.0891007579637856,0.011903152100007006,0.0012480474010521517,0.010028608740887006,0.0026754413748247626,0.01558161945840862,4.08416663861392e-06,0.00024594366872425044,0.010315319727305346,0.0003609709494778393,0.0008690801771489063,0.016852649871835136,0.006736787264607092,0.2263873087797139,0.011903152100007006,7.289441648754291
exact,0,0,0,24,576,All,672,3,0.0,0.7741331651978333,0.1575512977811994,0.9819856862957066,0.016504317553185977,0.3816061031331825,0.13281436668817329,0.04448637768191986,0.03540242895735837,0.5596606515028801,0.2069594635132425,1.0,0.0,0.0,0.0,6.209812784433622e-05,5.994955204389851e-05,1.67293321934061e-06,7.965704417144556e-07,0.027834261990002575,0.011449023797928568,0.0,0.0,1.0,0.0,0.011912239588871939,0.0012478690287744286,0.010041913834508615,0.002676729558608529,0.015647923877960816,0.0,0.0,4.5327041874591536e-06,6.022760894228865e-08,0.0008656451356498843,0.0,0.0,0.22586683480216674,0.011912239588871939,10.90890564955771
