method,context_size,average_precision_mean_candidate,transformed_mean_relative_residual_mean_candidate,transformed_covariance_relative_residual_mean_candidate,numerical_coverage_95_mean_candidate,average_precision_mean_cg,transformed_mean_relative_residual_mean_cg,transformed_covariance_relative_residual_mean_cg,numerical_coverage_95_mean_cg,transformed_mean_residual_gain,transformed_covariance_residual_gain,average_precision_delta,runtime_ratio
context-PCG,8,0.5160708439764429,3.236470517660924e-06,3.591570040103623e-07,1.0,0.5160710111281117,1.872815289118796e-05,8.029868267454634e-07,1.0,5.786597711609389,2.2357543296644042,-1.6715166883951582e-07,1.1047168993829364
context-PCG,12,0.7404453910774091,3.9996118651517e-06,5.220529337924247e-07,1.0,0.7404515007029,4.413051513957365e-05,1.4207006481724096e-06,1.0,11.033699425706608,2.7213727884868075,-6.109625490857695e-06,1.117022000522196
context-PCG,16,0.7542874674350989,5.9852160722258794e-05,3.089782677881119e-05,1.0,0.7542020037405853,0.018407966863831886,0.0006701122481917521,1.0,307.557265129545,21.688005858434522,8.546369451356561e-05,1.1204787010081294
context-PCG,24,0.7742301577156929,0.027621717920218107,0.004085370888192471,0.9677269323728979,0.7736126912202861,0.22178950574016193,0.007293595807173609,0.9546491497506698,8.029533368662054,1.7852958780936004,0.0006174664954068376,1.1438712456612092
context-PCG,32,0.787749710033971,0.0627218013969901,0.007980901093105737,0.937448746192136,0.7871226514834161,0.503370796413427,0.015709161201292333,0.5891851073774022,8.025451839742326,1.9683443032344576,0.0006270585505548931,1.216670592912418
context-PCG,48,0.7976761732811372,0.1369588486905697,0.013252635523843133,0.8647845218933764,0.7951509537526663,1.0606850456623804,0.031659602935265124,0.24373253264846942,7.744552877038122,2.388928819351108,0.0025252195284708456,1.2686662184596407
hybrid-PCG,8,0.5160763217092365,3.167364628015299e-06,3.6976285500145423e-07,1.0,0.5160710111281117,1.872815289118796e-05,8.029868267454634e-07,1.0,5.912850300068924,2.171626532747064,5.3105811247400325e-06,1.1289569542160565
hybrid-PCG,12,0.740448173510305,4.195962542160221e-06,5.619286940523287e-07,1.0,0.7404515007029,4.413051513957365e-05,1.4207006481724096e-06,1.0,10.517375857424549,2.5282578789972043,-3.3271925949929226e-06,1.1368547664360038
hybrid-PCG,16,0.7542880506805594,3.933949920410741e-05,1.3616280654145714e-05,1.0,0.7542020037405853,0.018407966863831886,0.0006701122481917521,1.0,467.92580577410916,49.21404495196894,8.604693997404933e-05,1.1424567208735887
hybrid-PCG,24,0.7742046667483391,0.029570617297644056,0.004164309302065463,0.9701450871348026,0.7736126912202861,0.22178950574016193,0.007293595807173609,0.9546491497506698,7.500333980441873,1.751453909428881,0.0005919755280530126,1.148482901993965
hybrid-PCG,32,0.7875694312733016,0.07653553032789547,0.008424259940901279,0.9336525839753449,0.7871226514834161,0.503370796413427,0.015709161201292333,0.5891851073774022,6.5769557518824655,1.8647526680677984,0.0004467797898854986,1.1947005882828534
hybrid-PCG,48,0.7976787589630593,0.1888711749703534,0.014502895863967831,0.826082656159997,0.7951509537526663,1.0606850456623804,0.031659602935265124,0.24373253264846942,5.615918076587776,2.1829849177861647,0.002527805210392975,1.2211126026375145
looped-Chebyshev,8,0.535960676363506,0.1336804043035261,0.01994747692550018,0.4197795146251987,0.5160710111281117,1.872815289118796e-05,8.029868267454634e-07,1.0,0.00014009647104795572,4.0255057305966965e-05,0.01988966523539426,2.782972652985831
looped-Chebyshev,12,0.6887462354719042,0.06989611650074251,0.026637580446688233,0.2407221766426075,0.7404515007029,4.413051513957365e-05,1.4207006481724096e-06,1.0,0.0006313729195398839,5.333444796218497e-05,-0.051705265230995834,2.509180793748499
looped-Chebyshev,16,0.6693520902309775,0.07920386148284052,0.02654657783153063,0.24042607623033244,0.7542020037405853,0.018407966863831886,0.0006701122481917521,1.0,0.23241249251237533,0.025242886388008475,-0.0848499135096078,2.5038277119780297
looped-Chebyshev,24,0.6506478399287103,0.09325555847248147,0.028064843616448294,0.2246017778369215,0.7736126912202861,0.22178950574016193,0.007293595807173609,0.9546491497506698,2.3782979735798717,0.25988371454523146,-0.12296485129157575,2.448799909425775
looped-Chebyshev,32,0.6475034407224791,0.12242814499352656,0.04873453732579941,0.21286214950253318,0.7871226514834161,0.503370796413427,0.015709161201292333,0.5891851073774022,4.111561082952314,0.32234144537525167,-0.13961921076093697,4.560249136633197
looped-Chebyshev,48,0.613885325704188,52000.55366988277,156196.3647045828,0.18019807954000755,0.7951509537526663,1.0606850456623804,0.031659602935265124,0.24373253264846942,2.039757215655761e-05,2.0269103570459876e-07,-0.18126562804847834,6.788991097451451
looped-HB,8,0.5407309487530534,0.10135289868256739,0.02131984145255821,0.40685548376547687,0.5160710111281117,1.872815289118796e-05,8.029868267454634e-07,1.0,0.0001847816207984704,3.7663827309987405e-05,0.024659937624941675,2.7596559604229633
looped-HB,12,0.6000910693099707,0.09279549074320428,0.015640762973080584,0.24645438030399544,0.7404515007029,4.413051513957365e-05,1.4207006481724096e-06,1.0,0.0004755674525360002,9.083320619445397e-05,-0.1403604313929293,2.321855417543087
looped-HB,16,0.5416721053877718,0.10187230711259565,0.017799620265750875,0.22265814280641882,0.7542020037405853,0.018407966863831886,0.0006701122481917521,1.0,0.18069647567210045,0.03764755866624571,-0.21252989835281355,2.793309559059211
looped-HB,24,0.5047369112366689,0.1265120326120051,0.01984839749916097,0.1669988274779392,0.7736126912202861,0.22178950574016193,0.007293595807173609,0.9546491497506698,1.753109970340605,0.36746522269527926,-0.2688757799836172,2.830012968538294
looped-HB,32,0.4980307980719099,0.15397223433856627,0.02290224702751614,0.12665512404540394,0.7871226514834161,0.503370796413427,0.015709161201292333,0.5891851073774022,3.2692309660622034,0.6859222670342522,-0.28909185341150617,5.2570657560947005
looped-HB,48,0.4816932188725223,0.21261645750408723,0.029754591138390334,0.09723487390424232,0.7951509537526663,1.0606850456623804,0.031659602935265124,0.24373253264846942,4.988725040920176,1.0640241295205324,-0.313457734880144,7.937227754988286
looped-Richardson,8,0.46124764302981,0.3222317670671535,0.041695560860500205,0.10711628192785563,0.5160710111281117,1.872815289118796e-05,8.029868267454634e-07,1.0,5.812013216960383e-05,1.925832894854194e-05,-0.05482336809830174,2.652712100406434
looped-Richardson,12,0.3357873366886499,0.14018455110046832,0.07588975812818496,0.038777787158497105,0.7404515007029,4.413051513957365e-05,1.4207006481724096e-06,1.0,0.00031480298501613006,1.8720584743104757e-05,-0.4046641640142501,2.3713714919971607
looped-Richardson,16,0.3102279530235052,0.1917061607486435,0.06848873506255798,0.03731816321652284,0.7542020037405853,0.018407966863831886,0.0006701122481917521,1.0,0.09602178037443243,0.009784269596739784,-0.4439740507170801,2.3896116532290232
