seed,axis,level,level_label,geometry_draw,method,network_width,depth,context_size,obstacle_count,relative_noise,aperture_degrees,wavenumber,rotation,jitter_fraction,tasks_per_geometry,average_precision,mean_relative_residual,covariance_relative_residual,original_mean_relative_residual,original_covariance_relative_residual,relative_score_error,numerical_coverage_95
17,obstacle_count,1.0,count=1,0,exact,0,0,48,1,0.15,360.0,8.0,0.9265967693661448,0.05,4,1.0,0.0004274964885553345,7.724489819338487e-06,0.0004274964885553345,7.724489819338487e-06,0.0,1.0
17,obstacle_count,1.0,count=1,0,angular-Jacobi-PCG,0,32,48,1,0.15,360.0,8.0,0.9265967693661448,0.05,4,1.0,0.11019436456263065,0.0171691223513335,0.5957663543522358,0.016693988465704024,0.0027659684856189415,0.7812499850988388
17,obstacle_count,1.0,count=1,0,identity-CG,0,32,48,1,0.15,360.0,8.0,0.9265967693661448,0.05,4,1.0,1.0935856699943542,0.02121174754574895,1.0935862809419632,0.021211713552474976,0.00872405688278377,0.05612244736403227
17,obstacle_count,1.0,count=1,0,population-PCG,128,32,48,1,0.15,360.0,8.0,0.9265967693661448,0.05,4,0.9916666666666667,0.2690529264509678,0.022682593669742346,0.9424679279327393,0.022760937456041574,0.007995526131708175,0.4075255021452904
17,obstacle_count,1.0,count=1,0,context-PCG,128,32,48,1,0.15,360.0,8.0,0.9265967693661448,0.05,4,1.0,0.09320307057350874,0.01416776527184993,0.7610178515315056,0.01130827097222209,0.0034803678427124396,0.6562499850988388
17,obstacle_count,1.0,count=1,0,hybrid-PCG,128,32,48,1,0.15,360.0,8.0,0.9265967693661448,0.05,4,1.0,0.11227255500853062,0.01275429769884795,0.5222082883119583,0.008637414197437465,0.0026958828675560653,0.7385204136371613
17,obstacle_count,1.0,count=1,0,looped-HB,128,32,48,1,0.15,360.0,8.0,0.9265967693661448,0.05,4,0.987310606060606,0.1515820175409317,0.018717083614319563,0.6605507880449295,0.025553721468895674,0.17484211549162865,0.011798469349741936
17,obstacle_count,1.0,count=1,1,exact,0,0,48,1,0.15,360.0,8.0,5.986774604004034,0.05,4,0.97125,0.0004277910047676414,7.895664111856604e-06,0.0004277910047676414,7.895664111856604e-06,0.0,1.0
17,obstacle_count,1.0,count=1,1,angular-Jacobi-PCG,0,32,48,1,0.15,360.0,8.0,5.986774604004034,0.05,4,0.97125,0.1805423777550459,0.0198765741661191,1.1128122359514236,0.01930764690041542,0.012395493919029832,0.42889030277729034
17,obstacle_count,1.0,count=1,1,identity-CG,0,32,48,1,0.15,360.0,8.0,5.986774604004034,0.05,4,0.97125,0.809600442647934,0.02337256819009781,0.8096005171537399,0.023372582159936428,0.007038054056465626,0.12691326159983873
17,obstacle_count,1.0,count=1,1,population-PCG,128,32,48,1,0.15,360.0,8.0,5.986774604004034,0.05,4,0.97125,0.3139866627752781,0.02534412033855915,1.2783580720424652,0.02849506912752986,0.008944307337515056,0.3867984674870968
17,obstacle_count,1.0,count=1,1,context-PCG,128,32,48,1,0.15,360.0,8.0,5.986774604004034,0.05,4,0.97125,0.13483219593763351,0.018338320311158895,1.0405152887105942,0.018351991195231676,0.012115488876588643,0.4292091764509678
17,obstacle_count,1.0,count=1,1,hybrid-PCG,128,32,48,1,0.15,360.0,8.0,5.986774604004034,0.05,4,0.97125,0.16233228147029877,0.016762308543547988,0.523891769349575,0.007947663078084588,0.007869014400057495,0.43112244084477425
17,obstacle_count,1.0,count=1,1,looped-HB,128,32,48,1,0.15,360.0,8.0,5.986774604004034,0.05,4,0.9573611111111111,0.15402870252728462,0.018815059680491686,0.6845410764217377,0.02709499280899763,0.17971211299300194,0.008290816156659275
17,obstacle_count,1.0,count=1,2,exact,0,0,48,1,0.15,360.0,8.0,2.3749492404086854,0.05,4,0.8951624356172082,0.0003732120603672229,7.147260589590587e-06,0.0003732120603672229,7.147260589590587e-06,0.0,1.0
17,obstacle_count,1.0,count=1,2,angular-Jacobi-PCG,0,32,48,1,0.15,360.0,8.0,2.3749492404086854,0.05,4,0.8956016099694261,0.14872696809470654,0.018861189484596252,1.0060058310627937,0.026798334438353777,0.0059706220927182585,0.7024872303009033
17,obstacle_count,1.0,count=1,2,identity-CG,0,32,48,1,0.15,360.0,8.0,2.3749492404086854,0.05,4,0.8986872695206028,1.2557611763477325,0.02749679982662201,1.2557616531848907,0.027496822644025087,0.011125307064503431,0.07876275293529034
