seed,method,network_width,parameter_count,dataset_size,training_seconds,context_size,context_measurements,scenario,regime,task,auc,average_precision,iou_top7,centroid_error,area_matched_iou,exact_score_correlation,relative_score_error,mean_relative_residual,covariance_relative_residual,posterior_std_mean,uq_error_correlation,numerical_coverage_95
17,identity-CG,0,0,0,0.0,8,64,ID one obstacle,ID,0,0.9998566308243727,0.9888888888888889,0.16363636363636364,0.004848103504627943,0.8,0.9999999998714113,1.8226571683044313e-06,7.744604226900265e-05,2.9724312753387494e-06,0.010407635010778904,0.023945093586419264,1.0
17,identity-CG,0,0,0,0.0,8,64,ID one obstacle,ID,1,0.9998708010335917,0.9909090909090909,0.18181818181818182,0.02579677291214466,0.8181818181818182,0.9999999999288327,3.5081438909401186e-06,6.073485565138981e-05,1.970813627849566e-06,0.011429060250520706,-0.19121211605938307,1.0
17,identity-CG,0,0,0,0.0,8,64,ID one obstacle,ID,2,0.9994865211810012,0.9428571428571428,0.09090909090909091,0.011900728568434715,0.6666666666666666,0.9999999998493864,1.5786677067808341e-06,8.352055738214403e-05,2.6690895538195036e-06,0.0088040204718709,-0.03704554652592482,1.0
17,identity-CG,0,0,0,0.0,8,64,ID one obstacle,ID,3,1.0,1.0,0.21818181818181817,0.08051664382219315,1.0,0.9999999994796226,3.8109869819891173e-06,9.739791858009994e-05,2.3087980025593424e-06,0.011547843925654888,0.08906079260793903,1.0
17,identity-CG,0,0,0,0.0,8,64,ID one obstacle,ID,4,0.9998566308243727,0.9888888888888889,0.16363636363636364,0.018561718985438347,0.8,0.9999999997007836,2.8058104817318963e-06,9.397638496011496e-05,2.773224650809425e-06,0.010821755975484848,0.023617580749649727,1.0
17,identity-CG,0,0,0,0.0,8,64,ID one obstacle,ID,5,1.0,1.0,0.10909090909090909,0.038508348166942596,1.0,0.9999999997446073,2.520126599847572e-06,9.767435403773561e-05,3.29335830429045e-06,0.00861691776663065,0.06520085377534546,1.0
17,identity-CG,0,0,0,0.0,8,64,ID one obstacle,ID,6,0.9997857754927164,0.976190476190476,0.10909090909090909,0.008223198354244232,0.7142857142857143,0.9999999997380782,2.0884219793515513e-06,9.022980520967394e-05,4.55169492852292e-06,0.008763294667005539,-0.07716787252716222,1.0
17,identity-CG,0,0,0,0.0,8,64,ID one obstacle,ID,7,0.9991431019708654,0.8972222222222223,0.10909090909090909,0.02341972477734089,0.7142857142857143,0.9999999997933859,3.8302118809951935e-06,7.46471414458938e-05,2.523396460674121e-06,0.00923091173171997,-0.12289594501714157,1.0
17,exact,0,0,0,0.0,8,64,ID one obstacle,ID,0,0.9998566308243727,0.9888888888888889,0.16363636363636364,0.004848103504627943,0.8,1.0,0.0,3.059338632738218e-05,8.592779749960755e-07,0.010407618246972561,0.0,1.0
17,exact,0,0,0,0.0,8,64,ID one obstacle,ID,1,0.9998708010335917,0.9909090909090909,0.18181818181818182,0.02579677291214466,0.8181818181818182,1.0,0.0,2.9030248697381467e-05,8.430064326603315e-07,0.011428900994360447,0.0,1.0
