method,depth,context_size,context_measurements,regime_class,n_tasks,average_precision_mean,transformed_mean_relative_residual_mean,mean_relative_residual_mean,covariance_relative_residual_mean,transformed_covariance_relative_residual_mean,relative_score_error_mean,numerical_coverage_95_mean,raw_condition_median,transformed_condition_median,condition_reduction_median
Jacobi-PCG,1,8,64,All,168,0.5730869857756661,1.2215622500294732,1.2475321484463555,0.383504044264555,0.38486197360214736,0.36477646803749453,0.1335869144691276,445.6859893798828,427.49049377441406,1.0190576314926147
Jacobi-PCG,1,8,64,ID,48,0.8291578498158594,1.7772336055835087,1.784465150286754,0.3829752653837204,0.3830305679390828,0.39092632724593085,0.09948979378532381,1829.6270751953125,1818.7857360839844,1.003862202167511
Jacobi-PCG,1,8,64,OOD,120,0.47065864015958875,0.9992937078078588,1.0327589477101962,0.3837155558168888,0.38559453586737313,0.3543165243541201,0.14722576274264912,406.63999938964844,402.89137268066406,1.029789686203003
Jacobi-PCG,1,12,144,All,168,0.7034620367950826,1.6060623026319913,1.6257130148864927,0.3973648166727452,0.39895499533131007,0.40090650586145266,0.09939868597055981,1489.9290771484375,1461.4237670898438,1.0068761706352234
Jacobi-PCG,1,12,144,ID,48,0.8459013599978976,2.3335162748893103,2.345478929579258,0.38309769332408905,0.38302439575393993,0.4516197647899389,0.05806228629808171,5079.3985595703125,4905.1568603515625,1.0034428834915161
Jacobi-PCG,1,12,144,OOD,120,0.6464863075139566,1.3150807137290637,1.3378066490093867,0.4030716660122077,0.40532723516225816,0.38062120229005814,0.11593324583955104,1234.2193603515625,1246.4429321289062,1.0089395642280579
Jacobi-PCG,1,16,256,All,168,0.7136463638489979,1.7128066406363534,1.7359474294242405,0.39887515224871184,0.4005842563651857,0.41379631346180323,0.10715044750083633,2769.3154296875,2816.3656005859375,0.9992445111274719
Jacobi-PCG,1,16,256,ID,48,0.8404788437450196,2.3582304591933885,2.3847586860259375,0.38548013505836326,0.38748090900480747,0.4624969443927209,0.06544961617813287,9666.582397460938,9311.07958984375,0.9977576732635498
Jacobi-PCG,1,16,256,OOD,120,0.6629133718905892,1.4546371132135392,1.4764229267835618,0.40423315912485125,0.405825595309337,0.39431606108943623,0.12383078002991771,2542.6280517578125,2563.245849609375,1.002553641796112
Jacobi-PCG,1,24,576,All,168,0.7376364461553253,1.7412871725502468,1.7572396092471623,0.4015096504063833,0.4036098179363069,0.40144826968510944,0.10247357634112368,6717.5966796875,6707.093505859375,0.9954241216182709
Jacobi-PCG,1,24,576,ID,48,0.8611535643967798,2.3527745082974434,2.3558504159251847,0.3894490624467532,0.3896510327855746,0.46374256412188214,0.06308460704652433,23377.8388671875,22730.95947265625,1.0001952052116394
Jacobi-PCG,1,24,576,OOD,120,0.6882295988587435,1.496692238251368,1.5177952865759532,0.40633388559023537,0.40919333199659985,0.3765305519104004,0.11822916405896343,5944.91455078125,6192.035400390625,0.9857743084430695
Jacobi-PCG,1,32,1024,All,168,0.7294647538201806,1.733869119059472,1.7540694368737084,0.4109219749058996,0.4135815893255529,0.38284090374197277,0.08068361101946457,11775.0068359375,11839.533203125,0.9960493743419647
