variant,seed,n_context,method,mse,se,episodes,parameters,eta,beta
mismatched,2,4,model,0.6029181480407715,0.005331453401595354,5120,1346,2.736677408218384,0.6831863522529602
mismatched,2,4,exact_krr,0.5111014246940613,0.004887761082500219,5120,1346,2.736677408218384,0.6831863522529602
mismatched,2,4,nw,0.854479968547821,0.009562618099153042,5120,1346,2.736677408218384,0.6831863522529602
mismatched,2,8,model,0.3571818470954895,0.0038407021202147007,5120,1346,2.6940619945526123,0.6418719291687012
mismatched,2,8,exact_krr,0.23880739510059357,0.0029376058373600245,5120,1346,2.6940619945526123,0.6418719291687012
mismatched,2,8,nw,0.46449118852615356,0.0054082004353404045,5120,1346,2.6940619945526123,0.6418719291687012
mismatched,2,12,model,0.2094925343990326,0.0026665208861231804,5120,1346,2.639524221420288,0.6006632447242737
mismatched,2,12,exact_krr,0.11586872488260269,0.001912592095322907,5120,1346,2.639524221420288,0.6006632447242737
mismatched,2,12,nw,0.32282572984695435,0.0035534340422600508,5120,1346,2.639524221420288,0.6006632447242737
mismatched,2,16,model,0.11931169033050537,0.0017635897966101766,5120,1346,2.5786168575286865,0.5635311007499695
mismatched,2,16,exact_krr,0.0551157109439373,0.0010419113095849752,5120,1346,2.5786168575286865,0.5635311007499695
mismatched,2,16,nw,0.2594526410102844,0.002608774695545435,5120,1346,2.5786168575286865,0.5635311007499695
mismatched,2,24,model,0.04128440096974373,0.000820607878267765,5120,1346,2.4430184364318848,0.497706800699234
mismatched,2,24,exact_krr,0.016862787306308746,0.0003436181286815554,5120,1346,2.4430184364318848,0.497706800699234
mismatched,2,24,nw,0.2106095254421234,0.0017821475630626082,5120,1346,2.4430184364318848,0.497706800699234
