r,num_depths,slope_V_same_off_vs_L,intercept_V_same_off_vs_L,slope_C_same_off_vs_L,intercept_C_same_off_vs_L,slope_A_same_off_vs_L,intercept_A_same_off_vs_L,slope_V_disjoint_off_vs_L,intercept_V_disjoint_off_vs_L,slope_C_disjoint_off_vs_L,intercept_C_disjoint_off_vs_L,slope_A_disjoint_off_vs_L,intercept_A_disjoint_off_vs_L
8,11,2.007377787474128,-8.825083346730368,2.0317635936275855,-3.9978285789728205,2.0578465564236224,0.8272972746028069,2.5010972467840697,-10.594778161269607,2.525204380489774,-5.768325384736627,2.5507173744085225,-0.9442221548713872
16,11,1.7637297470320434,-9.214438592083368,1.7850294515328378,-4.383371107050697,1.8077502099769232,0.44583401993109256,2.2821815887308317,-10.963082640637246,2.302582071556734,-6.1318319731664435,2.3238642210791194,-1.3023487407621883
32,11,1.7923786673065827,-9.888722850930408,1.8106021419421416,-5.053139419106656,1.8295527531552858,-0.21842223956255108,2.3272548442466396,-11.621699196059089,2.345374026055247,-6.786927107381398,2.364295006529539,-1.9537892580237766
64,11,1.5568129980724166,-10.02581925779777,1.575016211786091,-5.190333513759355,1.593805803489616,-0.3555518336907802,2.065419500119553,-11.66045779771717,2.083600464377801,-6.825902519595716,2.102053503878087,-1.992125407477639
128,11,1.5487289385629601,-10.359647231398373,1.566232861574058,-5.523124902649543,1.5841867682688362,-0.6871298051769971,2.077854305069091,-12.01896770951588,2.095323160934668,-7.183109168988302,2.1130430324162495,-2.3480985360504136
