label,seeds,mean_h_risk_across_seeds,geometric_mean_h_risk_across_seeds,max_seed_h_risk,mean_expected_hvp_per_prompt,mean_fallback_rate
HB learned,3,0.0169139569695464,0.00043340000610444417,0.05065458730451628,10.0,0.0
Chebyshev learned,3,0.011852396699009856,0.00029640077523857976,0.03549955335085458,10.0,0.0
HB + PCG-4 guard,3,2.7975268201304503e-10,1.9231444509156324e-10,5.27778778084698e-10,10.033040364583334,0.008260091145833334
Chebyshev + PCG-4 guard,3,2.109979451004082e-10,1.557428084744407e-10,3.630979782103019e-10,10.030924479166666,0.007731119791666667
PCG-4,3,9.130538605720865e-10,8.853108117136203e-10,1.2222428885033068e-09,4.0,0.0
PCG-10,3,8.983287936327624e-12,8.870194779655005e-12,1.0612604846137427e-11,10.0,0.0
HB oracle,3,8.482705226048947e-12,4.3696461190833195e-12,2.1500627919026518e-11,10.0,0.0
Chebyshev oracle,3,5.740545000638743e-12,3.489729767082431e-12,1.3691696433415787e-11,10.0,0.0
