seed,label,controller,hvp_depth,fallback_rate,expected_hvp_per_prompt,h_risk_mean,h_risk_std,h_risk_ci95_halfwidth,h_risk_median,h_risk_q95,h_risk_q99,h_risk_max
0,HB learned,learned_hb,10,0.0,10.0,0.05065458730451628,4.579030858415434,0.09915957799447034,1.0427268770651921e-10,2.4011826693648427e-10,5.81641136587796e-09,414.4464111328125
0,Chebyshev learned,learned_chebyshev,10,0.0,10.0,0.03549955335085458,3.2092600116754006,0.06949699145342389,7.250416239612534e-11,1.5168869701986938e-10,3.896318712115702e-09,290.4689636230469
0,HB + PCG-4 guard,certified_hb_pcg,10,0.0098876953125,10.03955078125,2.5955738930981377e-10,6.862931024975894e-09,1.4861776766388992e-10,1.0346473677813606e-10,2.345259569880298e-10,3.682826801854057e-10,5.318954663380282e-07
0,Chebyshev + PCG-4 guard,residual_guarded_chebyshev_pcg,10,0.0096435546875,10.03857421875,2.233048606515652e-10,6.8633974759751216e-09,1.4862786872799467e-10,7.208631608301985e-11,1.4840808859606368e-10,2.1340116992951718e-10,5.318954663380282e-07
0,PCG-4,pcg,4,0.0,4.0,6.715896502268097e-10,1.1307152308693998e-08,2.448580247474662e-10,2.2185998697910048e-12,6.270874874925164e-10,9.556530065069073e-09,5.318954663380282e-07
0,PCG-10,pcg,10,0.0,10.0,9.15053306272245e-12,2.17933658808376e-11,4.719385019761065e-13,1.6926394097102615e-12,5.4090608728185594e-11,1.166144802944303e-10,2.1132134930823554e-10
0,HB oracle,oracle_hb,10,0.0,10.0,2.0968908853911984e-12,2.2403805448536523e-11,4.851576594344816e-13,9.714148973063996e-13,4.067120988951456e-12,8.797923240627683e-12,1.2246326175358035e-09
0,Chebyshev oracle,oracle_chebyshev,10,0.0,10.0,1.870525730446262e-12,1.389991539974094e-11,3.0100468588545675e-13,9.703200699526238e-13,4.101457888594506e-12,8.394760372953946e-12,7.420483671971567e-10
1,HB learned,learned_hb,10,0.0,10.0,6.088964756221393e-05,0.005211165052678781,0.00011284853574059022,2.8910279725735677e-10,1.3249200181419947e-09,4.924278029783171e-09,0.47141826152801514
1,Chebyshev learned,learned_chebyshev,10,0.0,10.0,3.866587506436103e-05,0.0033181930518593225,7.185595225283424e-05,1.9506569970406673e-10,7.139525914912065e-10,1.993306042447092e-09,0.3001899719238281
1,HB + PCG-4 guard,certified_hb_pcg,10,0.008544921875,10.0341796875,5.27778778084698e-10,4.74596998314743e-09,1.0277466897573516e-10,2.858797087945675e-10,1.2308109309522303e-09,2.476824731978411e-09,2.888457970584568e-07
1,Chebyshev + PCG-4 guard,residual_guarded_chebyshev_pcg,10,0.0078125,10.03125,3.630979782103019e-10,4.7317868206991895e-09,1.0246753053389439e-10,1.9300834541713385e-10,6.731507962154381e-10,1.2886556111091372e-09,2.888457970584568e-07
1,PCG-4,pcg,4,0.0,4.0,8.453290429861428e-10,1.0830996933346493e-08,2.3454681096901266e-10,6.379711212436967e-13,7.957197928343251e-10,1.3490618631095697e-08,4.6542888298972684e-07
1,PCG-10,pcg,10,0.0,10.0,7.186725900122995e-12,2.0325050747866262e-11,4.4014192461066883e-13,4.3440503473025915e-13,4.6403238369852024e-11,1.1184127131358416e-10,3.403988479977471e-10
1,HB oracle,oracle_hb,10,0.0,10.0,2.1500627919026518e-11,4.0848430887729974e-10,8.845787009972814e-12,3.2364050133425193e-13,2.3885784669608325e-11,3.0403724204930536e-10,2.9169081372515393e-08
1,Chebyshev oracle,oracle_chebyshev,10,0.0,10.0,1.3691696433415787e-11,2.3978730429400145e-10,5.192628885329873e-12,3.1652347301340533e-13,1.9204200295969143e-11,2.1076477133008554e-10,1.7937448859584038e-08
2,HB learned,learned_hb,10,0.0,10.0,2.6393956560701894e-05,0.0023546141607773143,5.098951148000751e-05,1.5687466950464746e-11,4.476281550286343e-11,2.359397074935859e-10,0.21310502290725708
2,Chebyshev learned,learned_chebyshev,10,0.0,10.0,1.897087111062723e-05,0.0016941245539812497,3.6686513159027547e-05,1.2068162441591923e-11,2.9640488154181184e-11,1.443877047091486e-10,0.15332823991775513
2,HB + PCG-4 guard,certified_hb_pcg,10,0.00634765625,10.025390625,5.192187864462327e-11,9.752149511093062e-10,2.1118421341969367e-11,1.55989474809326e-11,4.375632182973543e-11,1.1136767466557462e-10,5.3909722907974356e-08
2,Chebyshev + PCG-4 guard,residual_guarded_chebyshev_pcg,10,0.0057373046875,10.02294921875,4.659099643935747e-11,9.754804208949762e-10,2.1124170128717317e-11,1.2015468481285652e-11,2.938594489271251e-11,6.881273176273528e-11,5.3909722907974356e-08
2,PCG-4,pcg,4,0.0,4.0,1.2222428885033068e-09,1.8483122137724235e-08,4.0025469315819754e-10,2.8774385218283127e-12,2.0172829851006185e-09,1.877426738516879e-08,1.3506640925697866e-06
2,PCG-10,pcg,10,0.0,10.0,1.0612604846137427e-11,2.425576273446058e-11,5.25262063316914e-13,6.459291109796317e-13,6.821578232840683e-11,1.2022233597530628e-10,1.819668721259049e-10
2,HB oracle,oracle_hb,10,0.0,10.0,1.8505968737291226e-12,5.195663242855787e-11,1.1251284179841606e-12,2.0190487194475526e-13,1.2948568541178151e-12,1.207230771946292e-11,3.577791174436129e-09
2,Chebyshev oracle,oracle_chebyshev,10,0.0,10.0,1.65941283805418e-12,5.020718500765182e-11,1.0872438801104437e-12,2.0145564632711305e-13,1.193575788335441e-12,1.0551479412423982e-11,3.4114391311845793e-09
