seed,scenario,category,method,task,auc,average_precision,iou_top7,centroid_error,area_matched_iou,score_correlation,mean_relative_residual,covariance_relative_residual,balanced_brier,balanced_nll,balanced_ece,uncertainty_error_auc,certificate,predicted_lower,true_lower,predicted_upper,true_upper,boundary_residual
17,one obstacle,ID,learned-Richardson,0,0.6907519764662622,0.03300562574669239,0.03333333333333333,0.2580219805240631,0.0,-0.5319440997342556,0.8380114436149597,0.17316803336143494,0.22794339060783386,0.6393805742263794,0.2439207136631012,0.8023278863722549,1.0,1.2599695764947683e-05,1.4248885236156639e-05,0.9999459981918335,0.9735162854194641,1.472755428721939e-07
17,one obstacle,ID,learned-Richardson,1,0.7685522756674115,0.14618456815414163,0.08196721311475409,0.31686657667160034,0.047619047619047616,-0.4962919634520988,0.8177458047866821,0.0729917585849762,0.20869003236293793,0.6011748313903809,0.13628517091274261,0.7553238122791791,1.0,1.3869032954971772e-05,1.4731470400874969e-05,0.9999336004257202,0.9055883884429932,1.2300311027502175e-06
17,one obstacle,ID,learned-Richardson,2,0.6844672657252888,0.035125330087553516,0.034482758620689655,0.13353750109672546,0.0,-0.5318592474128859,0.8371491432189941,0.09673753380775452,0.22769823670387268,0.6388181447982788,0.1909504383802414,0.7931415215989684,1.0,1.2374459402053617e-05,1.3025909538555425e-05,0.9999457597732544,0.9618290662765503,8.546327876501891e-07
17,one obstacle,ID,learned-Richardson,3,0.8067383512544802,0.2752202275624686,0.06666666666666667,0.6770957708358765,0.125,-0.5580919254702273,0.8249843120574951,0.12316429615020752,0.2035960853099823,0.5913017988204956,0.15681755542755127,0.8356684958202986,1.0,1.3478966138791293e-05,1.4257894690672401e-05,0.9999420642852783,0.9672249555587769,1.530351312339917e-07
17,one obstacle,ID,learned-HB,0,1.0,1.0,0.12727272727272726,0.02252184972167015,1.0,0.811852202321695,0.614981472492218,0.38461509346961975,0.003798422170802951,0.014835014007985592,0.0028355747926980257,0.9983452840595698,0.0,0.0011113837826997042,4.741135489894077e-05,0.9997282028198242,0.9577894806861877,1.472755428721939e-07
17,one obstacle,ID,learned-HB,1,1.0,1.0,0.2,0.008884805254638195,1.0,0.8962029291187965,0.5761333107948303,0.30318373441696167,0.0013570801820605993,0.006465142592787743,0.005033988505601883,0.997439180537772,0.0,0.0010472254361957312,6.57977579976432e-05,0.9997251033782959,0.8752169013023376,1.2300311027502175e-06
17,one obstacle,ID,learned-HB,2,0.9997432605905007,0.9666666666666667,0.09090909090909091,0.02693604677915573,0.6666666666666666,0.8647603203898271,0.6177498698234558,0.062041159719228745,0.004565485753118992,0.020271234214305878,0.005091195926070213,0.9954121863799282,0.0,0.0011003883555531502,4.4810003601014614e-05,0.999727725982666,0.9189633727073669,8.546327876501891e-07
17,one obstacle,ID,learned-HB,3,1.0,1.0,0.16363636363636364,0.01807229407131672,1.0,0.8643483048792843,0.6041717529296875,0.4753619432449341,0.0028722514398396015,0.010444842278957367,0.002108209067955613,0.9974326059050065,0.0,0.001090054283849895,5.8079334849026054e-05,0.9997271299362183,0.95268315076828,1.530351312339917e-07
17,one obstacle,ID,learned-Chebyshev,0,1.0,1.0,0.12727272727272726,0.02455110289156437,1.0,0.8221660831012793,0.5730950236320496,0.0783519372344017,0.0033903210423886776,0.0127584058791399,0.0020836195908486843,0.9976435304198801,0.0,8.627602801425382e-05,6.64623366901651e-05,0.9997034668922424,0.9432361125946045,1.472755428721939e-07
17,one obstacle,ID,learned-Chebyshev,1,1.0,1.0,0.2,0.012284713797271252,1.0,0.9043694536000376,0.5346677899360657,0.04045180231332779,0.0010205339640378952,0.0056425658985972404,0.004652232863008976,0.9995731967562954,1.0,9.25536805880256e-05,9.618302283342928e-05,0.9997015595436096,0.8548099994659424,1.2300311027502175e-06
17,one obstacle,ID,learned-Chebyshev,2,0.9997432605905007,0.9666666666666667,0.09090909090909091,0.032769106328487396,0.6666666666666666,0.8668132161117111,0.5805843472480774,0.05627607926726341,0.0039551896043121815,0.017978819087147713,0.004220659378916025,0.9946681375252804,0.0,8.60785148688592e-05,6.296718493103981e-05,0.9997032284736633,0.8941511511802673,8.546327876501891e-07
17,one obstacle,ID,learned-Chebyshev,3,1.0,1.0,0.16363636363636364,0.026235206052660942,1.0,0.8831487574605628,0.5549124479293823,0.07846315205097198,0.0022045064251869917,0.00853688269853592,0.003832649439573288,0.9997432605905007,0.0,8.994844392873347e-05,8.561327558709309e-05,0.9997028708457947,0.9512698650360107,1.530351312339917e-07
17,one obstacle,ID,global-safe-HB,0,1.0,1.0,0.12727272727272726,0.0355452336370945,1.0,0.8149228375243506,1.326532244682312,4.056818962097168,0.47069278359413147,2.898818254470825,0.4847937524318695,1.0,0.0,0.0011120327981188893,2.0887087885057554e-05,0.9997282028198242,0.9716290831565857,1.472755428721939e-07
17,one obstacle,ID,global-safe-HB,1,1.0,1.0,0.2,0.004442398436367512,1.0,0.8989355145898216,0.8425061702728271,1.858052134513855,0.00022649220773018897,0.0040609887801110744,0.003931588493287563,0.5,0.0,0.0009932080283761024,2.243801463919226e-05,0.9997221231460571,0.9003637433052063,1.2300311027502175e-06
17,one obstacle,ID,global-safe-HB,2,1.0,1.0,0.09090909090909091,0.018442843109369278,1.0,0.8762439867636086,1.1156374216079712,3.2007012367248535,0.0027970694936811924,0.021881092339754105,0.018739815801382065,0.9987163029525032,0.0,0.0011020851088687778,1.9867973605869338e-05,0.999727725982666,0.9535444974899292,8.546327876501891e-07
17,one obstacle,ID,global-safe-HB,3,1.0,1.0,0.16363636363636364,0.010870412923395634,1.0,0.8089009978023949,0.7548465132713318,1.337459921836853,0.0007338070427067578,0.003985094837844372,0.0033844662830233574,1.0,0.0,0.0010721144499257207,2.1840141926077195e-05,0.9997262954711914,0.9652642607688904,1.530351312339917e-07
17,one obstacle,ID,population-safe-HB,0,1.0,1.0,0.12727272727272726,0.02252184972167015,1.0,0.8681847704238187,0.805182695388794,2.568193197250366,0.002986941719427705,0.0103469118475914,0.0023128639440983534,1.0,0.0,0.0011113837826997042,4.741135489894077e-05,0.9997282028198242,0.9577894806861877,1.472755428721939e-07
17,one obstacle,ID,population-safe-HB,1,1.0,1.0,0.2,0.012046149000525475,1.0,0.9246479094969464,0.7114230990409851,1.841378092765808,0.00018963355978485197,0.0007277670665644109,0.0005951114580966532,0.5,0.0,0.0010472254361957312,6.57977579976432e-05,0.9997251033782959,0.8752169013023376,1.2300311027502175e-06
17,one obstacle,ID,population-safe-HB,2,0.9997432605905007,0.9666666666666667,0.09090909090909091,0.02693604677915573,0.6666666666666666,0.9105173201971861,0.6125786900520325,0.3309909701347351,0.003936120308935642,0.04938126355409622,0.00411610770970583,0.747107969151671,0.0,0.0011003883555531502,4.4810003601014614e-05,0.999727725982666,0.9189633727073669,8.546327876501891e-07
17,one obstacle,ID,population-safe-HB,3,0.9998566308243727,0.9888888888888889,0.16363636363636364,0.018256917595863342,0.8,0.9091729941525484,0.8819913268089294,3.0003316402435303,0.0022996373008936644,0.01176130399107933,0.006723119877278805,0.9997432605905006,0.0,0.001090054283849895,5.8079334849026054e-05,0.9997271299362183,0.95268315076828,1.530351312339917e-07
17,one obstacle,ID,spectrum-HB,0,0.5467916896488324,0.010493001431302296,0.0,0.08299849927425385,0.0,0.411359328963901,8.002412796020508,37.28529739379883,0.5,6.907757759094238,0.4999987781047821,0.4929214929214929,0.0,0.0011113837826997042,4.741135489894077e-05,0.9997282028198242,0.9577894806861877,1.472755428721939e-07
17,one obstacle,ID,spectrum-HB,1,0.7282135716805833,0.025568275977388685,0.0,0.0562853179872036,0.0,0.6004735788631327,7.081923484802246,31.554080963134766,0.5000025033950806,6.907828330993652,0.4999285638332367,0.48124191461836996,0.0,0.0010472254361957312,6.57977579976432e-05,0.9997251033782959,0.8752169013023376,1.2300311027502175e-06
17,one obstacle,ID,spectrum-HB,2,0.5776636713735559,0.008684589911886652,0.0,0.07441365718841553,0.0,0.47466135096007767,7.963198184967041,37.44514846801758,0.5,6.907756805419922,0.49999910593032837,0.49229781771501924,0.0,0.0011003883555531502,4.4810003601014614e-05,0.999727725982666,0.9189633727073669,8.546327876501891e-07
17,one obstacle,ID,spectrum-HB,3,0.6074551971326165,0.015198000303426672,0.0,0.05446746572852135,0.0,0.5388022964309579,7.482817649841309,34.269596099853516,0.5,6.907760143280029,0.4999959468841553,0.48774193548387096,0.0,0.001090054283849895,5.8079334849026054e-05,0.9997271299362183,0.95268315076828,1.530351312339917e-07
