seed,method,depth,mean_relative_residual,covariance_relative_residual
17,learned-Richardson,4,0.6416134238243103,0.17766013741493225
17,learned-HB,4,0.7747980952262878,0.6994019150733948
17,learned-Chebyshev,4,0.7325782179832458,0.20127809047698975
17,global-safe-HB,4,0.77946937084198,0.7089657783508301
17,population-safe-HB,4,0.8215216398239136,0.8555474281311035
17,spectrum-HB,4,1.9332221746444702,3.9876699447631836
17,population-PCG,4,1.8891193866729736,0.2746613025665283
17,learned-Richardson,8,0.5920409560203552,0.12183421850204468
17,learned-HB,8,0.6388264894485474,0.5849624276161194
17,learned-Chebyshev,8,0.6213226318359375,0.1209755539894104
17,global-safe-HB,8,0.8215529918670654,1.0003337860107422
17,population-safe-HB,8,0.7288775444030762,0.8572791814804077
17,spectrum-HB,8,2.86468505859375,6.203174591064453
17,population-PCG,8,1.176631212234497,0.11280829459428787
17,learned-Richardson,16,0.5500682592391968,0.08866509795188904
17,learned-HB,16,0.46444371342658997,0.3619406521320343
17,learned-Chebyshev,16,0.46271076798439026,0.06083672493696213
17,global-safe-HB,16,0.6791481971740723,0.8064752817153931
17,population-safe-HB,16,0.6240280866622925,0.770139753818512
17,spectrum-HB,16,3.916896343231201,8.602035522460938
17,population-PCG,16,0.9978704452514648,0.05051393806934357
17,learned-Richardson,24,0.5269851684570312,0.0769699364900589
17,learned-HB,24,0.3599804639816284,0.20168815553188324
17,learned-Chebyshev,24,0.36311131715774536,0.03934098035097122
17,global-safe-HB,24,0.5676600933074951,0.6809442043304443
17,population-safe-HB,24,0.5290560722351074,0.6228327751159668
17,spectrum-HB,24,4.165628910064697,9.174047470092773
17,population-PCG,24,0.3547562062740326,0.012918763794004917
17,learned-Richardson,32,0.5102353096008301,0.07057318091392517
17,learned-HB,32,0.2947845458984375,0.13637202978134155
17,learned-Chebyshev,32,0.28790217638015747,0.027736052870750427
17,global-safe-HB,32,0.5042759776115417,0.5866752862930298
17,population-safe-HB,32,0.4691741466522217,0.6080256700515747
17,spectrum-HB,32,3.968444347381592,8.748567581176758
17,population-PCG,32,0.159049391746521,0.005498572718352079
17,learned-Richardson,48,0.4852166175842285,0.06289710849523544
17,learned-HB,48,0.216502383351326,0.0456773117184639
17,learned-Chebyshev,48,0.17734315991401672,0.016336245462298393
17,global-safe-HB,48,0.32635337114334106,0.31610947847366333
17,population-safe-HB,48,0.333396852016449,0.4203394055366516
17,spectrum-HB,48,3.060708999633789,6.752137660980225
17,population-PCG,48,0.013107238337397575,0.0005793358432129025
17,learned-Richardson,64,0.4661415219306946,0.05784514546394348
17,learned-HB,64,0.1708291620016098,0.017271364107728004
17,learned-Chebyshev,64,0.10346256196498871,0.010550369508564472
17,global-safe-HB,64,0.2655807435512543,0.277107834815979
17,population-safe-HB,64,0.25863000750541687,0.323607861995697
17,spectrum-HB,64,2.1043365001678467,4.643049240112305
17,population-PCG,64,0.0006884101894684136,6.136989395599812e-05
