ensemble,ambient_dimension,component_count,empirical_mean,theory_mean_small_epsilon,empirical_std,theory_std_small_epsilon
gaussian,64,2,29.279525538917238,29.26813511837133,2.3346793177805107,2.33190878211248
gaussian,64,4,28.710411270065688,28.71022090120759,1.4628001013001926,1.4601415835891973
gaussian,64,8,28.455259414139082,28.455336987074162,0.9676008743715766,0.9686370346606015
gaussian,64,16,28.32783415814982,28.33465220713986,0.662814633044453,0.663417185958351
gaussian,64,32,28.274713713159517,28.276061898390942,0.46153596613136766,0.4617386595930372
gaussian,64,64,28.248301151031143,28.247209131758975,0.32431290591443634,0.3239394215396528
stiefel,64,2,29.231226144880132,29.23957807788998,2.303802044238699,2.3092989887119133
stiefel,64,4,28.68613690499759,28.68166386072625,1.424439799568333,1.423754436445739
stiefel,64,8,28.427989602074067,28.426779946592816,0.9111459982613613,0.9128641498539848
stiefel,64,16,28.304543588441092,28.306095166658515,0.5791919538683752,0.578952168833879
stiefel,64,32,28.246874700620303,28.2475048579096,0.3294278790804269,0.32903775001560204
stiefel,64,64,28.2186517606991,28.218652091277633,1.0658185445600045e-14,0.0
