time,mode,rate,z,ntk_eigenvalue
0.0,0,1.0,1e-07,4e-07
0.0,1,0.6931448431551464,1e-07,4e-07
0.0,2,0.48044977359257246,1e-07,4e-07
0.0,3,0.33302128296074923,1.0000000000000001e-07,4.0000000000000003e-07
0.0,4,0.23083198494515414,1e-07,4e-07
0.0,5,0.16,1.0000000000000001e-07,4.0000000000000003e-07
0.17882689556509299,0,1.0,1.1958137021755875e-07,4.78325480870235e-07
0.17882689556509299,1,0.6931448431551464,1.1319625785767107e-07,4.5278503143068427e-07
0.17882689556509299,2,0.48044977359257246,1.0897162299082567e-07,4.3588649196330267e-07
0.17882689556509299,3,0.33302128296074923,1.0613621642601716e-07,4.2454486570406864e-07
0.17882689556509299,4,0.23083198494515414,1.0421427696951157e-07,4.168571078780463e-07
0.17882689556509299,5,0.16,1.0290255486353143e-07,4.116102194541257e-07
0.35765379113018597,0,1.0,1.4299704048279476e-07,5.71988161931179e-07
0.35765379113018597,1,0.6931448431551464,1.2813392760788818e-07,5.125357104315527e-07
0.35765379113018597,2,0.48044977359257246,1.1874814597360698e-07,4.7499258389442793e-07
0.35765379113018597,3,0.33302128296074923,1.1264896424493662e-07,4.5059585697974647e-07
0.35765379113018597,4,0.23083198494515414,1.0860615515921948e-07,4.344246206368779e-07
0.35765379113018597,5,0.16,1.0588935791866474e-07,4.2355743167465895e-07
0.5364806866952789,0,1.0,1.7099781894018233e-07,6.839912757607293e-07
0.5364806866952789,1,0.6931448431551464,1.450428103213076e-07,5.801712412852304e-07
0.5364806866952789,2,0.48044977359257246,1.2940178148592984e-07,5.176071259437194e-07
0.5364806866952789,3,0.33302128296074923,1.1956134821401265e-07,4.782453928560506e-07
0.5364806866952789,4,0.23083198494515414,1.1318311916573112e-07,4.527324766629245e-07
0.5364806866952789,5,0.16,1.0896285451048063e-07,4.358514180419225e-07
0.7153075822603719,0,1.0,2.0448153208803697e-07,8.179261283521479e-07
0.7153075822603719,1,0.6931448431551464,1.6418303216739162e-07,6.567321286695665e-07
0.7153075822603719,2,0.48044977359257246,1.410112206900644e-07,5.640448827602576e-07
0.7153075822603719,3,0.33302128296074923,1.2689789084490337e-07,5.075915633796135e-07
0.7153075822603719,4,0.23083198494515414,1.1795296900621459e-07,4.7181187602485837e-07
0.7153075822603719,5,0.16,1.1212556096120675e-07,4.48502243844827e-07
0.894134477825465,0,1.0,2.445218129100801e-07,9.780872516403203e-07
0.894134477825465,1,0.6931448431551464,1.858490461797944e-07,7.433961847191776e-07
0.894134477825465,2,0.48044977359257246,1.5366221460836463e-07,6.146488584334585e-07
0.894134477825465,3,0.33302128296074923,1.346846193996765e-07,5.38738477598706e-07
0.894134477825465,4,0.23083198494515414,1.229238334109964e-07,4.916953336439856e-07
0.894134477825465,5,0.16,1.1538006663034716e-07,4.615202665213886e-07
1.0729613733905579,0,1.0,2.924025260838866e-07,1.1696101043355464e-06
1.0729613733905579,1,0.6931448431551464,2.1037416210131547e-07,8.414966484052619e-07
1.0729613733905579,2,0.48044977359257246,1.6744820750445687e-07,6.697928300178275e-07
1.0729613733905579,3,0.33302128296074923,1.4294915822501653e-07,5.717966329000661e-07
1.0729613733905579,4,0.23083198494515414,1.2810418367633728e-07,5.124167347053491e-07
1.0729613733905579,5,0.16,1.1872903603460684e-07,4.749161441384274e-07
1.251788268955651,0,1.0,3.496589340684468e-07,1.3986357362737872e-06
1.251788268955651,1,0.6931448431551464,2.3813567399410345e-07,9.525426959764138e-07
1.251788268955651,2,0.48044977359257246,1.8247102708845418e-07,7.298841083538167e-07
1.251788268955651,3,0.33302128296074923,1.5172082675218944e-07,6.068833070087578e-07
1.251788268955651,4,0.23083198494515414,1.3350284810099278e-07,5.340113924039711e-07
1.251788268955651,5,0.16,1.221752110293471e-07,4.887008441173884e-07
1.4306151645207439,0,1.0,4.181269240063364e-07,1.6725076960253456e-06
1.4306151645207439,1,0.6931448431551464,2.695606644963989e-07,1.0782426579855956e-06
1.4306151645207439,2,0.48044977359257246,1.9884163664412973e-07,7.953665465765189e-07
1.4306151645207439,3,0.33302128296074923,1.610307435104185e-07,6.44122974041674e-07
1.4306151645207439,4,0.23083198494515414,1.3912902703116043e-07,5.565161081246417e-07
1.4306151645207439,5,0.16,1.2572141305335705e-07,5.028856522134282e-07
1.6094420600858368,0,1.0,5.000018738283824e-07,2.0000074953135298e-06
1.6094420600858368,1,0.6931448431551464,3.0513257501609755e-07,1.2205303000643902e-06
1.6094420600858368,2,0.48044977359257246,2.1668095463333037e-07,8.667238185333215e-07
1.6094420600858368,3,0.33302128296074923,1.7091193652265792e-07,6.836477460906317e-07
1.6094420600858368,4,0.23083198494515414,1.4499230853945118e-07,5.799692341578047e-07
1.6094420600858368,5,0.16,1.293705454387797e-07,5.174821817551188e-07
1.78826895565093,0,1.0,5.979090450057116e-07,2.3916361800228462e-06
1.78826895565093,1,0.6931448431551464,3.453986429339001e-07,1.3815945717356004e-06
1.78826895565093,2,0.48044977359257246,2.3612074783128818e-07,9.444829913251527e-07
1.78826895565093,3,0.33302128296074923,1.813994604753899e-07,7.255978419015596e-07
1.78826895565093,4,0.23083198494515414,1.5110268476460395e-07,6.044107390584158e-07
1.78826895565093,5,0.16,1.3312559578808304e-07,5.325023831523322e-07
1.9670958512160228,0,1.0,7.149877589630858e-07,2.859951035852343e-06
1.9670958512160228,1,0.6931448431551464,3.909783202260076e-07,1.5639132809040305e-06
1.9670958512160228,2,0.48044977359257246,2.573046045895698e-07,1.0292184183582792e-06
1.9670958512160228,3,0.33302128296074923,1.9253052107810163e-07,7.701220843124065e-07
1.9670958512160228,4,0.23083198494515414,1.5747056893978794e-07,6.298822757591518e-07
1.9670958512160228,5,0.16,1.369896384200224e-07,5.479585536800896e-07
2.1459227467811157,0,1.0,8.549920560951299e-07,3.4199682243805196e-06
2.1459227467811157,1,0.6931448431551464,4.425728030133465e-07,1.770291212053386e-06
2.1459227467811157,2,0.48044977359257246,2.803889954152067e-07,1.1215559816608268e-06
2.1459227467811157,3,0.33302128296074923,2.0434460705360167e-07,8.173784282144067e-07
2.1459227467811157,4,0.23083198494515414,1.6410681313851012e-07,6.564272525540405e-07
2.1459227467811157,5,0.16,1.4096583688659625e-07,5.63863347546385e-07
