step,train_cond,eval_cond,loss,eval_mse_post,eval_mse_true,eval_rel_post,dual_diag_same_depth_mse,primal_jac_same_depth_mse,layer0_mse,layerlast_mse,score_corr_linear_kernel,attn_entropy_last
1,488.4765313390346,328.0264061679064,0.8705118894577026,0.8113390207290649,0.8394619226455688,0.9130730032920837,0.3421110510826111,0.0039807334542274475,0.9435815811157227,0.8113390207290649,0.4897986948490143,4.851823806762695
250,230.1407585586196,130.83124439818644,0.47947442531585693,0.46025019884109497,0.47469234466552734,0.6765879988670349,0.27864888310432434,0.002584638772532344,0.8756877779960632,0.46025019884109497,0.2273845076560974,4.851159572601318
500,49.63127756479683,10.469561265225318,0.35098975896835327,0.2399505376815796,0.24274036288261414,0.489467591047287,0.04644390195608139,0.0007023816579021513,0.7977346181869507,0.2399505376815796,0.08090929687023163,4.851205825805664
750,266.0484792047999,12.27455631224417,0.4475448727607727,0.2422182708978653,0.24508407711982727,0.4863230884075165,0.05427118390798569,0.0007496228208765388,0.802678108215332,0.2422182708978653,0.07068322598934174,4.8510942459106445
1000,312.2941878609301,23.730624663295554,0.471920907497406,0.2841026186943054,0.28779885172843933,0.527359127998352,0.10897445678710938,0.0010230623884126544,0.8122210502624512,0.2841026186943054,0.09192075580358505,4.850974082946777
1250,999.4547088201193,10.940054379030002,0.7073451280593872,0.21805976331233978,0.22022990882396698,0.45813900232315063,0.04804118722677231,0.0007922876393422484,0.7957009673118591,0.21805976331233978,0.06147826835513115,4.850923538208008
1500,38.25768500454214,77.97836208920599,0.29976686835289,0.34742307662963867,0.3569493293762207,0.5858879089355469,0.23131877183914185,0.001754030934534967,0.8317021131515503,0.34742307662963867,0.1530495285987854,4.85087776184082
1750,977.9215007470209,168.6209235962402,0.7323713898658752,0.4083005487918854,0.4246452748775482,0.6388362050056458,0.29427629709243774,0.002638673409819603,0.8489925861358643,0.4083005487918854,0.21584847569465637,4.850756645202637
2000,102.62825343040153,149.1432196492598,0.33530619740486145,0.3758918344974518,0.3921191394329071,0.6182857751846313,0.28864213824272156,0.0022785146720707417,0.8296423554420471,0.3758918344974518,0.2178894579410553,4.85072135925293
2250,131.08756935109278,41.472278358546376,0.35183021426200867,0.2808006703853607,0.28570497035980225,0.5286640524864197,0.16385020315647125,0.0011438725050538778,0.7618036270141602,0.2808006703853607,0.15166036784648895,4.85071325302124
2500,963.6342558373418,260.91214554199297,0.6043643355369568,0.40706509351730347,0.43237441778182983,0.6380894780158997,0.33503979444503784,0.003427468938753009,0.8204235434532166,0.40706509351730347,0.30831363797187805,4.850513458251953
2750,686.1327721800279,74.90536693350391,0.5938930511474609,0.28381311893463135,0.29314956068992615,0.5225532650947571,0.2321041375398636,0.0017269286327064037,0.7733057737350464,0.28381311893463135,0.2519400119781494,4.850432395935059
3000,96.05145999466714,262.36889369546793,0.27393606305122375,0.39045771956443787,0.41184374690055847,0.616051435470581,0.3465217053890228,0.0038089663721621037,0.7493314743041992,0.39045771956443787,0.4039861261844635,4.8500657081604
3250,298.18489214151066,15.1266346716862,0.30473238229751587,0.4654495418071747,0.46545547246932983,0.6705071926116943,0.06877683103084564,0.000760807772167027,0.399519145488739,0.4654495418071747,0.21409258246421814,4.8500447273254395
3500,424.1751412593219,688.5553558417768,0.3089505732059479,0.33096617460250854,0.37289246916770935,0.5803500413894653,0.37434154748916626,0.005787868518382311,0.5443400144577026,0.33096617460250854,0.5446586608886719,4.848813533782959
3750,887.92652923365,843.0553312675397,0.3017093539237976,0.32214707136154175,0.37114226818084717,0.5784955024719238,0.3946881890296936,0.0065831998363137245,0.5650641322135925,0.32214707136154175,0.5610134601593018,4.848155975341797
4000,18.456196369255846,32.136434117952085,0.17951875925064087,0.09245181083679199,0.0946420431137085,0.296584814786911,0.14325843751430511,0.001141462940722704,0.5905184745788574,0.09245181083679199,0.2859949469566345,4.848758697509766
4250,12.486843008829375,41.061570620634335,0.4241175651550293,0.08740514516830444,0.09056168049573898,0.2914673686027527,0.16216787695884705,0.0013057446340098977,0.5908834934234619,0.08740514516830444,0.2923482060432434,4.848433494567871
4500,12.26297812347879,15.931727475336883,0.36499929428100586,0.19769155979156494,0.19755056500434875,0.42735764384269714,0.07494430243968964,0.0007587465224787593,0.5626580119132996,0.19769155979156494,0.20846369862556458,4.848572254180908
4750,246.81855142387687,44.7643939756437,0.18353167176246643,0.06140851229429245,0.06441151350736618,0.2429695725440979,0.17345595359802246,0.0011979135451838374,0.5184677243232727,0.06140851229429245,0.25604015588760376,4.847999572753906
5000,49.946213778247625,785.2534213607403,0.05598471313714981,0.2647860050201416,0.31209856271743774,0.520063042640686,0.3832094073295593,0.006265104748308659,0.6106778383255005,0.2647860050201416,0.46069973707199097,4.847121238708496
5250,102.36438266856608,27.81329539155858,0.08483615517616272,0.08998189121484756,0.09005217999219894,0.2956780195236206,0.11769682914018631,0.0009787552990019321,0.4579952657222748,0.08998189121484756,0.17504696547985077,4.84785795211792
5500,250.59566036024654,56.69943667399175,0.16796207427978516,0.05196578800678253,0.055402837693691254,0.22147957980632782,0.19614142179489136,0.0014971253694966435,0.6922125816345215,0.05196578800678253,0.2270697057247162,4.847808837890625
5750,237.6163372004984,67.77751104892725,0.15478326380252838,0.06323438882827759,0.0669865682721138,0.24220076203346252,0.22582785785198212,0.0016015582950785756,0.5817701816558838,0.06323438882827759,0.21600934863090515,4.8477067947387695
6000,18.021482960673765,931.9395588946533,0.07102540135383606,0.31657806038856506,0.36511027812957764,0.5540969371795654,0.3911014795303345,0.006692251190543175,0.6339514255523682,0.31657806038856506,0.4193826913833618,4.847105026245117
6250,132.76538848478066,26.18386866721844,0.11659534275531769,0.03556365519762039,0.03645816072821617,0.18381235003471375,0.12111927568912506,0.00101557862944901,0.5737214088439941,0.03556365519762039,0.13540779054164886,4.84794807434082
6500,990.8459788465298,165.57154029087982,0.6814785003662109,0.123145192861557,0.1350884735584259,0.3437666893005371,0.3015432357788086,0.002746737562119961,0.7071614265441895,0.123145192861557,0.25563904643058777,4.847531795501709
6750,97.31323737647764,252.85938716449323,0.07282133400440216,0.1324613392353058,0.14760372042655945,0.36372917890548706,0.32152920961380005,0.0031728502362966537,0.6622329950332642,0.1324613392353058,0.27367186546325684,4.847380638122559
7000,41.99990101215706,808.6896739326339,0.033747926354408264,0.22833064198493958,0.27402031421661377,0.4765719175338745,0.3917105793952942,0.005771344527602196,0.724610447883606,0.22833064198493958,0.3684166669845581,4.847105979919434
7250,228.384037101991,678.9831903811847,0.12577687203884125,0.22019244730472565,0.255028635263443,0.4629361629486084,0.383647620677948,0.005307618994265795,0.6464554071426392,0.22019244730472565,0.34518927335739136,4.847305774688721
7500,44.57067796407822,567.6991956329882,0.03813282772898674,0.19042131304740906,0.22010940313339233,0.43785786628723145,0.36864757537841797,0.005483349785208702,0.6889340281486511,0.19042131304740906,0.31319403648376465,4.847270965576172
7750,64.60186644303162,218.485615509428,0.04323812574148178,0.12207481265068054,0.13649539649486542,0.3451983332633972,0.3100441098213196,0.0028095939196646214,0.6356626749038696,0.12207481265068054,0.23508615791797638,4.847264766693115
8000,971.1377240245788,48.31982150303867,0.2559107840061188,0.038460128009319305,0.04107155650854111,0.1935887634754181,0.18078774213790894,0.0014196611009538174,0.6141949892044067,0.038460128009319305,0.13918744027614594,4.847251892089844
8250,25.541246767984838,37.35582923732189,0.039872605353593826,0.031279291957616806,0.03277396410703659,0.1726451814174652,0.15459980070590973,0.001273625297471881,0.6165430545806885,0.031279291957616806,0.13507798314094543,4.847107887268066
8500,405.3844026575655,561.497152779101,0.1692541092634201,0.24489593505859375,0.27955666184425354,0.4410250186920166,0.37569230794906616,0.004614793695509434,0.6440980434417725,0.24489593505859375,0.26729220151901245,4.847263336181641
