method,scenario,category,n_tasks,average_precision_mean,average_precision_ci95,auc_mean,auc_ci95,area_matched_iou_mean,area_matched_iou_ci95,score_correlation_mean,score_correlation_ci95,mean_relative_residual_mean,mean_relative_residual_ci95,covariance_relative_residual_mean,covariance_relative_residual_ci95,balanced_brier_mean,balanced_brier_ci95,balanced_nll_mean,balanced_nll_ci95,balanced_ece_mean,balanced_ece_ci95,uncertainty_error_auc_mean,uncertainty_error_auc_ci95,certificate_mean,certificate_ci95,boundary_residual_mean,boundary_residual_ci95
exact,180 degree aperture,OOD aperture,2,0.4606300253983201,0.17523408429531095,0.963490407159703,0.008705398825620603,0.2587976539589443,0.061788856304985366,1.0,0.0,5.2295392379164696e-05,4.574026534100995e-06,1.8098176610692462e-06,1.356012194264622e-07,0.19105447828769684,0.09174173176288604,1.876908302307129,1.214965190887451,0.19323519617319107,0.09438237339258192,0.844164619164619,0.08903071253071258,nan,0.0,1.0935418686131015e-06,9.505988600722048e-09
exact,30 percent noise,OOD noise,2,0.686713789994307,0.132150609086519,0.9800062156452001,0.01146033081274049,0.4701608718214842,0.2044421380384017,1.0,0.0,1.25469946397061e-05,1.141874654422281e-06,8.291883659694577e-07,4.615789066519937e-08,0.10194570198655128,0.015585863441228864,1.056477665901184,0.2024385118484497,0.1071503646671772,0.015174420028924938,0.7162559673398983,0.01946629368735023,nan,0.0,1.3265844813759031e-06,4.4596469479074585e-07
exact,four obstacles,ID,2,0.7806016104247713,0.13325426889289313,0.9807217440383802,0.011650204599971778,0.5224358974358975,0.11935897435897436,1.0,0.0,3.651853330666199e-05,8.623694884590804e-07,1.432683632174303e-06,9.009197583509375e-09,0.07085838355123997,0.021328186020255085,0.7091782093048096,0.2575402402877808,0.07420574873685837,0.020209297239780426,0.7688593512695379,0.022597188625489338,nan,0.0,1.2077293263246247e-06,1.0361295835537021e-07
exact,one obstacle,ID,2,0.9662698412698412,0.0661111111111113,0.999632285346571,0.0007207207207208333,0.7777777777777778,0.4355555555555555,1.0,0.0,0.0001748153372318484,7.664794946322217e-05,3.211209673281701e-06,5.556926726058008e-07,0.03573810821399093,0.06627793798223137,0.09252578532323241,0.15961777875199912,0.05577922007068992,0.08978433901444077,0.7495731967562953,0.48916346564233887,nan,0.0,7.052535124785209e-07,1.1221998806831835e-06
exact,six obstacles,OOD count,2,0.6638839539767021,0.08195288760386073,0.9497542687319678,0.02360642892567011,0.42734038386212303,0.04299255777516644,1.0,0.0,3.092424958595075e-05,7.263563747983426e-07,1.3981445476929366e-06,1.1640407365121064e-07,0.12430749833583832,0.010805124640464783,1.0624485909938812,0.13391597390174864,0.12847834080457687,0.010927133858203887,0.8157144555742317,0.053291046942884265,nan,0.0,2.791906069887773e-06,3.1161625997810913e-06
exact,three stars,OOD shape,2,0.7767273541088198,0.20516318912413561,0.9871576111745302,0.008415003666548196,0.530454042081949,0.17364341085271318,1.0,0.0,3.985540388384834e-05,4.079851496499031e-06,1.4367553262673027e-06,1.9861056443915002e-08,0.05566147342324257,0.006529968380928039,0.534007728099823,0.05571213960647583,0.058763379231095314,0.005899788215756417,0.7823165574390518,0.036100361694401804,nan,0.0,1.7750917322700843e-06,1.6795146166259655e-07
exact,two obstacles,ID,2,0.947615913038676,0.006773321789288443,0.9985055751287029,0.00048258956731426654,0.7701863354037267,0.10956521739130433,1.0,0.0,0.00012262591553735547,3.320012721815146e-05,2.3681675429543247e-06,3.400055993552087e-07,0.011253494769334793,0.0009566296637058257,0.09305853024125099,0.0014447833597660063,0.012218635994940996,0.0006688702665269375,0.8834756814864432,0.011992376328456194,nan,0.0,1.7150774169749639e-06,6.845811412858893e-08
exact,wavenumber 12,OOD frequency,2,0.9415413234487516,0.03215240016475612,0.998004585858704,0.000999510831377668,0.7307692307692308,0.07538461538461544,1.0,0.0,5.346548823581543e-05,2.19120156543795e-06,1.4352230550684908e-06,8.852105111145646e-09,0.020857051014900208,0.006951590180397033,0.15445461124181747,0.031483036577701566,0.023290417157113552,0.007820343635976314,0.9158893514136222,0.0013358785496560598,nan,0.0,1.2275800997940678e-06,7.340878312334098e-07
global-safe-HB,180 degree aperture,OOD aperture,2,0.38642897920840424,0.11028849361341929,0.9450378267704513,0.015882927592742433,0.225,0.04899999999999999,0.9164043197752019,0.012689316602344904,0.8205793797969818,0.02735640883445739,1.0881254076957703,0.10205665826797486,0.21432393789291382,0.04200285971164703,1.4843204617500305,0.18125753641128536,0.2549685090780258,0.05830399215221404,0.46120346759142106,0.08637639045327544,0.0,0.0,1.0935418686131015e-06,9.505988600722048e-09
global-safe-HB,30 percent noise,OOD noise,2,0.5922687291984235,0.4496289741081207,0.9663655310707806,0.04046532978761894,0.37056737588652483,0.39964539007092204,0.9374777172288304,0.026578575472704983,0.5539717078208923,0.004471364021301269,0.559409111738205,0.041678465604782104,0.17820309847593307,0.016191097795963286,1.8991177678108215,0.3562309336662292,0.19196989387273788,0.010310297310352325,0.5029585840970641,0.05802670830271584,0.0,0.0,1.3265844813759031e-06,4.4596469479074585e-07
