seed,method,depth,mean_relative_residual,covariance_relative_residual
17,learned-Richardson,4,0.6819601058959961,0.1839512139558792
17,learned-HB,4,0.7478678226470947,0.6387550234794617
17,learned-Chebyshev,4,0.6358450651168823,0.14990755915641785
17,global-safe-HB,4,0.77946937084198,0.7089657783508301
17,population-safe-HB,4,0.7800312042236328,0.707574725151062
17,spectrum-HB,4,2.494448661804199,4.440974235534668
17,population-PCG,4,2.426240921020508,0.1893712878227234
17,learned-Richardson,8,0.6359131336212158,0.1298840045928955
17,learned-HB,8,0.7383607625961304,0.8293743133544922
17,learned-Chebyshev,8,0.5647983551025391,0.1063620001077652
17,global-safe-HB,8,0.8215529918670654,1.0003337860107422
17,population-safe-HB,8,0.820672869682312,1.000198483467102
17,spectrum-HB,8,3.9423296451568604,7.22648811340332
17,population-PCG,8,1.1457626819610596,0.11510611325502396
17,learned-Richardson,16,0.5941321849822998,0.09845578670501709
17,learned-HB,16,0.5529608130455017,0.5592550039291382
17,learned-Chebyshev,16,0.4629589319229126,0.0624876506626606
17,global-safe-HB,16,0.6791481971740723,0.8064752817153931
17,population-safe-HB,16,0.6779836416244507,0.8059395551681519
17,spectrum-HB,16,6.144203186035156,11.367997169494629
17,population-PCG,16,0.40705859661102295,0.03869323432445526
17,learned-Richardson,24,0.5691944360733032,0.08663410693407059
17,learned-HB,24,0.42565518617630005,0.3946286141872406
17,learned-Chebyshev,24,0.38937777280807495,0.041026584804058075
17,global-safe-HB,24,0.5676600933074951,0.6809442043304443
17,population-safe-HB,24,0.5670614242553711,0.6791443228721619
17,spectrum-HB,24,7.434992790222168,13.780908584594727
17,population-PCG,24,0.3659631013870239,0.013967780396342278
17,learned-Richardson,32,0.5502951145172119,0.07958424836397171
17,learned-HB,32,0.35255223512649536,0.28561943769454956
17,learned-Chebyshev,32,0.3341453969478607,0.02818642370402813
17,global-safe-HB,32,0.5042759776115417,0.5866752862930298
17,population-safe-HB,32,0.5036633610725403,0.5869402885437012
17,spectrum-HB,32,8.057653427124023,14.947376251220703
17,population-PCG,32,0.27711617946624756,0.00670135673135519
17,learned-Richardson,48,0.521198034286499,0.0703267827630043
17,learned-HB,48,0.24553382396697998,0.10807425528764725
17,learned-Chebyshev,48,0.26430538296699524,0.016249090433120728
17,global-safe-HB,48,0.32635337114334106,0.31610947847366333
17,population-safe-HB,48,0.32593631744384766,0.3156575560569763
17,spectrum-HB,48,8.041736602783203,14.926741600036621
17,population-PCG,48,0.0640745609998703,0.001975520746782422
17,learned-Richardson,64,0.49857795238494873,0.06380341947078705
17,learned-HB,64,0.19971533119678497,0.0676160603761673
17,learned-Chebyshev,64,0.21777597069740295,0.010255859233438969
17,global-safe-HB,64,0.2655807435512543,0.277107834815979
17,population-safe-HB,64,0.26513034105300903,0.2812643051147461
17,spectrum-HB,64,7.154178619384766,13.282941818237305
17,population-PCG,64,0.006895383819937706,0.00033648242242634296
