variant,seed,n_context,method,mse,se,episodes,parameters,eta,beta
mismatched,4,4,model,0.5975624322891235,0.005432013422250748,5120,1346,2.61849308013916,0.6356948614120483
mismatched,4,4,exact_krr,0.5067724585533142,0.004896026104688644,5120,1346,2.61849308013916,0.6356948614120483
mismatched,4,4,nw,0.8295276761054993,0.009050258435308933,5120,1346,2.61849308013916,0.6356948614120483
mismatched,4,8,model,0.352804958820343,0.003637352492660284,5120,1346,2.622661590576172,0.6134185194969177
mismatched,4,8,exact_krr,0.23802193999290466,0.0029353522695600986,5120,1346,2.622661590576172,0.6134185194969177
mismatched,4,8,nw,0.4563285708427429,0.005222649779170752,5120,1346,2.622661590576172,0.6134185194969177
mismatched,4,12,model,0.20911255478858948,0.0027062552981078625,5120,1346,2.5878748893737793,0.5804404616355896
mismatched,4,12,exact_krr,0.11452273279428482,0.0018878800328820944,5120,1346,2.5878748893737793,0.5804404616355896
mismatched,4,12,nw,0.33020275831222534,0.0037504713982343674,5120,1346,2.5878748893737793,0.5804404616355896
mismatched,4,16,model,0.12331271171569824,0.0018586540827527642,5120,1346,2.5387096405029297,0.5472977161407471
mismatched,4,16,exact_krr,0.05658448487520218,0.0011137031251564622,5120,1346,2.5387096405029297,0.5472977161407471
mismatched,4,16,nw,0.25999850034713745,0.002569168573245406,5120,1346,2.5387096405029297,0.5472977161407471
mismatched,4,24,model,0.041993219405412674,0.0007567486027255654,5120,1346,2.4182236194610596,0.48450061678886414
mismatched,4,24,exact_krr,0.017173752188682556,0.00035374180879443884,5120,1346,2.4182236194610596,0.48450061678886414
mismatched,4,24,nw,0.2109755575656891,0.0017788097029551864,5120,1346,2.4182236194610596,0.48450061678886414
