variant,seed,depth,mse,se
mismatched,4,1,1.3808540105819702,0.011852395720779896
mismatched,4,2,0.8109176754951477,0.0068711405619978905
mismatched,4,4,0.3031172752380371,0.002819374203681946
mismatched,4,8,0.25017979741096497,0.00275996420532465
mismatched,4,12,0.20769938826560974,0.002614322816953063
mismatched,4,16,0.21075458824634552,0.0026112101040780544
mismatched,4,24,0.21061190962791443,0.00264186249114573
mismatched,4,32,0.21174904704093933,0.0026116513181477785
