step,variant,seed,n_context,train_mse,eta,beta,fixed_lengthscale
1,mismatched,4,9,0.293600469827652,1.078185796737671,0.1137976348400116,0.09000000357627869
100,mismatched,4,7,0.4071337878704071,2.5490407943725586,0.6207680702209473,0.09000000357627869
200,mismatched,4,15,0.12495507299900055,2.425553798675537,0.5407793521881104,0.09000000357627869
300,mismatched,4,7,0.4257057011127472,2.737802028656006,0.6492792367935181,0.09000000357627869
400,mismatched,4,7,0.3728106617927551,2.706200122833252,0.6429649591445923,0.09000000357627869
500,mismatched,4,8,0.371285080909729,2.6527211666107178,0.6238099932670593,0.09000000357627869
600,mismatched,4,8,0.33799976110458374,2.678964138031006,0.6287794709205627,0.09000000357627869
700,mismatched,4,9,0.27538347244262695,2.6540701389312744,0.6231086850166321,0.09000000357627869
800,mismatched,4,11,0.2195911705493927,2.622511863708496,0.6054327487945557,0.09000000357627869
900,mismatched,4,14,0.15191853046417236,2.563910484313965,0.5728340744972229,0.09000000357627869
1000,mismatched,4,6,0.43290770053863525,2.6825733184814453,0.6441767811775208,0.09000000357627869
1100,mismatched,4,14,0.16028276085853577,2.5686426162719727,0.5697952508926392,0.09000000357627869
1200,mismatched,4,11,0.24953463673591614,2.6143980026245117,0.5996736288070679,0.09000000357627869
1300,mismatched,4,13,0.15353867411613464,2.5717580318450928,0.5680079460144043,0.09000000357627869
1400,mismatched,4,15,0.14398425817489624,2.5466153621673584,0.5602107644081116,0.09000000357627869
1500,mismatched,4,11,0.23459655046463013,2.6201252937316895,0.5981969237327576,0.09000000357627869
1600,mismatched,4,7,0.393189936876297,2.6950149536132812,0.6431660652160645,0.09000000357627869
1700,mismatched,4,15,0.13451525568962097,2.599689483642578,0.5772897005081177,0.09000000357627869
1800,mismatched,4,9,0.30089879035949707,2.65840482711792,0.6218281984329224,0.09000000357627869
1900,mismatched,4,10,0.2558041512966156,2.6541781425476074,0.6144177913665771,0.09000000357627869
2000,mismatched,4,16,0.12285445630550385,2.6023154258728027,0.5652978420257568,0.09000000357627869
2100,mismatched,4,10,0.27656006813049316,2.6561694145202637,0.6102821826934814,0.09000000357627869
2200,mismatched,4,16,0.10764236748218536,2.583601951599121,0.5677533745765686,0.09000000357627869
2300,mismatched,4,14,0.14197248220443726,2.582486629486084,0.5735318660736084,0.09000000357627869
2400,mismatched,4,14,0.1425277292728424,2.5879321098327637,0.5695106983184814,0.09000000357627869
2500,mismatched,4,10,0.2616143822669983,2.60770320892334,0.6121993064880371,0.09000000357627869
2600,mismatched,4,11,0.24821829795837402,2.641066074371338,0.6045745611190796,0.09000000357627869
2700,mismatched,4,12,0.21830663084983826,2.6253581047058105,0.5924843549728394,0.09000000357627869
2800,mismatched,4,12,0.21770626306533813,2.6386685371398926,0.5964480042457581,0.09000000357627869
2900,mismatched,4,12,0.21832126379013062,2.65434193611145,0.6051956415176392,0.09000000357627869
3000,mismatched,4,9,0.29732805490493774,2.6219048500061035,0.6016957759857178,0.09000000357627869
3100,mismatched,4,7,0.3953971564769745,2.673093318939209,0.6369955539703369,0.09000000357627869
3200,mismatched,4,13,0.19790223240852356,2.5846080780029297,0.5828582048416138,0.09000000357627869
3300,mismatched,4,14,0.18456923961639404,2.6228506565093994,0.5879536271095276,0.09000000357627869
3400,mismatched,4,11,0.23113682866096497,2.6677491664886475,0.6120670437812805,0.09000000357627869
3500,mismatched,4,12,0.19297745823860168,2.5868194103240967,0.5805463194847107,0.09000000357627869
3600,mismatched,4,14,0.1500871181488037,2.587106227874756,0.570243239402771,0.09000000357627869
3700,mismatched,4,15,0.1488998830318451,2.595187187194824,0.5657004117965698,0.09000000357627869
3800,mismatched,4,12,0.21398496627807617,2.6214168071746826,0.5882587432861328,0.09000000357627869
3900,mismatched,4,14,0.13367755711078644,2.605309009552002,0.5703821182250977,0.09000000357627869
4000,mismatched,4,13,0.18726560473442078,2.5775771141052246,0.5710210204124451,0.09000000357627869
4100,mismatched,4,15,0.1444491297006607,2.575563907623291,0.5589103698730469,0.09000000357627869
4200,mismatched,4,6,0.4608089327812195,2.694931983947754,0.6532971858978271,0.09000000357627869
4300,mismatched,4,10,0.23629990220069885,2.644745349884033,0.6082639694213867,0.09000000357627869
4400,mismatched,4,14,0.18459859490394592,2.6323044300079346,0.5915511846542358,0.09000000357627869
4500,mismatched,4,10,0.280739963054657,2.6376452445983887,0.6108323335647583,0.09000000357627869
4600,mismatched,4,12,0.22308391332626343,2.6481246948242188,0.5968299508094788,0.09000000357627869
4700,mismatched,4,10,0.2860226035118103,2.6659302711486816,0.6213158369064331,0.09000000357627869
4800,mismatched,4,13,0.1783398687839508,2.569302558898926,0.5692387223243713,0.09000000357627869
4900,mismatched,4,11,0.23764421045780182,2.595078229904175,0.5975605845451355,0.09000000357627869
5000,mismatched,4,9,0.3352706730365753,2.6123557090759277,0.6036266088485718,0.09000000357627869
