variant,seed,n_context,method,mse,se,episodes,parameters
transformer,2,4,model,0.5271986722946167,0.004996316507458687,5120,100865
transformer,2,4,exact_krr,0.5111014246940613,0.004887761082500219,5120,100865
transformer,2,4,nw,0.854479968547821,0.009562618099153042,5120,100865
transformer,2,8,model,0.26474031805992126,0.0030863680876791477,5120,100865
transformer,2,8,exact_krr,0.23880739510059357,0.0029376058373600245,5120,100865
transformer,2,8,nw,0.46449118852615356,0.0054082004353404045,5120,100865
transformer,2,12,model,0.1400192230939865,0.002065439010038972,5120,100865
transformer,2,12,exact_krr,0.11586872488260269,0.001912592095322907,5120,100865
transformer,2,12,nw,0.32282572984695435,0.0035534340422600508,5120,100865
transformer,2,16,model,0.07652677595615387,0.0012013011146336794,5120,100865
transformer,2,16,exact_krr,0.0551157109439373,0.0010419113095849752,5120,100865
transformer,2,16,nw,0.2594526410102844,0.002608774695545435,5120,100865
transformer,2,24,model,0.03164197877049446,0.0004638140962924808,5120,100865
transformer,2,24,exact_krr,0.016862787306308746,0.0003436181286815554,5120,100865
transformer,2,24,nw,0.2106095254421234,0.0017821475630626082,5120,100865
