step,variant,seed,n_context,train_mse
1,transformer,2,6,2.341923236846924
100,transformer,2,16,0.5607715845108032
200,transformer,2,8,0.37984907627105713
300,transformer,2,9,0.2792316675186157
400,transformer,2,12,0.23356904089450836
500,transformer,2,6,0.4463169276714325
600,transformer,2,10,0.2595682144165039
700,transformer,2,7,0.357082724571228
800,transformer,2,6,0.39118438959121704
900,transformer,2,9,0.2893911600112915
1000,transformer,2,11,0.14539584517478943
1100,transformer,2,12,0.144072026014328
1200,transformer,2,13,0.12549224495887756
1300,transformer,2,9,0.30567848682403564
1400,transformer,2,11,0.21547427773475647
1500,transformer,2,7,0.2741430401802063
1600,transformer,2,10,0.21646134555339813
1700,transformer,2,14,0.12451556324958801
1800,transformer,2,10,0.18358725309371948
1900,transformer,2,6,0.3371827006340027
2000,transformer,2,9,0.23890283703804016
2100,transformer,2,13,0.13932152092456818
2200,transformer,2,10,0.21853724122047424
2300,transformer,2,11,0.16498762369155884
2400,transformer,2,6,0.3828534781932831
2500,transformer,2,6,0.3268883228302002
2600,transformer,2,10,0.2156049758195877
2700,transformer,2,6,0.405420184135437
2800,transformer,2,15,0.11386667191982269
2900,transformer,2,11,0.14952662587165833
3000,transformer,2,6,0.34201285243034363
3100,transformer,2,13,0.13215100765228271
3200,transformer,2,10,0.16068869829177856
3300,transformer,2,13,0.12664325535297394
3400,transformer,2,13,0.10991550981998444
3500,transformer,2,14,0.08441703766584396
3600,transformer,2,6,0.3406814932823181
3700,transformer,2,8,0.26405179500579834
3800,transformer,2,7,0.3003007769584656
3900,transformer,2,10,0.18789556622505188
4000,transformer,2,14,0.10127900540828705
4100,transformer,2,12,0.13343432545661926
4200,transformer,2,8,0.24707603454589844
4300,transformer,2,16,0.06384427100419998
4400,transformer,2,10,0.1875423789024353
4500,transformer,2,8,0.26484429836273193
4600,transformer,2,14,0.10743999481201172
4700,transformer,2,12,0.1561245620250702
4800,transformer,2,12,0.14964559674263
4900,transformer,2,12,0.13474103808403015
5000,transformer,2,15,0.07593880593776703
