step,test_mse,train_mse,excess_test_mse,recovery_slope
1,1.6978042445904837,1.4423639630615255,0.9981814509564727,-0.05081476106532898
2,1.6962320597824931,1.440413950256561,0.9968793500182587,-0.051398138869387176
5,1.6923124238565384,1.4354734491276795,0.9936330639641617,-0.05285256622905203
10,1.6868295827200772,1.4284597924681515,0.9890921139743263,-0.05488703940671662
20,1.6774732213889405,1.4163420089198713,0.9813430714917741,-0.058358828155463977
50,1.6544126332605216,1.3860845209084007,0.962244036006144,-0.06691573265821221
100,1.6227841790099897,1.3442060202768609,0.9360489985369089,-0.07865184541839865
200,1.5704696685863904,1.2747441327287137,0.8927215393485475,-0.0980637644600947
400,1.4862255740611927,1.1635843236736754,0.8229496436002046,-0.12932353406173125
800,1.356640109571969,0.9964026668582602,0.7156255211225347,-0.17740775630288277
1600,1.1723121829318472,0.7705344150960626,0.5629630828409289,-0.24580481784639682
3200,0.9427860287396702,0.5167087619490831,0.37286696996711,-0.3309732173411662
6400,0.7145087986496205,0.308144996098305,0.18380522992075563,-0.4156781887475637
12800,0.558497928471222,0.20660608585255222,0.0545952926421292,-0.47356787092188957
25600,0.5008495351498717,0.1855802760726015,0.0068502523334146945,-0.4949589904215587
50000,0.49294429379800825,0.18448119165482024,0.00030304355188124304,-0.4978923239056129
100000,0.4926790264802997,0.18447362744008272,8.334620999733321e-05,-0.4979907544873783
