rank,shell,M1,M2,M3,alpha_eff,slope,phase_ratio
1,16,1.0693147180559945,0.0,0.0,4.0,-4.0,0.0
2,16,1.109861228866811,0.02,0.0,4.000140773457086,-4.000140773457086,7.039168318346166e-05
3,16,1.138629436111989,0.05856342783782502,0.003,4.00040190242056,-4.00040190242056,0.00020091118562036203
4,16,1.16094379124341,0.10979130329660074,0.012423179086096529,4.000739213772219,-4.000739213772219,0.0003694169190077755
5,16,1.1791759469228056,0.1714837540058069,0.02852461733083752,4.00113697682503,-4.00113697682503,0.0005680733361575559
6,16,1.1945910149055314,0.24234468666426537,0.05144512620174206,4.001586279229979,-4.001586279229979,0.0007924544220325888
7,16,1.2079441541679836,0.3214877533915618,0.08128487900507758,4.002081195665492,-4.002081195665492,0.0010396271486166305
8,16,1.219722457733622,0.4082554186317189,0.11812214315445574,4.002617420216128,-4.002617420216128,0.001307467710312859
9,16,1.2302585092994045,0.5021338226539205,0.16202134636411394,4.003191639231915,-4.003191639231915,0.001594348041420067
10,16,1.2397895272798372,0.6027065139783084,0.21303733863702617,4.003801198269189,-4.003801198269189,0.001898969356027126
11,16,1.2484906649788001,0.7096267784671509,0.2712179312902387,4.004443906855804,-4.004443906855804,0.0022202645811808114
12,16,1.2564949357461537,0.8225999100035685,0.3366055362905889,4.005117915559031,-4.005117915559031,0.0025573369275406375
13,16,1.263905732961526,0.9413712423245609,0.40923828810929325,4.005821634250239,-4.005821634250239,0.0029094190487719334
14,16,1.270805020110221,1.0657177316823603,0.48915084614711163,4.006553675380498,-4.006553675380498,0.0032758446996244577
15,16,1.2772588722239782,1.1954418374219855,0.5763749890127883,4.007312813225167,-4.007312813225167,0.003656028373714644
16,16,1.2833213344056216,1.3303669497938015,0.6709400672172874,4.008097953751613,-4.008097953751613,0.004049450249371054
17,16,1.2890371757896164,1.470333894396205,0.7728733561344222,4.00890811179886,-4.00890811179886,0.004455644788884328
18,16,1.294443897916644,1.6151982068745987,0.8822003366377225,4.009742393437194,-4.009742393437194,0.00487419192578263
19,16,1.299573227355399,1.764827971937787,0.9989449219878317,4.010599982088904,-4.010599982088904,0.0053047101311950095
20,16,1.3044522437723423,1.9191020844081306,1.1231296439264196,4.01148012743892,-4.01148012743892,0.005746850874003767
21,16,1.3091042453358317,2.077908831627462,1.254775807240995,4.012382136453855,-4.012382136453855,0.0062002941343013655
22,16,1.3135494215929149,2.2411447244737874,1.39390361956985,4.013305366020954,-4.013305366020954,0.006664744726056338
23,16,1.3178053830347947,2.4087135234447667,1.540532301487811,4.014249216849847,-4.014249216849847,0.0071399292506211355
24,16,1.3218875824868201,2.580525419741438,1.6946801806897722,4.015213128371823,-4.015213128371823,0.007625593548508498
25,16,1.3258096538021482,2.756496340923906,1.856364773205865,4.016196574436291,-4.016196574436291,0.008121500549384942
26,16,1.329583686600433,2.9365473577200483,2.0256028539337394,4.017199059651228,-4.017199059651228,0.008627428443728474
27,16,1.3332204510175205,3.1206041737435237,2.2024105182900344,4.0182201162488465,-4.0182201162488465,0.009143169116842063
28,16,1.3367295829986474,3.3085966837514698,2.3868032364175957,4.019259301383503,-4.019259301383503,0.009668526798749882
