mode_index,mode_norm,band,r1,r8,r64,r1024
0,4.47213595499958,low,0.044982341442316984,0.19736861235063824,0.13925763851901227,0.15719615970362094
1,4.47213595499958,low,0.013377060941913882,0.10352933784670913,0.01737748892526007,0.037537511617678196
2,8.94427190999916,low,0.02022102542395959,0.04632526241597587,0.08562512704828396,0.1550456537373466
3,8.94427190999916,low,0.016674553862613812,0.13977743239631424,0.11933356919763999,0.13975191421159977
4,13.416407864998739,high,0.06573636543417967,0.07408092629026217,0.049391750438860293,0.1263358279369926
5,13.416407864998739,high,0.04208191130946515,0.08319322588788011,0.017338312341873545,0.06760979945646715
6,17.88854381999832,high,0.01925449000192036,0.09994601097232811,0.07995804033098222,0.08550065741759463
7,17.88854381999832,high,0.050447105909780014,0.02328510048021084,0.09182585250718778,0.09658254395078193
