step,test_mse,train_mse,recovery_slope
1,1.1475350230800412,0.9746931350441829,-0.050819246043963276
2,1.1456529372468218,0.9724819046916222,-0.05144476564245513
5,1.1408100042860585,0.9667013127757068,-0.05305433595411186
10,1.1338402128049252,0.9582636151085971,-0.05537077715562337
20,1.1216703115953404,0.9433637808175472,-0.05941549795631264
50,1.0910155668826382,0.9054509319292209,-0.06960373871882876
100,1.0485286832495686,0.85272537201122,-0.08372444348279168
200,0.9787655690179771,0.766790301970469,-0.10691052481524704
400,0.8703604468290311,0.6366508938138215,-0.1429394493782141
800,0.717427951272932,0.46363358312723413,-0.19376724454469424
1600,0.5351281611830354,0.28068810982419656,-0.2543553906799454
3200,0.3726528127151609,0.15063502377091906,-0.30835479545980327
6400,0.28426120020150586,0.10346547346731058,-0.3377321410588679
