step,test_mse,train_mse,recovery_slope
1,1.2483063999061241,1.059619889064383,-0.05077290818433222
2,1.2470138664355832,1.0573521475104082,-0.05136278161520699
5,1.243690278769712,1.051428801588774,-0.05287956714066047
10,1.2389129817829176,1.0427957240216794,-0.0550597819112139
20,1.2305882022643477,1.027588880756,-0.05885896109520819
50,1.2097152528627269,0.9891180545257031,-0.06838474789812728
100,1.1810201952708643,0.9361683968486838,-0.08148030979779519
200,1.1345235765752566,0.8513334269983185,-0.10269996918702276
400,1.0639341420898623,0.726709142428418,-0.13491486563065946
800,0.9683188609736423,0.569686022976063,-0.1785508063637668
1600,0.8621046114751201,0.41850896771702595,-0.22702379773107204
3200,0.7782016627076014,0.3269796042439671,-0.2653145819761367
6400,0.7409050261488005,0.30157440910543737,-0.2823356460092582
