step,r1,r8,r64,r1024
0,16.327014923095703,3.330326795578003,0.98764967918396,1.011101484298706
10,3.092888355255127,1.0133612155914307,0.9379941821098328,0.9401639699935913
20,1.0184545516967773,0.9646145105361938,0.7703275680541992,0.818956196308136
30,1.0028634071350098,0.8892141580581665,0.5465816855430603,0.6317440867424011
40,1.022183895111084,0.7784699201583862,0.4248936176300049,0.4498988091945648
50,1.0080736875534058,0.6698797941207886,0.30100879073143005,0.287219762802124
60,1.0029350519180298,0.5408657193183899,0.14917218685150146,0.1716858297586441
70,1.00107741355896,0.6614992618560791,0.06397859752178192,0.11341541260480881
80,1.0003951787948608,0.4249397814273834,0.01663249172270298,0.10217752307653427
90,1.0001214742660522,0.32543185353279114,0.0035425089299678802,0.03793700039386749
100,0.9999858140945435,0.25815513730049133,0.002688527572900057,0.03379341587424278
110,0.999986469745636,0.26849400997161865,0.00043722696136683226,0.03259648382663727
120,0.9999539852142334,0.21927359700202942,8.262841583928093e-05,0.026587415486574173
130,0.9999350905418396,0.10300292074680328,0.00010120849765371531,0.006581462919712067
140,0.9999178647994995,0.07594607025384903,0.00012028215860482305,0.008283733390271664
150,0.9999008178710938,0.06587132811546326,8.080292900558561e-05,0.010516740381717682
160,0.9998829364776611,0.0382843017578125,0.00035178379039280117,0.010187803767621517
