step,test_mse,train_mse,recovery_slope
1,1.1478500519031785,0.9746031515809999,-0.05067293466545184
2,1.1462092395974188,0.9723222312684888,-0.051186509612529935
5,1.1419900965997904,0.9663644624006028,-0.05250710315885794
10,1.1359255359034084,0.9576812145464755,-0.05440531322698281
20,1.12535760788597,0.9423859981965083,-0.057713079175122764
50,1.0988603503554957,0.9036916025172684,-0.06600673201168347
100,1.0624332831388084,0.8504342330765947,-0.07740841948827645
200,1.0034079457910308,0.7651062530853241,-0.0958833750930344
400,0.9137978773478634,0.6397577266585056,-0.12393136449244052
800,0.7924186376996132,0.4818220826849169,-0.16192311794279382
1600,0.6575844909666265,0.3297664767356829,-0.20412626301285136
3200,0.5510735231928791,0.23770519930706527,-0.23746424106532033
6400,0.5037271436801545,0.21215236435847773,-0.2522836779181712
