mode_index,mode_norm,band,r1,r8,r64,r1024
0,1.0,low,1.280358661165437,0.9876599417053755,0.8443777600738467,0.8772451312860792
1,2.0,low,1.0450968937776255,1.0583754699964913,1.0954412736658452,1.0814671513701934
2,3.0,low,1.1526024265326011,1.0906463171726362,1.2189654927525095,0.6952720946936902
3,4.0,low,0.8090865014183161,0.6805134003685003,0.788017135708389,0.3339625256005981
4,5.0,high,0.5746720878480552,0.5733725439405529,0.5276397457328853,0.2678130556016155
5,6.0,high,0.45414259306805305,0.4099974526949368,0.5458852194537052,0.16184184512154856
6,7.0,high,0.392954208379573,0.4930712680751557,0.463402790492105,0.13026570798236342
7,8.0,high,0.43251689913127767,0.4111384363292943,0.2853757765605974,0.15368079848348382
