task,sobolev,rank,weighted_risk
sparse,0.0,1,0.8990322952881822
sparse,0.0,2,0.49142749649368866
sparse,0.0,3,0.3185188220169677
sparse,0.0,4,0.25560522077117315
sparse,0.0,5,0.26024288243989496
sparse,0.0,6,0.2792827807337348
sparse,0.0,7,0.2902800663656685
sparse,0.0,8,0.29534984926949265
sparse,0.0,9,0.30109900506424747
sparse,0.0,10,0.30814473276644316
sparse,0.0,11,0.312141644351395
sparse,0.0,12,0.31142606688661223
sparse,0.0,13,0.3099549986398292
sparse,0.0,14,0.3118004149214825
sparse,0.0,15,0.31560006769254795
sparse,0.0,16,0.31693365923642436
sparse,0.0,17,0.31488105400237454
sparse,0.0,18,0.3132340380012334
sparse,0.0,19,0.31490368159570176
sparse,0.0,20,0.31783129486906253
sparse,0.0,21,0.3181779072022593
sparse,0.0,22,0.31591162928413685
sparse,0.0,23,0.3147012064958933
sparse,0.0,24,0.3165136417430675
sparse,0.0,25,0.31887193172135453
sparse,0.0,26,0.31859124181429704
sparse,0.0,27,0.31637943896343157
sparse,0.0,28,0.3156732013058056
sparse,0.0,29,0.3176025572339001
sparse,0.0,30,0.3194560957013238
sparse,0.0,31,0.31871936666749984
sparse,0.0,32,0.31668328012248803
sparse,0.0,33,0.31645439141619014
sparse,0.0,34,0.31842436766640597
sparse,0.0,35,0.31980004563743536
sparse,0.0,36,0.31873131674267713
sparse,0.0,37,0.3169441914619827
sparse,0.0,38,0.3171392784875872
sparse,0.0,39,0.31907060368246437
sparse,0.0,40,0.3199932239164421
sparse,0.0,41,0.31869749033258976
sparse,0.0,42,0.3172064556971098
sparse,0.0,43,0.31776146792844334
sparse,0.0,44,0.3195828909763114
sparse,0.0,45,0.3200833571516082
sparse,0.0,46,0.3186538595480192
sparse,0.0,47,0.31748686287310535
sparse,0.0,48,0.3183327007365121
sparse,0.0,49,0.319984312070392
sparse,0.0,50,0.32010125615607726
sparse,0.0,55,4
sparse,0.5,1,0.8772795546998429
sparse,0.5,2,0.46315789663631834
sparse,0.5,3,0.2892182263238117
sparse,0.5,4,0.22714011206045995
sparse,0.5,5,0.23322430030191238
sparse,0.5,6,0.2539279815948289
sparse,0.5,7,0.26666197422942917
sparse,0.5,8,0.27347732500274147
sparse,0.5,9,0.2809459327854172
sparse,0.5,10,0.2896628537681064
sparse,0.5,11,0.2952676971037161
sparse,0.5,12,0.29608655269068124
sparse,0.5,13,0.2960697052804864
sparse,0.5,14,0.2992851446492005
sparse,0.5,15,0.30436878440817605
sparse,0.5,16,0.3069001814905687
sparse,0.5,17,0.3059603806321154
sparse,0.5,18,0.305343371796302
sparse,0.5,19,0.30796320298712315
sparse,0.5,20,0.31176472830942525
sparse,0.5,21,0.31291291592726495
sparse,0.5,22,0.31138006864918827
sparse,0.5,23,0.3108392615951851
sparse,0.5,24,0.31326187126104715
sparse,0.5,25,0.3161752367619664
sparse,0.5,26,0.31639877568749347
sparse,0.5,27,0.3146444715030439
sparse,0.5,28,0.3143529491926041
sparse,0.5,29,0.3166579899612985
sparse,0.5,30,0.3188517252165534
sparse,0.5,31,0.31842302732196626
sparse,0.5,32,0.31666590434922093
sparse,0.5,33,0.3166897855003801
sparse,0.5,34,0.3188889910696494
sparse,0.5,35,0.32047279656174804
sparse,0.5,36,0.3195933259622101
sparse,0.5,37,0.31797862589547793
sparse,0.5,38,0.3183311555208268
sparse,0.5,39,0.32040661686618016
sparse,0.5,40,0.3214615803512172
sparse,0.5,41,0.32028775979895946
sparse,0.5,42,0.3189094313880043
sparse,0.5,43,0.3195690384847858
sparse,0.5,44,0.32148792340826066
sparse,0.5,45,0.3220795901416304
sparse,0.5,46,0.320735806572394
sparse,0.5,47,0.31964972454097484
sparse,0.5,48,0.3205722857261075
sparse,0.5,49,0.3222969660371083
sparse,0.5,50,0.3224837979935945
sparse,0.5,55,4
sparse,1.0,1,0.8556268141115035
sparse,1.0,2,0.435088296778948
sparse,1.0,3,0.2602176306306558
sparse,1.0,4,0.19907500334974673
sparse,1.0,5,0.2067057181639298
sparse,1.0,6,0.2291731824559229
sparse,1.0,7,0.24374388209318987
sparse,1.0,8,0.2524048007359902
sparse,1.0,9,0.26169286050658697
sparse,1.0,10,0.27218097476976966
sparse,1.0,11,0.2794937498560371
sparse,1.0,12,0.2819470384947502
sparse,1.0,13,0.2834844119211436
sparse,1.0,14,0.28816987437691843
sparse,1.0,15,0.29463750112380416
sparse,1.0,16,0.29846670374471296
sparse,1.0,17,0.2987397072618563
sparse,1.0,18,0.29925270559137057
sparse,1.0,19,0.3029227243785445
sparse,1.0,20,0.30769816174978804
sparse,1.0,21,0.3097479246522706
sparse,1.0,22,0.30904850801423966
sparse,1.0,23,0.30927731669447694
sparse,1.0,24,0.31241010077902687
sparse,1.0,25,0.31597854180257834
sparse,1.0,26,0.3168063095606899
sparse,1.0,27,0.31560950404265625
sparse,1.0,28,0.31583269707940254
sparse,1.0,29,0.31861342268869697
sparse,1.0,30,0.3212473547317831
sparse,1.0,31,0.32122668797643267
sparse,1.0,32,0.31984852857595386
sparse,1.0,33,0.32022517958457014
sparse,1.0,34,0.32275361447289297
sparse,1.0,35,0.3246455474860607
sparse,1.0,36,0.32405533518174295
sparse,1.0,37,0.3227130603289731
sparse,1.0,38,0.3233230325540663
sparse,1.0,39,0.3256426300498959
sparse,1.0,40,0.32692993678599236
sparse,1.0,41,0.3259780292653292
sparse,1.0,42,0.3248124070788988
sparse,1.0,43,0.3256766090411283
sparse,1.0,44,0.32779295584021
sparse,1.0,45,0.3285758231316526
sparse,1.0,46,0.3274177535967686
sparse,1.0,47,0.3265125862088444
sparse,1.0,48,0.32761187071570297
sparse,1.0,49,0.3295096200038245
sparse,1.0,50,0.3298663398311118
sparse,1.0,55,4
sparse,1.5,1,0.8340740735231643
sparse,1.5,2,0.4072186969215777
sparse,1.5,3,0.23151703493749978
sparse,1.5,4,0.17140989463903353
sparse,1.5,5,0.1806871360259472
sparse,1.5,6,0.20501838331701697
sparse,1.5,7,0.2215257899569505
sparse,1.5,8,0.232132276469239
sparse,1.5,9,0.24333978822775668
sparse,1.5,10,0.2556990957714329
sparse,1.5,11,0.2648198026083582
sparse,1.5,12,0.26900752429881924
sparse,1.5,13,0.2721991185618008
sparse,1.5,14,0.2784546041046364
sparse,1.5,15,0.28640621783943226
sparse,1.5,16,0.2916332259988572
sparse,1.5,17,0.2932190338915971
sparse,1.5,18,0.29496203938643917
sparse,1.5,19,0.29978224576996587
sparse,1.5,20,0.30563159519015076
sparse,1.5,21,0.30868293337727626
sparse,1.5,22,0.3089169473792911
sparse,1.5,23,0.31001537179376876
sparse,1.5,24,0.3139583302970065
sparse,1.5,25,0.3182818468431902
sparse,1.5,26,0.3198138434338863
sparse,1.5,27,0.31927453658226856
sparse,1.5,28,0.32011244496620106
sparse,1.5,29,0.32346885541609544
sparse,1.5,30,0.32664298424701277
sparse,1.5,31,0.3271303486308992
sparse,1.5,32,0.3262311528026868
sparse,1.5,33,0.3270605736687601
sparse,1.5,34,0.3300182378761364
sparse,1.5,35,0.3323182984103734
sparse,1.5,36,0.3321173444012759
sparse,1.5,37,0.33114749476246835
sparse,1.5,38,0.3321149095873059
sparse,1.5,39,0.33477864323361173
sparse,1.5,40,0.3363982932207675
sparse,1.5,41,0.33576829873169894
sparse,1.5,42,0.33491538276979327
sparse,1.5,43,0.3360841795974707
sparse,1.5,44,0.3384979882721593
sparse,1.5,45,0.33957205612167485
sparse,1.5,46,0.33869970062114335
sparse,1.5,47,0.33807544787671384
sparse,1.5,48,0.3394514557052984
sparse,1.5,49,0.3416222739705408
sparse,1.5,50,0.34224888166862905
sparse,1.5,55,4
dense,0.0,1,1.2561802485088072
dense,0.0,2,0.7353925965584833
dense,0.0,3,0.5213497243769254
dense,0.0,4,0.44527564159969546
dense,0.0,5,0.45001681480580863
dense,0.0,6,0.47033647643164234
dense,0.0,7,0.48330595080969285
dense,0.0,8,0.4926783924654428
dense,0.0,9,0.5028053001273031
dense,0.0,10,0.5112742923155539
dense,0.0,11,0.5145402149914384
dense,0.0,12,0.5144297348603695
dense,0.0,13,0.5160989051748788
dense,0.0,14,0.5210185877922279
dense,0.0,15,0.525372185036392
dense,0.0,16,0.5259501401993171
dense,0.0,17,0.5248172381936285
dense,0.0,18,0.5261890911335985
dense,0.0,19,0.530361867182339
dense,0.0,20,0.5335052153471588
dense,0.0,21,0.5333509035624401
dense,0.0,22,0.5323880413654287
dense,0.0,23,0.5341081484389358
dense,0.0,24,0.5379714698470335
dense,0.0,25,0.5403542281450089
dense,0.0,26,0.5398748191560133
dense,0.0,27,0.539291373196788
dense,0.0,28,0.5413863598743118
dense,0.0,29,0.5449737046359221
dense,0.0,30,0.5467529141539407
dense,0.0,31,0.5461307172781455
dense,0.0,32,0.5459777761317393
dense,0.0,33,0.5483797290656394
dense,0.0,34,0.5516656601744712
dense,0.0,35,0.5529415680565727
dense,0.0,36,0.5522975326732608
dense,0.0,37,0.5525800320665175
dense,0.0,38,0.5552034834729089
dense,0.0,39,0.5581589736141724
dense,0.0,40,0.5590172814375047
dense,0.0,41,0.558443662049964
dense,0.0,42,0.5591445666240109
dense,0.0,43,0.5619035699937612
dense,0.0,44,0.5645083244119355
dense,0.0,45,0.5650302125780112
dense,0.0,46,0.5645996217265832
dense,0.0,47,0.5656876976114515
dense,0.0,48,0.5685012683461768
dense,0.0,49,0.5707467800213214
dense,0.0,50,0.5710111763142747
dense,0.0,55,4
dense,0.5,1,1.232715363720385
dense,0.5,2,0.7033270690948853
dense,0.5,3,0.4865180032368257
dense,0.5,4,0.41054305309922295
dense,0.5,5,0.41640118374606694
dense,0.5,6,0.4382432026262037
dense,0.5,7,0.4529004492437157
dense,0.5,8,0.46402236001918595
dense,0.5,9,0.47590952016295296
dense,0.5,10,0.48612074786436554
dense,0.5,11,0.49109254175278777
dense,0.5,12,0.4926389875886584
dense,0.5,13,0.4959072517890589
dense,0.5,14,0.5023619529169406
dense,0.5,15,0.5081822718767174
dense,0.5,16,0.5101560314099925
dense,0.5,17,0.5103466833894628
dense,0.5,18,0.5129695473829299
dense,0.5,19,0.5183213383005554
dense,0.5,20,0.5225729242686045
dense,0.5,21,0.5234578248045664
dense,0.5,22,0.5234673155949242
dense,0.5,23,0.5260953974675802
dense,0.5,24,0.5308050275443528
dense,0.5,25,0.5339753004857959
dense,0.5,26,0.5342275847602695
dense,0.5,27,0.5343230341630555
dense,0.5,28,0.537047151384611
dense,0.5,29,0.5412168706729765
dense,0.5,30,0.543534655684308
dense,0.5,31,0.5434101183927746
dense,0.5,32,0.5437167128791005
dense,0.5,33,0.5465427650470536
dense,0.5,34,0.5502199323847702
dense,0.5,35,0.5518566659361699
dense,0.5,36,0.5515453728820845
dense,0.5,37,0.5521347310892875
dense,0.5,38,0.5550412298130383
dense,0.5,39,0.5582579010250152
dense,0.5,40,0.5593573443701662
dense,0.5,41,0.5590065142623698
dense,0.5,42,0.5599134436926907
dense,0.5,43,0.56286317629452
dense,0.5,44,0.5656447249852256
dense,0.5,45,0.5663307301666265
dense,0.5,46,0.5660527391647753
dense,0.5,47,0.5672829656534355
dense,0.5,48,0.5702292189461884
dense,0.5,49,0.5725988450150419
dense,0.5,50,0.572979611400848
dense,0.5,55,4
dense,1.0,1,1.2093504789319625
dense,1.0,2,0.6714615416312872
dense,1.0,3,0.451986282096726
dense,1.0,4,0.3762104645987505
dense,1.0,5,0.38328555268632525
dense,1.0,6,0.406749928820765
dense,1.0,7,0.42319494767773846
dense,1.0,8,0.43616632757292906
dense,1.0,9,0.4499137401986028
dense,1.0,10,0.46196720341317726
dense,1.0,11,0.4687448685141371
dense,1.0,12,0.4720482403169473
dense,1.0,13,0.47701559840323904
dense,1.0,14,0.4851053180416534
dense,1.0,15,0.4924923587170426
dense,1.0,16,0.495961922620668
dense,1.0,17,0.49757612858529704
dense,1.0,18,0.5015500036322614
dense,1.0,19,0.5081808094187718
dense,1.0,20,0.5136406331900503
dense,1.0,21,0.5156647460466925
dense,1.0,22,0.5167465898244196
dense,1.0,23,0.5203826464962246
dense,1.0,24,0.526038585241672
dense,1.0,25,0.530096372826583
dense,1.0,26,0.5311803503645258
dense,1.0,27,0.532054695129323
dense,1.0,28,0.5355079428949103
dense,1.0,29,0.5403600367100312
dense,1.0,30,0.5433163972146756
dense,1.0,31,0.5437895195074036
dense,1.0,32,0.5446556496264616
dense,1.0,33,0.5480058010284676
dense,1.0,34,0.5521742045950692
dense,1.0,35,0.554271763815767
dense,1.0,36,0.5543932130909082
dense,1.0,37,0.5553894301120572
dense,1.0,38,0.5586789761531676
dense,1.0,39,0.5622568284358578
dense,1.0,40,0.5636974073028276
dense,1.0,41,0.5636693664747756
dense,1.0,42,0.5648823207613705
dense,1.0,43,0.5681227825952789
dense,1.0,44,0.5711811255585157
dense,1.0,45,0.5721312477552418
dense,1.0,46,0.5721058566029675
dense,1.0,47,0.5735782336954194
dense,1.0,48,0.5767571695462003
dense,1.0,49,0.5793509100087625
dense,1.0,50,0.5799480464874214
dense,1.0,55,4
dense,1.5,1,1.1860855941435402
dense,1.5,2,0.6397960141676893
dense,1.5,3,0.41775456095662633
dense,1.5,4,0.3422778760982781
dense,1.5,5,0.35066992162658356
dense,1.5,6,0.37585665501532634
dense,1.5,7,0.3941894461117612
dense,1.5,8,0.40911029512667224
dense,1.5,9,0.42481796023425267
dense,1.5,10,0.43881365896198893
dense,1.5,11,0.4474971952754865
dense,1.5,12,0.4526574930452363
dense,1.5,13,0.45942394501741923
dense,1.5,14,0.46924868316636614
dense,1.5,15,0.4783024455573679
dense,1.5,16,0.48336781383134353
dense,1.5,17,0.4865055737811313
dense,1.5,18,0.4919304598815928
dense,1.5,19,0.49994028053698814
dense,1.5,20,0.506708342111496
dense,1.5,21,0.5099716672888188
dense,1.5,22,0.5122258640539151
dense,1.5,23,0.5169698955248687
dense,1.5,24,0.5236721429389913
dense,1.5,25,0.5287174451673701
dense,1.5,26,0.5307331159687823
dense,1.5,27,0.5324863560955906
dense,1.5,28,0.5367687344052094
dense,1.5,29,0.5424032027470856
dense,1.5,30,0.546098138745043
dense,1.5,31,0.5472689206220327
dense,1.5,32,0.5487945863738228
dense,1.5,33,0.5527688370098818
dense,1.5,34,0.5575284768053682
dense,1.5,35,0.5601868616953644
dense,1.5,36,0.5608410532997319
dense,1.5,37,0.5623441291348272
dense,1.5,38,0.566116722493297
dense,1.5,39,0.5701557558467004
dense,1.5,40,0.5720374702354889
dense,1.5,41,0.5724322186871814
dense,1.5,42,0.5740511978300503
dense,1.5,43,0.5776823888960376
dense,1.5,44,0.5811175261318058
dense,1.5,45,0.5824317653438571
dense,1.5,46,0.5827589740411597
dense,1.5,47,0.5845735017374034
dense,1.5,48,0.5880851201462118
dense,1.5,49,0.591002975002483
dense,1.5,50,0.5919164815739946
dense,1.5,55,4
