step,test_mse,train_mse,recovery_slope
1,1.147141327827887,0.9741606228267929,-0.05070044916480357
2,1.144959886005108,0.9715316288460624,-0.051234959248799596
5,1.1393516173580123,0.9646662131778354,-0.05260913119064507
10,1.1312929661611455,0.9546640719871053,-0.05458371070184399
20,1.117257675018772,0.9370572785274515,-0.05802272272090453
50,1.082109331344036,0.892582909957148,-0.06663498271047877
100,1.0338928492154493,0.8315374820408878,-0.07844927711128497
200,0.9560369976663103,0.7341723392422674,-0.09752598927319645
400,0.8385619853565356,0.5922828234391004,-0.12631042809776108
800,0.6811340208221504,0.4160139094362366,-0.16488438119058144
1600,0.5094672087609713,0.25043097998706987,-0.2069472229203021
3200,0.3780807009538909,0.1542978567608777,-0.23914034060539308
6400,0.3226734146387029,0.12940756390939162,-0.25271656938814985
