step,test_mse,train_mse,excess_test_mse,recovery_slope
1,1.6953463481256106,1.4395203898384075,0.9962913918244924,-0.050873018881998605
2,1.6920197014302356,1.4354745246523957,0.9936403062975778,-0.05149709336311383
5,1.68374568075799,1.4252532811985874,0.9870465383197282,-0.053049288600722784
10,1.672219012213035,1.4108149911101597,0.9778606562735351,-0.05521167623905583
20,1.6526759250494143,1.3860685002358395,0.9622862955809082,-0.05887793331347956
50,1.60519136941237,1.3253785235322482,0.9244447002060947,-0.06778597258960006
100,1.5416442069609955,1.2439703265785882,0.873802423439658,-0.07970733547082366
200,1.4405403842094158,1.1155646313209313,0.7932303321547306,-0.09867427771034172
400,1.288199391261014,0.9272214783000032,0.6718260958338709,-0.127253244710064
800,1.0789946485563489,0.6835045126518345,0.5051057566053856,-0.16649977528747104
1600,0.8335678848151786,0.42907533312631085,0.30951920929445426,-0.2125415086781888
3200,0.6127158269713043,0.24442294745851767,0.1335168418193564,-0.25397306003402526
6400,0.4847753121356721,0.1711688657304917,0.03155793898236064,-0.27797452989876115
12800,0.44858310674605717,0.1602640701368731,0.0027154917128845582,-0.28476413933649997
25600,0.4453224126054906,0.15992948349622602,0.00011696537831179189,-0.2853758412063375
50000,0.44527568460200306,0.15992874261606047,7.972669771500302e-05,-0.28538460731743986
100000,0.44527564159988603,0.15992874258787163,7.969242828379058e-05,-0.28538461538457965
