frequency,recovery,relative_residual,target_power,pred_power
1,0.72,0.07840000000000001,1000.0,518.4
2,0.3747677751662801,0.3909153349705232,707.1067811865474,99.31377342146432
3,0.25579041968665894,0.5538478994301592,577.3502691896258,37.775299960925224
4,0.19507067403206044,0.6479112198032014,500.0,19.026283933661187
5,0.15808940042727698,0.7088134576729018,447.21359549995793,11.176877795728048
6,0.13314167568724758,0.7514433544303131,408.2482904638631,7.236897340368792
7,0.11514634120525849,0.7829659974824409,377.9644730092272,5.011309958539836
8,0.10153639237108604,0.8072368542335631,353.5533905932737,3.6450078156637242
9,0.0908732483381627,0.826511450587204,333.3333333333333,2.7526490878431296
10,0.08228724010486357,0.8421967096743483,316.22776601683796,2.1412382503169973
11,0.07522125708653081,0.8552157233446163,301.5113445777636,1.7060228018954298
12,0.06930167997113915,0.8661993629045439,288.6751345948129,1.3864266642279783
13,0.06426845483268798,0.8755935246212053,277.35009811261455,1.145576354631018
14,0.05993491404448902,0.8837223658325423,267.2612419124244,0.9600542086557741
15,0.05616354733792425,0.8908272493737307,258.1988897471611,0.8144481314819286
16,0.05285078870461441,0.8970916284574709,250.0,0.6983014666749495
17,0.04991713057344203,0.902657458777802,242.53562503633296,0.6043308493492183
18,0.04730050708586958,0.9076363237988412,235.70226039551588,0.5273456169345162
19,0.04495175005972701,0.9121171597139782,229.41573387056175,0.4635711585896076
20,0.042831397081490585,0.9161717344129711,223.60679774997897,0.41021306024952736
21,0.04090740408649487,0.919858607536106,218.2178902359924,0.36516924552664765
22,0.0391534766160138,0.9232260414990933,213.2007163556104,0.326835574844318
23,0.03754783276646529,0.9263141742125278,208.51441405707476,0.293971908438643
24,0.03607227280287414,0.9291566632594166,204.12414523193155,0.2656081473700118
25,0.03471147017702211,0.931781945807806,200.0,0.24097723237005914
26,0.033452424765307,0.9342142151920646,196.11613513818403,0.21946664838119606
27,0.032284036570428644,0.9364741858764234,192.45008972987526,0.20058284139745658
28,0.031196769987826927,0.9385796984820195,188.9822365046136,0.18392478038341586
29,0.030182386934708653,0.9405462026116592,185.69533817705187,0.16916408572483607
30,0.029233732890666567,0.9423871453573898,182.57418583505535,0.1560299328578921
31,0.02834456398947563,0.9441142863288022,179.60530202677492,0.14429746939669583
32,0.02750940624807155,0.9457379549359783,176.77669529663686,0.13377884575854976
