step,test_mse,train_mse,recovery_slope
1,1.248541102005395,1.0605733133078623,-0.0507419803844447
2,1.2474263230028413,1.0590541066364607,-0.05130894541965919
5,1.2445543426438388,1.0550768446212606,-0.052769604834347755
10,1.2404122732335792,1.049256321986636,-0.054876218363728156
20,1.2331546131919184,1.0389337236681406,-0.05856738896495861
50,1.214727476658036,1.0124041103419668,-0.06793923943029952
100,1.1888267584766194,0.9748431757738348,-0.08111207598549884
200,1.1453132151943888,0.9117856361870466,-0.1032426126594076
400,1.0749212262267809,0.8111288061851134,-0.13904324795341239
800,0.9683631796007023,0.6642288960505766,-0.1932375649609522
1600,0.8247540858492011,0.4812673997292827,-0.2662756601434294
3200,0.6666137924926625,0.3086295338243248,-0.3467041726883669
6400,0.543540735476675,0.20763599977905456,-0.40929785264213486
