frequency,recovery,relative_residual,target_power,pred_power
1,0.8341557088894114,0.027504328893973664,1000.0,695.8157466727964
2,0.5794074808821619,0.17689806713788903,707.1067811865474,237.38495926943003
3,0.46817278174961713,0.28284019007194044,577.3502691896258,126.54695382684865
4,0.40245846827468046,0.3570558821366411,500.0,80.98640934300099
5,0.3579082875391473,0.41228176721091037,447.21359549995793,57.287320232739646
6,0.3251944561433225,0.4553625220197064,408.2482904638631,43.17284226966944
7,0.2998794013255558,0.49016885268826216,377.9644730092272,33.98945885930182
8,0.27954906353538006,0.5190495518527477,353.5533905932737,27.629376850400753
9,0.262763595855499,0.543517515595914,333.3333333333333,23.01490243563734
10,0.2486043517534669,0.5645954202038278,316.22776601683796,19.544179971682397
11,0.23645418365500762,0.5830022136579409,301.5113445777636,16.857674443772353
12,0.22588120973446105,0.5992599014421816,288.6751345948129,14.728875356352562
13,0.21657300916825198,0.6137578499636879,277.35009811261455,13.008792474919334
14,0.20829728387500185,0.6267931907196993,267.2612419124244,11.595866212409163
15,0.20087726644170115,0.638597143289688,258.1988897471611,10.418757987328862
16,0.1941757599449285,0.6493527058603334,250.0,9.426056437547626
17,0.18808444478040723,0.6592068688075396,242.53562503633296,8.579881667003036
18,0.18251651522576512,0.6682792478786268,235.70226039551588,7.851779301342554
19,0.17740148644904644,0.6766683144962384,229.41573387056175,7.220008493421852
20,0.17268145461426762,0.684455975539164,223.60679774997897,6.667705335380881
21,0.16830835299912605,0.6917109956910263,218.2178902359924,6.181611297868896
22,0.16424190524093063,0.6984915929553096,213.2007163556104,5.751175336786417
23,0.16044807572030562,0.7048474335617377,208.51441405707476,5.367908542493283
24,0.1568978804749875,0.7108211839475684,204.12414523193155,5.024912835432619
25,0.15356646357998807,0.7164497315764877,200.0,4.716531747292761
26,0.1504323717166843,0.721765155026938,196.11613513818403,4.438088224604888
27,0.14747697858231693,0.7267955020471354,192.45008972987526,4.185685376881238
28,0.14468402390399726,0.7315654189650579,188.9822365046136,3.9560533685664687
29,0.14203924104506926,0.7360966639065207,185.69533817705187,3.7464305586210407
30,0.13953005377190475,0.7404085283617812,182.57418583505535,3.554470349782335
31,0.13714532750491915,0.7445181858465932,179.60530202677492,3.378167542792929
32,0.13487516385623163,0.748440982112782,176.77669529663686,3.2157996340241106
