step,r1,r8,r64,r1024
0,1.045309066772461,1.3717132806777954,1.0331445932388306,1.0020625591278076
10,1.0326488018035889,1.1342413425445557,0.9273715615272522,0.9845796227455139
20,1.0087531805038452,0.9667812585830688,0.6512266397476196,0.8965718746185303
30,1.027415156364441,0.8789956569671631,0.7698969841003418,0.6608123779296875
40,1.0011162757873535,0.7829416990280151,0.4057525396347046,0.4597397446632385
50,0.9972786903381348,0.6709879636764526,0.2528929114341736,0.27700984477996826
60,0.9972786903381348,0.5205638408660889,0.1504029929637909,0.16505739092826843
70,0.996769905090332,0.36523693799972534,0.763399064540863,0.12117958068847656
80,0.9961379170417786,0.5647411346435547,0.1959417164325714,0.08463184535503387
90,0.9955081939697266,0.3324659466743469,0.05202914774417877,0.06496821343898773
100,0.9948450922966003,0.21704481542110443,0.0384669229388237,0.03916176036000252
110,0.994094729423523,0.15280817449092865,0.017215372994542122,0.026694947853684425
120,0.9931900501251221,0.10364101082086563,0.0062315501272678375,0.050288982689380646
130,0.9920588731765747,0.07650629431009293,0.0022431444376707077,0.011036691255867481
140,0.9906660318374634,0.045874740928411484,0.0007866218220442533,0.0031676827929913998
150,0.9888855218887329,0.0303643848747015,0.0003166783135384321,0.0035901484079658985
160,0.9863759875297546,0.044373687356710434,8.735476876609027e-05,0.001152875367552042
