step,test_mse,train_mse,recovery_slope
1,1.248961639764636,1.061062572776176,-0.050989234859469955
2,1.2481678820222892,1.0599286148561606,-0.05174543950017295
5,1.2461216538062707,1.05695768283832,-0.05369485956921766
10,1.2431672306599602,1.0526039832239173,-0.05650950738258559
20,1.237981123753896,1.044865393694139,-0.06145025680816272
50,1.224758864231847,1.0248727435030218,-0.07404696418841467
100,1.2060371969746546,0.9963010464790822,-0.09188289939419635
200,1.1742058062833243,0.9475863310227908,-0.1222083300345891
400,1.1216157834720764,0.8676487885711922,-0.1723102908506939
800,1.0390063731022279,0.7451255302343848,-0.25101140600796795
1600,0.9202359824335506,0.5787285044784386,-0.3641627062223276
3200,0.7739183385754388,0.3961008145301703,-0.5035579844026598
6400,0.6359241682405098,0.25767131564455237,-0.6350235770263011
