task,plateau_rank,plateau_exponent,full_exponent,total_scaling_gain,plateau_mse,full_mse
sparse,4,0.29044943820224717,0.942,0.6515505617977528,0.24951243004206863,0.461
dense,4,0.2853846153846154,1.202,0.9166153846153846,0.44269718184224555,0.654
