step,test_mse,train_mse,excess_test_mse,recovery_slope
1,1.5488571501011963,1.3161755685364207,0.9989506474163954,-0.05093610845705506
2,1.5480383156808961,1.3151950621537805,0.998198802388115,-0.05160681580591429
5,1.5459948947319084,1.3127079889262758,0.9963225550747483,-0.053280582092872106
10,1.5431317825029112,1.3091701282447425,0.9936936759736582,-0.055625757582555876
20,1.5382330581395915,1.3030376667321204,0.989195719529512,-0.05963830315838781
50,1.526088783732279,1.2876127417847187,0.9780449763403535,-0.06958567944059435
100,1.5092652428516335,1.2659896022678885,0.9625977806001593,-0.08336584332079244
200,1.4809945942776523,1.2293813577979127,0.9366399727092575,-0.10652233416375953
400,1.4342173271073633,1.1686735885814015,0.8936895850770024,-0.14483759799837645
800,1.3588440390370233,1.0715579541605413,0.8244826361555626,-0.20657586517812226
1600,1.242782583587569,0.9255893879227974,0.7179162460633265,-0.3016418139943879
3200,1.0773974292679227,0.7285924923320745,0.566061361920781,-0.43710880908449307
6400,0.8708356078465611,0.5076183155628173,0.37639850137412645,-0.606303615978758
12800,0.6643509945250098,0.3266107561389989,0.18680653248095652,-0.7754351817113786
25600,0.522040000829427,0.23893910383163366,0.056138096436899286,-0.8920021297154739
50000,0.4694639507911519,0.22106771817716278,0.00786332824456144,-0.9350671771297452
100000,0.46125990701626746,0.2200062560276559,0.0003304627823592283,-0.9417871101391087
