frequency,recovery,relative_residual,target_power,pred_power
1,0.8519422022928047,0.021921111461904765,211237.1791302969,153317.10980708632
2,0.36378090197522456,0.4047747406914589,113199.20144643873,14980.391175644969
3,0.21669657983089363,0.6135642480486196,78588.90361495843,3690.33118856147
4,0.14952943564134616,0.7233001808405272,60661.9500452965,1356.343702958921
5,0.11393726622116823,0.785107168191617,49624.63841818476,644.2122000130555
6,0.09339618673938459,0.8219304742186889,42114.750672167516,367.36055592973406
7,0.08005428670211674,0.8463001154151512,36659.127404382954,234.93693992486848
8,0.06976502915742218,0.8653371009784915,32507.934122125545,158.22129366965672
9,0.060653595430061116,0.8823716677784713,29238.298848857343,107.56356829789812
10,0.0523497624497785,0.8980409727289912,26593.18527228472,72.87856117424023
11,0.0452528906511856,0.9115420428099169,24407.142829405322,49.98153559811731
12,0.03983863132245248,0.9219098539007413,22568.73607588083,35.819214440354834
13,0.036189495346430005,0.9289306888805693,21000.0990036679,27.5034007050964
14,0.03387660319336522,0.9333944178571901,19645.13995587732,22.545238888580485
15,0.03216551804146908,0.936703584467938,18462.402980529732,19.101581542211726
16,0.030377600461804596,0.9401675976862078,17420.570556986095,16.075678292206266
17,0.028189453292480713,0.9444157386919676,16495.532129974657,13.108096697514132
18,0.02571640990254832,0.9492285139331793,15668.416397955374,10.36205238932301
19,0.023359668808492867,0.9538263365098568,14924.236357428816,8.143769643130682
20,0.021525091444850476,0.9574131466720082,14250.935129572874,6.602879527530886
21,0.0203785803413866,0.9596581258539572,13638.70054529773,5.663968714959009
22,0.01976560378130631,0.960859471530227,13079.463990444798,5.109873126615062
23,0.019320120212964413,0.9617330266191146,12566.528104423049,4.6906708119927805
24,0.01868225114562695,0.9629845242166144,12094.286204557275,4.221226479136133
25,0.017692379650993198,0.9649282609957284,11658.008065978658,3.6491931555750905
26,0.01645522470622875,0.967360325007675,11253.674411383055,3.047207163101987
27,0.01524978891378232,0.9697329782343502,10877.847638179503,2.5297094088455183
28,0.01434953533760071,0.9715068384892036,10527.569836260358,2.1677231082001955
29,0.013862079487732767,0.9724679982722587,10200.281591309049,1.9600580365979896
30,0.013677565751942719,0.9728319443010134,9893.756784591367,1.8508825139495662
31,0.01354616822634083,0.9730911622209347,9606.049822693387,1.7626974011565788
32,0.013230231906325945,0.9737145752236431,9335.452612609399,1.63406862869033
