step,test_mse,train_mse,excess_test_mse,recovery_slope
1,1.6958702081401327,1.439976423062765,0.9964964658373595,-0.05077084291071034
2,1.692917519137453,1.4362665051150816,0.9939915340772215,-0.05132197465353886
5,1.685571709097937,1.426891071120665,0.9877596712378826,-0.052693100798517904
10,1.6753336091022835,1.413640393704326,0.9790741165386552,-0.05460408495185642
20,1.657963042418389,1.3909096428704686,0.9643376901359445,-0.05784637382201052
50,1.6156916791490674,1.3350544213996416,0.9284765207742004,-0.06573650044530821
100,1.5589702397805032,1.2598763398312494,0.880356541045176,-0.07632379416522647
200,1.468345254103554,1.1406495268610095,0.8034742806113061,-0.0932393265002011
400,1.3308070138017347,0.9641135832554619,0.6867928739163061,-0.11891141388032292
800,1.1396004248702316,0.7319383942615109,0.5245815956789089,-0.15460092283385327
1600,0.9105829958768998,0.48275208622901766,0.3302932602023589,-0.1973479831116768
3200,0.697200587676159,0.2932800773070718,0.14926899016522213,-0.23717670141350453
6400,0.5662885753954852,0.21212483281741012,0.03820898450670794,-0.26161197563979977
12800,0.5256667359939542,0.1984570352798042,0.0037471987989093065,-0.2691942117391486
25600,0.5214270116053779,0.19794468834386,0.00015040270370986637,-0.2699855740157948
50000,0.5213498290441754,0.1979430951235366,8.49244062293551e-05,-0.2699999804634204
100000,0.5213497243778435,0.19794309501701934,8.48356119071069e-05,-0.26999999999982865
