step,test_mse,train_mse,recovery_slope
1,1.2477948362971318,1.059623060746337,-0.050763566474123285
2,1.2461111258609439,1.0573566263078047,-0.0513465730053539
5,1.24177864716955,1.0514317200319114,-0.0528467498286433
10,1.235543484857762,1.0427833724942994,-0.05500575548242138
20,1.224656314191955,1.0275115589871477,-0.0587755792409281
50,1.1972326373965276,0.9886522034777282,-0.06827138228309969
100,1.1592239514421,0.9346103327831295,-0.08143238175109138
200,1.0968140010458434,0.846529865728895,-0.10304263486395494
400,0.9998349832220012,0.713141484859903,-0.13662287501001735
800,0.8630218611766299,0.5358047406585477,-0.1839961893259169
1600,0.6999368128373409,0.34829197402731993,-0.24046649816543522
3200,0.5545866725779379,0.21499207032112475,-0.29079586553478215
6400,0.47551170275779403,0.16664491683058996,-0.31817659732283143
