rank,shell,M1,M2,M3,alpha_eff,slope,phase_ratio
1,4,1.0693147180559945,0.0,0.0,4.0,-4.0,0.0
1,8,1.0693147180559945,0.0,0.0,4.0,-4.0,0.0
1,16,1.0693147180559945,0.0,0.0,4.0,-4.0,0.0
1,32,1.0693147180559945,0.0,0.0,4.0,-4.0,0.0
2,4,1.109861228866811,0.02,0.0,4.0022499997615455,-4.0022499997615455,0.0011262669309353866
2,8,1.109861228866811,0.02,0.0,4.0005629749504505,-4.0005629749504505,0.00028156673273384666
2,16,1.109861228866811,0.02,0.0,4.000140773457086,-4.000140773457086,7.039168318346166e-05
2,32,1.109861228866811,0.02,0.0,4.000035195222229,-4.000035195222229,1.7597920795865416e-05
3,4,1.138629436111989,0.05856342783782502,0.003,4.006449526962855,-4.006449526962855,0.0032145789699257925
3,8,1.138629436111989,0.05856342783782502,0.003,4.001608568727149,-4.001608568727149,0.0008036447424814481
3,16,1.138629436111989,0.05856342783782502,0.003,4.00040190242056,-4.00040190242056,0.00020091118562036203
3,32,1.138629436111989,0.05856342783782502,0.003,4.000100460597404,-4.000100460597404,5.022779640509051e-05
4,4,1.16094379124341,0.10979130329660074,0.012423179086096529,4.011917604254558,-4.011917604254558,0.005910670704124408
4,8,1.16094379124341,0.10979130329660074,0.012423179086096529,4.002961401775288,-4.002961401775288,0.001477667676031102
4,16,1.16094379124341,0.10979130329660074,0.012423179086096529,4.000739213772219,-4.000739213772219,0.0003694169190077755
4,32,1.16094379124341,0.10979130329660074,0.012423179086096529,4.000184732217629,-4.000184732217629,9.235422975194387e-05
5,4,1.1791759469228056,0.1714837540058069,0.02852461733083752,4.018387455893456,-4.018387455893456,0.009089173378520894
5,8,1.1791759469228056,0.1714837540058069,0.02852461733083752,4.004557826390627,-4.004557826390627,0.0022722933446302235
5,16,1.1791759469228056,0.1714837540058069,0.02852461733083752,4.00113697682503,-4.00113697682503,0.0005680733361575559
5,32,1.1791759469228056,0.1714837540058069,0.02852461733083752,4.000284088594398,-4.000284088594398,0.00014201833403938897
6,4,1.1945910149055314,0.24234468666426537,0.05144512620174206,4.0257012364971585,-4.0257012364971585,0.012679270752521421
6,8,1.1945910149055314,0.24234468666426537,0.05144512620174206,4.006361459541848,-4.006361459541848,0.0031698176881303553
6,16,1.1945910149055314,0.24234468666426537,0.05144512620174206,4.001586279229979,-4.001586279229979,0.0007924544220325888
6,32,1.1945910149055314,0.24234468666426537,0.05144512620174206,4.000396312959893,-4.000396312959893,0.0001981136055081472
7,4,1.2079441541679836,0.3214877533915618,0.08128487900507758,4.033749247535878,-4.033749247535878,0.016634034377866088
7,8,1.2079441541679836,0.3214877533915618,0.08128487900507758,4.008347880076846,-4.008347880076846,0.004158508594466522
7,16,1.2079441541679836,0.3214877533915618,0.08128487900507758,4.002081195665492,-4.002081195665492,0.0010396271486166305
7,32,1.2079441541679836,0.3214877533915618,0.08128487900507758,4.000519935104576,-4.000519935104576,0.0002599067871541576
8,4,1.219722457733622,0.4082554186317189,0.11812214315445574,4.042448095670227,-4.042448095670227,0.020919483365005744
8,8,1.219722457733622,0.4082554186317189,0.11812214315445574,4.010499157898216,-4.010499157898216,0.005229870841251436
8,16,1.219722457733622,0.4082554186317189,0.11812214315445574,4.002617420216128,-4.002617420216128,0.001307467710312859
8,32,1.219722457733622,0.4082554186317189,0.11812214315445574,4.000653889488399,-4.000653889488399,0.00032686692757821474
9,4,1.2302585092994045,0.5021338226539205,0.16202134636411394,4.051730663534741,-4.051730663534741,0.025509568662721072
9,8,1.2302585092994045,0.5021338226539205,0.16202134636411394,4.0128013438896035,-4.0128013438896035,0.006377392165680268
9,16,1.2302585092994045,0.5021338226539205,0.16202134636411394,4.003191639231915,-4.003191639231915,0.001594348041420067
9,32,1.2302585092994045,0.5021338226539205,0.16202134636411394,4.000797358487989,-4.000797358487989,0.00039858701035501675
10,4,1.2397895272798372,0.6027065139783084,0.21303733863702617,4.061540784677689,-4.061540784677689,0.030383509696434018
10,8,1.2397895272798372,0.6027065139783084,0.21303733863702617,4.015243136503559,-4.015243136503559,0.007595877424108504
10,16,1.2397895272798372,0.6027065139783084,0.21303733863702617,4.003801198269189,-4.003801198269189,0.001898969356027126
10,32,1.2397895272798372,0.6027065139783084,0.21303733863702617,4.000949689157408,-4.000949689157408,0.0004747423390067815
11,4,1.2484906649788001,0.7096267784671509,0.2712179312902387,4.071830125483464,-4.071830125483464,0.03552423329889298
