radius,power
1,0.18892498329407223
2,0.003530255853701722
3,0.0003365432647451299
4,6.280519282876873e-05
5,1.7194952870512825e-05
6,6.090132879644845e-06
7,2.5889057750377664e-06
8,1.2482761287369928e-06
9,6.532666826498823e-07
10,3.5994957870778935e-07
11,2.0543246594281295e-07
12,1.2103011230926107e-07
13,7.408438189646552e-08
14,4.759696707780095e-08
15,3.2254601695907806e-08
16,2.290112650473482e-08
