step,test_mse,train_mse,recovery_slope
1,1.2494042979006914,1.0616351223999367,-0.05115142419195198
2,1.2489487462462932,1.0609525286844304,-0.05203195356421219
5,1.2477736714524283,1.05916286041041,-0.05430323907181611
10,1.2460752466208858,1.0565368208845494,-0.05758610049117396
20,1.2430886875117397,1.0518590437692736,-0.06335877850079835
50,1.2354439504659052,1.0397134187253836,-0.07813518299207618
100,1.2245433108885575,1.0221998327485742,-0.09920487559795599
200,1.2057957173162837,0.9918926441529909,-0.1354418349859753
400,1.1741897230686926,0.9408256821438163,-0.19653261581353382
800,1.12274661431074,0.8587743272694477,-0.295966275694677
1600,1.0440318625741463,0.7376297030253629,-0.44811290992379804
3200,0.9359379274011113,0.5836270514636023,-0.6570461537481878
6400,0.8129738011243771,0.4330417492511957,-0.8947217803770429
