step,test_mse,train_mse,recovery_slope
1,1.2482327480498665,1.0601614081463058,-0.05074358593327481
2,1.2468828077307637,1.0583181426025046,-0.05131158453243872
5,1.243406823124234,1.0534955599939382,-0.05277413392020436
10,1.2383983112930914,1.0464459659954604,-0.054881506863828325
20,1.2296358616350784,1.033967188189104,-0.05856838032079929
50,1.2074654036973123,1.0020361337694932,-0.06789678460154662
100,1.1764942674146384,0.9571808601587413,-0.08092814737672668
200,1.1249818415957225,0.8828481756215281,-0.10260242829910214
400,1.0431075779390815,0.7669026649117106,-0.13705170461633256
800,0.9229435708416919,0.604480375596518,-0.18761170844420025
1600,0.7695035731473762,0.4162499341431265,-0.25217286163947467
3200,0.6155745134231785,0.2595198330222782,-0.31693979174499187
6400,0.5133306479387394,0.18536457778751037,-0.3599597471803955
