frequency,recovery,relative_residual,target_power,pred_power
1,0.5997935515103987,0.16016520141265989,211237.1791302969,75993.06197414732
2,0.4703086429582299,0.28057293372475195,113199.20144643873,25038.55623114756
3,0.39975766061580287,0.3602908659894137,78588.90361495843,12558.993044586696
4,0.35499412290874155,0.41603258148226363,60661.9500452965,7644.669130324171
5,0.32895283731942354,0.4503042945416521,49624.63841818476,5369.880593825186
6,0.3163918496789455,0.4673201031853734,42114.750672167516,4215.846685445471
7,0.31044275350611894,0.475489196192223,36659.127404382954,3533.012523331927
8,0.3041470815461897,0.4842112841206851,32507.934122125545,3007.160983940065
9,0.29319351920360776,0.4995754012957809,29238.298848857343,2513.395501813086
10,0.2775453538274603,0.5219407157762894,26593.18527228472,2048.5109150939857
11,0.2608313688810761,0.5463702652302237,24407.142829405322,1660.4912211482808
12,0.24782890423638682,0.5657613573022345,22568.73607588083,1386.1529423769325
13,0.24149628141653406,0.5753278911049458,21000.0990036679,1224.7353066371436
14,0.24123937585835925,0.5757176847478122,19645.13995587732,1143.2771392790282
15,0.24333886059503687,0.572536079885617,18462.402980529732,1093.2290574683284
16,0.2431928172009955,0.5727571119361659,17420.570556986095,1030.3003855177917
17,0.23799611673391644,0.5806499181125911,16495.532129974657,934.3424313057785
18,0.22827563535999784,0.595558494979015,15668.416397955374,816.4775073719917
19,0.21742264483212834,0.6124273168215411,14924.236357428816,705.5075524257692
20,0.2095635061280629,0.6247898508445607,14250.935129572874,625.8563671422182
21,0.20707322082973773,0.628732877125326,13638.70054529773,584.818188492265
22,0.2092064086648332,0.6253545040967708,13079.463990444798,572.4531045553083
23,0.21261897291468437,0.6199688818139266,12566.528104423049,568.092870091279
24,0.21341658074145564,0.618713475452463,12094.286204557275,550.8540627514757
25,0.20947407126323106,0.6249312440051311,11658.008065978658,511.54624211550885
26,0.2016429964530542,0.6373739051124581,11253.674411383055,457.57325390098555
27,0.19315890137286282,0.6509925584338456,10877.847638179503,405.85642423682435
28,0.18764525273966998,0.6599202353963948,10527.569836260358,370.68353355576346
29,0.18693514166857944,0.6610744638534931,10200.281591309049,356.44626148175485
30,0.1900120465365285,0.6560804847559429,9893.756784591367,357.2099118504746
31,0.19367572880290132,0.6501588303215324,9606.049822693387,360.32569469355406
32,0.19449844753968604,0.6488327510159759,9335.452612609399,353.1568684749055
