rank,approx_floor,opt_residual,gen_term,bound_proxy
1,0.6907691883001457,0.560150848069289,0.001762914343888821,1.2526829507133237
2,0.48240392521425246,0.25077876152882533,0.002794153127047222,0.735976839870125
3,0.4245829310049606,0.09678986112573529,0.003525828687777642,0.5248986208184735
4,0.4008233852739485,0.04164812586051654,0.004093360343955374,0.4465648714784204
5,0.38883907344222374,0.052775114346485026,0.005757067470936043,0.4473712552596448
6,0.38197443478343934,0.07843715050829016,0.007349126260482232,0.4677607115522117
7,0.37768524139698134,0.09787721365995733,0.008888743031666462,0.48445119808860515
8,0.3748301343127695,0.11047374762040915,0.010388306254094443,0.49569218818727306
9,0.3728357951764991,0.11860030136721943,0.011856274687844195,0.5032923712315628
10,0.3713888463668897,0.12399832220558471,0.013298681622198213,0.5086858501946726
11,0.37030636255103516,0.1277075155140308,0.014719981814824864,0.5127338598798908
12,0.3694757966723985,0.13033862931202028,0.016123558257806835,0.5159379842422256
13,0.36882485020970485,0.1322589735658505,0.017512040604371053,0.5185958643799264
14,0.3683053758575373,0.13369640952059358,0.018887513471002596,0.5208892988491335
15,0.36788431494729473,0.13479666141912466,0.02025165737555528,0.5229326337419746
16,0.3675383651166427,0.13565558917778464,0.021605846872952778,0.52479980116738
17,0.3672507221726691,0.13633790198498613,0.022951220597983265,0.5265398447556385
18,0.36700902325285417,0.13688832856482006,0.02428873234524967,0.5281860841629239
19,0.3668040107678252,0.13733846619781603,0.025619189031733013,0.5297616659973743
20,0.3666286424234416,0.1377110852187277,0.026943279387529454,0.5312830070296988
21,0.3664774849789881,0.13802289699060877,0.02826159596608703,0.5327619779356838
22,0.36634629293661525,0.13828637230032367,0.02957465225780268,0.5342073174947416
23,0.36623171042854585,0.13851096011799216,0.03088289615871368,0.5356255667052516
24,0.36613105681081126,0.13870391994758718,0.032186720687910744,0.5370216974463091
25,0.36604217015707513,0.1388709003614536,0.033486472601695655,0.5383995431202244
26,0.3659632914595416,0.13901634777002633,0.03478245938114166,0.5397620986107096
27,0.3658929778786956,0.13914379968961124,0.03607495494825987,0.5411117325165667
28,0.3658300370079107,0.13925609815426135,0.037364204378649686,0.5424503395408218
29,0.36577347653371195,0.13935554707816153,0.03865042781489142,0.5437794514267649
30,0.3657224653072119,0.13944402971862777,0.039933823738022095,0.5451003187638618
31,0.36567630296534215,0.139523097359082,0.0412145717194441,0.5464139720438682
32,0.3656343960226972,0.13959403697513081,0.04249283474924544,0.5477212677470735
33,0.3655962389065388,0.13965792337517038,0.0437687612168416,0.5490229234985508
34,0.3655613988012911,0.13971565974810193,0.045042486604437604,0.5503195451538307
35,0.36552950345303836,0.1397680094671246,0.04631413494187209,0.551611647862035
36,0.36550023129174264,0.13981562123604432,0.04758382006208717,0.5528996725898742
37,0.36547330338145995,0.13985904912173291,0.04885164668913849,0.5541839991923313
38,0.3654484768221781,0.13989876862576103,0.050117711384854054,0.5554649568327933
39,0.36542553931184557,0.13993518966424778,0.05138210337562184,0.5567428323517152
40,0.36540430464133095,0.13996866711650813,0.052644905277071524,0.5580178770349106
41,0.3653846089439106,0.13999950944865278,0.05390619373141827,0.5592903121239816
42,0.3653663075583399,0.14002798580291062,0.055166039969802676,0.5605603333310532
43,0.3653492723934932,0.14005433185652638,0.05642451030997585,0.5618281145599955
44,0.365333389705035,0.14007875468810219,0.05768166659804981,0.563093810991187
45,0.36531855821216247,0.14010143683879958,0.0589375666016915,0.5643575616526535
46,0.3653046874962906,0.14012253971696578,0.06019226436102743,0.5656194915742838
47,0.36529169663448513,0.140142206464636,0.0614458105026025,0.5668797136017235
48,0.3652795130291524,0.14016056438087612,0.06269825252096446,0.568138329930993
49,0.36526807140244505,0.14017772697850156,0.06394963503179957,0.5693954334127462
50,0.3652573129294327,0.14019379573616433,0.0652,0.5706511086655971
