rank,shell,M1,M2,M3,alpha_eff,slope,phase_ratio
1,8,1.0693147180559945,0.0,0.0,4.0,-4.0,0.0
2,8,1.109861228866811,0.02,0.0,4.0005629749504505,-4.0005629749504505,0.00028156673273384666
3,8,1.138629436111989,0.05856342783782502,0.003,4.001608568727149,-4.001608568727149,0.0008036447424814481
4,8,1.16094379124341,0.10979130329660074,0.012423179086096529,4.002961401775288,-4.002961401775288,0.001477667676031102
5,8,1.1791759469228056,0.1714837540058069,0.02852461733083752,4.004557826390627,-4.004557826390627,0.0022722933446302235
6,8,1.1945910149055314,0.24234468666426537,0.05144512620174206,4.006361459541848,-4.006361459541848,0.0031698176881303553
7,8,1.2079441541679836,0.3214877533915618,0.08128487900507758,4.008347880076846,-4.008347880076846,0.004158508594466522
8,8,1.219722457733622,0.4082554186317189,0.11812214315445574,4.010499157898216,-4.010499157898216,0.005229870841251436
9,8,1.2302585092994045,0.5021338226539205,0.16202134636411394,4.0128013438896035,-4.0128013438896035,0.006377392165680268
10,8,1.2397895272798372,0.6027065139783084,0.21303733863702617,4.015243136503559,-4.015243136503559,0.007595877424108504
11,8,1.2484906649788001,0.7096267784671509,0.2712179312902387,4.017815100027522,-4.017815100027522,0.008881058324723246
12,8,1.2564949357461537,0.8225999100035685,0.3366055362905889,4.020509172338551,-4.020509172338551,0.01022934771016255
13,8,1.263905732961526,0.9413712423245609,0.40923828810929325,4.023318337634212,-4.023318337634212,0.011637676195087734
14,8,1.270805020110221,1.0657177316823603,0.48915084614711163,4.0262363993340875,-4.0262363993340875,0.013103378798497831
15,8,1.2772588722239782,1.1954418374219855,0.5763749890127883,4.0292578169430175,-4.0292578169430175,0.014624113494858575
16,8,1.2833213344056216,1.3303669497938015,0.6709400672172874,4.0323775854647925,-4.0323775854647925,0.016197800997484215
17,8,1.2890371757896164,1.470333894396205,0.7728733561344222,4.035591144103081,-4.035591144103081,0.01782257915553731
18,8,1.294443897916644,1.6151982068745987,0.8822003366377225,4.038894305708673,-4.038894305708673,0.01949676770313052
19,8,1.299573227355399,1.764827971937787,0.9989449219878317,4.042283201288923,-4.042283201288923,0.021218840524780038
20,8,1.3044522437723423,1.9191020844081306,1.1231296439264196,4.045754235688059,-4.045754235688059,0.02298740349601507
21,8,1.3091042453358317,2.077908831627462,1.254775807240995,4.049304051707969,-4.049304051707969,0.024801176537205462
22,8,1.3135494215929149,2.2411447244737874,1.39390361956985,4.052929500711927,-4.052929500711927,0.02665897890422535
23,8,1.3178053830347947,2.4087135234447667,1.540532301487811,4.056627618280826,-4.056627618280826,0.028559717002484542
24,8,1.3218875824868201,2.580525419741438,1.6946801806897722,4.060395603858672,-4.060395603858672,0.030502374194033992
25,8,1.3258096538021482,2.756496340923906,1.856364773205865,4.06423080358498,-4.06423080358498,0.03248600219753977
26,8,1.329583686600433,2.9365473577200483,2.0256028539337394,4.068130695700127,-4.068130695700127,0.034509713774913894
27,8,1.3332204510175205,3.1206041737435237,2.2024105182900344,4.072092878048098,-4.072092878048098,0.036572676467368254
28,8,1.3367295829986474,3.3085966837514698,2.3868032364175957,4.076115057303986,-4.076115057303986,0.03867410719499953
29,8,1.3401197381662155,3.5004585890089697,2.5787959011051473,4.080195039631237,-4.080195039631237,0.04081326757272293
30,8,1.3433987204485147,3.6961270605792684,2.7784028703593346,4.0843307225328696,-4.0843307225328696,0.042989459824905644
31,8,1.3465735902799727,3.8955424431038335,2.9856380053993448,4.088520087706607,-4.088520087706607,0.045202023203828066
32,8,1.349650756146648,4.098647993002079,3.20051470471013,4.092761194749391,-4.092761194749391,0.04745033083484525
33,8,1.3526360524616161,4.3053896460990195,3.423045934683263,4.09705217558477,-4.09705217558477,0.049733786925072486
34,8,1.3555348061489414,4.5157158105479125,3.653244257288357,4.101391229508851,-4.101391229508851,0.05205182428348392
35,8,1.358351893845611,4.729577181604246,3.8911218551482074,4.105776618768198,-4.105776618768198,0.054403902109158256
36,8,1.3610917912644225,4.946926575364619,4.136690554333853,4.110206664597427,-4.110206664597427,0.05678950401153052
37,8,1.3637586159726385,5.167718779037684,4.389961845148923,4.114679743655731,-4.114679743655731,0.05920813623228749
38,8,1.3663561646129647,5.391910415685855,4.650946901133912,4.119194284811153,-4.119194284811153,0.0616593260432618
39,8,1.3688879454113936,5.619459821682757,4.919656596488788,4.12374876622906,-4.12374876622906,0.06414262029855572
40,8,1.3713572066704307,5.850326935385168,5.196101522085406,4.128341712727832,-4.128341712727832,0.06665758412232674
41,8,1.3737669618283368,6.084473195729709,5.480292000218487,4.13297169336999,-4.13297169336999,0.06920379971632805
42,8,1.3761200115693564,6.321861449641634,5.772238098224805,4.137637319261515,-4.137637319261515,0.07178086527351693
43,8,1.3784189633918262,6.562455867292144,6.071949641083902,4.142337241535807,-4.142337241535807,0.07438839398590921
44,8,1.380666248977032,6.806221864366537,6.379436223099842,4.14707014950192,-4.14707014950192,0.07702601313642764
45,8,1.3828641396489094,7.0531260306125425,6.694707218751551,4.1518347689393265,-4.1518347689393265,0.07969336326582348
46,8,1.3850147601710059,7.303136064029242,7.017771792789155,4.15662986052375,-4.15662986052375,0.08239009740688086
47,8,1.387120101090789,7.556220710135039,7.348638909644833,4.161454218370573,-4.161454218370573,0.0851158803790793
48,8,1.3891820298110626,7.812349705820087,7.687317342219142,4.166306668683907,-4.166306668683907,0.08787038813771646
49,8,1.3912023005428147,8.071493727346292,8.033815680097078,4.171186068500915,-4.171186068500915,0.09065330717220484
50,8,1.3931825632724326,8.333624342108001,8.388142337242357,4.1760913045221395,-4.1760913045221395,0.09346433394887012
