step,test_mse,train_mse,recovery_slope
1,1.2491188235938582,1.0612025983133084,-0.05138696062275602
2,1.248445139417418,1.060178956575949,-0.05244733107569068
5,1.2467081162286333,1.0574964322075344,-0.055181383811177584
10,1.2441992870458942,1.0535637550979302,-0.05913024951096992
20,1.2397929262417593,1.0465687397867156,-0.06606580620812305
50,1.2285444694010834,1.0284683849796021,-0.08377073634021191
100,1.2125819695259217,1.0025272881727605,-0.1088955111449875
200,1.1853427604813414,0.9580887565542623,-0.151769684893312
400,1.140049989507753,0.8845523788725665,-0.22305993891965092
800,1.0680963887521306,0.7701417660184959,-0.3363140049817458
1600,0.9625827766162406,0.6105935741613352,-0.5023911084733954
3200,0.8280505386471442,0.427158206493094,-0.7141431654438446
6400,0.6934353129797886,0.27650753050269494,-0.9260258440115773
