rank_value,d1,d2,d5,d10,d20
1,1.0717861207234949,0.15387063501498924,0.34951859183593476,0.024759119591187435,0.01209679060634917
2,1.0331504514364394,0.5783256356624483,0.38634004674315986,0.09559294547420014,0.03624211001029385
4,0.9828926460287942,0.39340366545397354,0.49764137815430365,0.12419665977758135,0.2018894235950285
8,0.9542987823107509,0.6584021793633128,0.5179941029236645,0.23403798160710232,0.12992689152114592
16,0.8646814894408565,0.6790001465769195,0.5382561769436532,0.4561146269841319,0.19392840411712084
32,0.9333600222662145,0.5940282504859804,0.563484599685004,0.45464815866408137,0.12524765617306227
64,0.9867004155501476,0.6678348390862223,0.5595049061229522,0.5036831083270427,0.17240009669286377
128,1.0790637264532468,0.6340719312055408,0.5405333324989409,0.49218009272200464,0.1644460437025768
256,1.0250962084799369,0.5749639373783938,0.554853596012138,0.5186346054371823,0.11546096257363675
512,1.0318282919098918,0.5583059599033413,0.5673531427349429,0.4441633760163526,0.13696915670452722
1024,0.7469867257376402,0.596898661749653,0.6032356832788982,0.4466912089114947,0.10342652798521985
