step,test_mse,train_mse,recovery_slope
1,1.1488080091035267,0.976089705944047,-0.05096816351411174
2,1.1478968108790002,0.9749771528437627,-0.051708260504550296
5,1.1455478328244373,0.9720623007413693,-0.053616156659299176
10,1.1421562877952713,0.9677907824440728,-0.05637085064515138
20,1.1362028700798878,0.9601982681000962,-0.06120635889723153
50,1.1210243102272326,0.9405830032296634,-0.0735347482243491
100,1.0995326773840772,0.9125506313547562,-0.0909907664196151
200,1.06299167106092,0.8647554647496063,-0.12067024568047129
400,1.0026206877534212,0.7863268395653253,-0.16970500217257414
800,0.9077887963054905,0.6661163551077545,-0.24672973243329893
1600,0.7714457241942865,0.5028602733650103,-0.3574708364220372
3200,0.603479643124982,0.3236799007397646,-0.4938969045914971
6400,0.44506853568502913,0.1878634251566968,-0.6225621946597076
