step,test_mse,train_mse,recovery_slope
1,1.2490417211026439,1.0611476015323447,-0.05120546566607761
2,1.2483091257014,1.060080628482256,-0.05212703307798897
5,1.2464203495095365,1.0572848062789997,-0.05450301657974219
10,1.2436927048765245,1.0531866993258954,-0.05793425352279528
20,1.2389030791936908,1.0458994107226036,-0.0639593567886078
50,1.226682352200966,1.0270546331872676,-0.07933240407670097
100,1.2093554477151387,1.0000770745565284,-0.10112876055986804
200,1.1798306147024549,0.9539492791353397,-0.1382694850312718
400,1.1308620407817578,0.8778714985085153,-0.1998694375514048
800,1.053415881866612,0.7602066720589814,-0.29729273028942915
1600,0.9407337087533594,0.5978341938599674,-0.4390411202850787
3200,0.7990070779384257,0.4145605474103091,-0.6173259472677234
6400,0.6604858816938451,0.2687616992605293,-0.7915785020902697
