radius,power
1,0.6507416091240266
2,0.0076424968628443475
3,0.0005552503579035013
4,8.54544224979143e-05
5,2.014699465865927e-05
6,6.31516373595958e-06
7,2.4211391027613934e-06
8,1.0674795368371945e-06
9,5.162584965426847e-07
10,2.6507016839662403e-07
11,1.4192377836598055e-07
12,7.887896180344179e-08
13,4.5761873912058964e-08
14,2.7976454862686335e-08
15,1.810213186112238e-08
16,1.2308797922552045e-08
